Species,Date,Temp,CO2,Organ,Potnum,percentN,d15N,CN,percentC,d13C
W. nobilis,5/3/2010,Amb,640,Leaves,1,1.8960519,0.893873896,25.72126053,48.7688449,-37.74997719
W. nobilis,5/3/2010,Amb,640,Leaves,2,1.6104387,1.482484041,30.64678227,49.3547642,-35.59267209
W. nobilis,5/3/2010,Amb,640,Leaves,3,1.4848595,1.962878919,33.24118511,49.3584895,-36.58101412
W. nobilis,5/3/2010,Amb,640,Leaves,5,1.2335389,0.787681344,39.56564702,48.8057647,-36.69161914
W. nobilis,5/3/2010,Amb,400,Leaves,102,1.7484534,1.835447857,27.04931907,47.2944739,-27.59765477
W. nobilis,5/3/2010,Amb,400,Leaves,104,1.6271798,2.39472863,29.7773503,48.4531029,-27.2972962
W. nobilis,5/3/2010,Amb,400,Leaves,105,1.91584,1.243803639,25.28835101,48.4484344,-27.45254911
W. nobilis,5/3/2010,Amb,400,Leaves,107,1.946493,1.460234173,25.34464686,49.3331777,-28.53931945
W. nobilis,5/3/2010,Amb,280,Leaves,203,2.8510782,2.22380919,17.44930122,49.7493223,-24.48853773
W. nobilis,5/3/2010,Amb,280,Leaves,205,2.7678122,1.83848193,17.74963457,49.1276551,-24.7767196
W. nobilis,5/3/2010,Amb,280,Leaves,208,2.2670965,2.37349012,22.54774435,51.1179123,-24.5565243
W. nobilis,5/3/2010,Elv,280,Leaves,301,2.5929668,0.797554886,20.25369129,52.5171491,-26.53560688
W. nobilis,5/3/2010,Elv,280,Leaves,302,1.6605587,2.847816442,27.07753993,44.9638445,-26.08155418
W. nobilis,5/3/2010,Elv,280,Leaves,305,2.1553174,1.777271707,23.1639675,49.9257022,-26.61265203
W. nobilis,5/3/2010,Elv,280,Leaves,306,2.601027,2.276314963,19.67600605,51.177823,-26.50273429
W. nobilis,5/3/2010,Elv,400,Leaves,401,2.3477722,1.728285866,22.76250379,53.4411736,-29.91737501
W. nobilis,5/3/2010,Elv,400,Leaves,405,2.1817957,2.116090441,20.63572061,45.0229265,-30.40019124
W. nobilis,5/3/2010,Elv,400,Leaves,407,2.3924617,1.757881478,21.64271808,51.7793741,-31.01552511
W. nobilis,5/3/2010,Elv,400,Leaves,408,2.1249399,2.823118654,24.14034995,51.2967928,-30.13921511
W. nobilis,5/3/2010,Elv,640,Leaves,504,1.9157634,0.852276863,25.50490932,48.8613718,-35.83805149
W. nobilis,5/3/2010,Elv,640,Leaves,505,1.8759589,1.979053284,28.24140811,52.9797209,-36.91043527
W. nobilis,5/3/2010,Elv,640,Leaves,506,1.8527503,1.337360214,27.59253937,51.1220856,-35.50524273
W. nobilis,5/3/2010,Elv,640,Leaves,508,1.9344632,0.898039444,27.58746571,53.3669372,-36.51394088
W. nobilis,5/3/2010,Amb,640,Roots,4,1.0367268,0.626471828,44.42632283,46.0579595,-34.02389649
W. nobilis,5/3/2010,Amb,640,Roots,6,0.9010535,-0.135935097,52.16844516,47.0065601,-34.1890255
W. nobilis,5/3/2010,Amb,400,Roots,101,1.6694163,0.123930393,25.70191983,42.9072039,-26.95272779
W. nobilis,5/3/2010,Amb,400,Roots,103,1.6230667,0.457609817,27.80164413,45.1239228,-27.28602499
W. nobilis,5/3/2010,Amb,400,Roots,106,1.728653,0.252346414,26.78720565,46.3057834,-25.68336183
W. nobilis,5/3/2010,Amb,280,Roots,201,2.749864,-0.466581071,16.2407922,44.6599698,-24.08880316
W. nobilis,5/3/2010,Amb,280,Roots,204,1.4170659,0.869147772,26.27544428,37.2340361,-25.18493561
W. nobilis,5/3/2010,Amb,280,Roots,206,1.8691064,0.306948501,24.55341066,45.892937,-23.49210998
W. nobilis,5/3/2010,Elv,280,Roots,303,1.7254197,0.342338743,23.484199,40.5200996,-25.32372503
W. nobilis,5/3/2010,Elv,280,Roots,307,2.2218103,0.297848153,19.72038418,43.8149527,-25.06235518
W. nobilis,5/3/2010,Elv,400,Roots,402,1.8994586,-0.050998516,20.97998898,39.8506205,-26.70452774
W. nobilis,5/3/2010,Elv,400,Roots,404,2.0445292,-1.03889184,22.21903199,45.4274597,-27.26677683
W. nobilis,5/3/2010,Elv,640,Roots,501,1.6805407,-0.321986654,23.5230056,39.5313683,-33.01691344
W. nobilis,5/3/2010,Elv,640,Roots,502,1.1798428,-0.300752509,36.88747052,43.5214165,-33.67236418
