material,Abbreviation,replicate,length (mm),width (mm),thickness (mm),NEWthickness (mm),actual mass (g),dry mass (g),scanned area (cm2),SA (cm2),volume (cm3),SA:V (1/cm),density (dry mass) (g/cm3),density (actual mass) (g/cm3),FMC  (% odw),SLA* (cm2/g),N (%mass),P (%mass),lignin (%mass),tannin (%mass),ignition Y/N,TTI (s),FD (s),SD (s),TBT (s),Genus,Species,Family,Rainfall a,Soil P b,taxon,site_conditions,site_name,senesced_leaf_N_per_dry_mass,senesced_leaf_P_per_dry_mass,SLA
DRIED,Aca_dor,1,NA,NA,NA,0.42,NA,NA,4,NA,0.17,47.62,NA,0.99,NA,23.95,2.01,0.083,27.18,5.34,1,5.1,3,20.1,23.1,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,2,NA,NA,NA,0.43,NA,NA,5.5,NA,0.24,46.51,NA,0.96,NA,24.34,2.01,0.083,27.18,5.34,1,4.2,2.8,16.5,19.3,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,3,NA,NA,NA,0.35,NA,NA,6.1,NA,0.21,57.14,NA,0.9,NA,31.61,2.01,0.083,27.18,5.34,1,3.7,2.7,14.8,17.5,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,4,NA,NA,NA,0.38,NA,NA,5.7,NA,0.22,52.63,NA,0.8,NA,32.95,2.01,0.083,27.18,5.34,1,3.8,2.3,15,17.3,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,5,NA,NA,NA,0.4,NA,NA,5.9,NA,0.24,50,NA,0.84,NA,29.8,2.01,0.083,27.18,5.34,0,NA,NA,15,18.5,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,6,NA,NA,NA,0.36,NA,NA,4,NA,0.14,55.56,NA,0.95,NA,29.2,2.01,0.083,27.18,5.34,1,4.4,3.1,17.7,20.8,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,7,NA,NA,NA,0.4,NA,NA,4.4,NA,0.18,50,NA,0.82,NA,30.34,2.01,0.083,27.18,5.34,1,3.8,1.9,14.8,16.7,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,8,NA,NA,NA,0.4,NA,NA,5.5,NA,0.22,50,NA,0.83,NA,30.22,2.01,0.083,27.18,5.34,1,3.8,2.6,15,17.6,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,9,NA,NA,NA,0.38,NA,NA,5.2,NA,0.2,52.63,NA,0.92,NA,28.57,2.01,0.083,27.18,5.34,1,3.5,2.3,16.3,18.6,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_dor,10,NA,NA,NA,0.42,NA,NA,6,NA,0.25,47.62,NA,0.97,NA,24.49,2.01,0.083,27.18,5.34,1,4.8,3.7,22.8,26.5,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Aca_hav,1,NA,NA,NA,0.81,NA,NA,0.5,NA,0.03,51.8,NA,1.52,NA,17.07,1.46,0.046,15.22,16.46,1,6.8,2.3,13.4,15.7,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,2,NA,NA,NA,0.6,NA,NA,0.7,NA,0.02,95.7,NA,2.18,NA,21.99,1.46,0.046,15.22,16.46,1,5.4,1.3,10.7,12,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,3,NA,NA,NA,0.69,NA,NA,0.5,NA,0.02,69.78,NA,1.51,NA,23.1,1.46,0.046,15.22,16.46,1,3.5,2.4,6.8,9.2,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,4,NA,NA,NA,0.79,NA,NA,0.5,NA,0.03,60.04,NA,1.38,NA,21.82,1.46,0.046,15.22,16.46,1,6,2,10.3,12.3,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,5,NA,NA,NA,0.68,NA,NA,0.5,NA,0.02,68.5,NA,1.92,NA,17.85,1.46,0.046,15.22,16.46,1,5.1,2,12.4,14.4,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,6,NA,NA,NA,0.64,NA,NA,0.6,NA,0.02,100.51,NA,2.08,NA,24.17,1.46,0.046,15.22,16.46,1,5.7,1.9,9.6,11.5,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,7,NA,NA,NA,0.64,NA,NA,0.5,NA,0.02,77.77,NA,1.63,NA,23.8,1.46,0.046,15.22,16.46,1,4.8,1.5,10.8,12.3,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,8,NA,NA,NA,0.53,NA,NA,0.4,NA,0.01,96.3,NA,2.61,NA,18.48,1.46,0.046,15.22,16.46,1,4.2,2.6,11.6,14.2,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,9,NA,NA,NA,0.64,NA,NA,0.5,NA,0.02,84.6,NA,2.21,NA,19.16,1.46,0.046,15.22,16.46,1,6.3,2.2,13.5,15.7,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Aca_hav,10,NA,NA,NA,0.71,NA,NA,0.5,NA,0.02,71.48,NA,1.73,NA,20.67,1.46,0.046,15.22,16.46,1,4.2,2,8.2,10.2,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Alloc_spp,1,NA,NA,NA,0.33,NA,NA,0.5,NA,0.01,151.9,NA,1.16,NA,65.45,NA,NA,27.29,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,2,NA,NA,NA,0.37,NA,NA,0.5,NA,0.01,141.13,NA,1.35,NA,52.36,NA,NA,27.29,9.38,1,8.1,0.6,2.6,3.2,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,3,NA,NA,NA,0.33,NA,NA,0.5,NA,0.01,144.73,NA,1.47,NA,49.09,NA,NA,27.29,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,4,NA,NA,NA,0.39,NA,NA,0.6,NA,0.01,134.16,NA,1.28,NA,52.36,NA,NA,27.29,9.38,1,5.5,0.3,3.7,4,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,5,NA,NA,NA,0.31,NA,NA,0.3,NA,0.01,157.9,NA,1.17,NA,67.32,NA,NA,27.29,9.38,1,1.5,0.7,1.6,2.3,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,6,NA,NA,NA,0.39,NA,NA,0.6,NA,0.02,124.5,NA,1.32,NA,47.12,NA,NA,27.29,9.38,1,4.1,1.6,3.5,5.1,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,7,NA,NA,NA,0.4,NA,NA,0.6,NA,0.02,122.61,NA,0.98,NA,62.83,NA,NA,27.29,9.38,1,2.6,0.9,2.1,3,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,8,NA,NA,NA,0.35,NA,NA,0.4,NA,0.01,128.09,NA,1.02,NA,62.83,NA,NA,27.29,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,9,NA,NA,NA,0.38,NA,NA,0.3,NA,0.01,101.28,NA,0.97,NA,52.36,NA,NA,27.29,9.38,1,2.4,0.7,1.7,2.4,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Alloc_spp,10,NA,NA,NA,0.35,NA,NA,0.5,NA,0.01,156.97,NA,0.9,NA,87.27,NA,NA,27.29,9.38,1,1.9,0.8,1.5,2.3,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,1,NA,NA,NA,0.88,NA,NA,26.1,NA,2.3,22.73,NA,0.12,NA,93.21,1.59,0.071,14.32,4.5,1,1.5,3.5,13.3,16.8,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,2,NA,NA,NA,0.83,NA,NA,20.2,NA,1.68,24.1,NA,0.12,NA,99.02,1.59,0.071,14.32,4.5,1,0.7,3.5,8.1,11.6,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,3,NA,NA,NA,0.84,NA,NA,12.1,NA,1.02,23.81,NA,0.1,NA,123.47,1.59,0.071,14.32,4.5,1,0.8,2.3,4.8,7.1,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,4,NA,NA,NA,1,NA,NA,18.6,NA,1.86,20,NA,0.08,NA,131.91,1.59,0.071,14.32,4.5,1,0.6,2.5,9.6,12.1,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,5,NA,NA,NA,0.87,NA,NA,14.8,NA,1.29,22.99,NA,0.1,NA,117.46,1.59,0.071,14.32,4.5,1,0.9,2,10.8,12.8,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,6,NA,NA,NA,0.86,NA,NA,20.8,NA,1.79,23.26,NA,0.1,NA,112.43,1.59,0.071,14.32,4.5,1,1,3,7.6,10.6,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,7,NA,NA,NA,0.82,NA,NA,15.8,NA,1.3,24.39,NA,0.1,NA,123.44,1.59,0.071,14.32,4.5,1,1,1.9,8.7,10.6,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,8,NA,NA,NA,0.81,NA,NA,16.5,NA,1.34,24.69,NA,0.13,NA,92.7,1.59,0.071,14.32,4.5,1,1.4,3.2,7.5,10.7,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,9,NA,NA,NA,1.17,NA,NA,17.7,NA,2.07,17.09,NA,0.09,NA,95.16,1.59,0.071,14.32,4.5,1,1.5,3.2,7.6,10.8,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ast_flo,10,NA,NA,NA,0.79,NA,NA,11.3,NA,0.89,25.32,NA,0.16,NA,80.14,1.59,0.071,14.32,4.5,1,1.1,3.6,10.2,13.8,Astrotricha,floccosa,Araliaceae,high,high,Astrotricha floccosa,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Ban_mar,1,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,36.47,0.85,0.023,24.33,7.35,1,2.8,4.3,11.4,15.7,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,2,NA,NA,NA,0.67,NA,NA,2.8,NA,0.19,29.85,NA,0.34,NA,44.44,0.85,0.023,24.33,7.35,1,2.7,3.8,9.8,13.6,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,3,NA,NA,NA,0.6,NA,NA,3.4,NA,0.2,33.33,NA,0.36,NA,45.95,0.85,0.023,24.33,7.35,1,2.1,3.9,11.2,15.1,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,4,NA,NA,NA,0.57,NA,NA,2.9,NA,0.17,35.09,NA,0.4,NA,43.94,0.85,0.023,24.33,7.35,1,2.9,3.7,9.5,13.2,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,5,NA,NA,NA,0.57,NA,NA,2.7,NA,0.15,35.09,NA,0.42,NA,42.19,0.85,0.023,24.33,7.35,1,2.2,3.9,6.9,10.8,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,6,NA,NA,NA,0.58,NA,NA,3.8,NA,0.22,34.48,NA,0.39,NA,44.71,0.85,0.023,24.33,7.35,1,2.1,5.3,10.8,16.1,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,7,NA,NA,NA,0.57,NA,NA,2.5,NA,0.14,35.09,NA,0.35,NA,50,0.85,0.023,24.33,7.35,1,1.9,2.5,9.1,11.6,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,8,NA,NA,NA,0.58,NA,NA,4.3,NA,0.25,34.48,NA,0.42,NA,40.95,0.85,0.023,24.33,7.35,1,2.7,4.9,11.7,16.6,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,9,NA,NA,NA,0.46,NA,NA,2.3,NA,0.11,43.48,NA,0.41,NA,53.49,0.85,0.023,24.33,7.35,1,2.1,2.8,7,9.8,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Ban_mar,10,NA,NA,NA,0.58,NA,NA,2,NA,0.12,34.48,NA,0.42,NA,40.82,0.85,0.023,24.33,7.35,1,2.2,2.5,8.5,11,Banksia,marginata,Proteaceae,high,low,Banksia marginata,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Bra_pop,1,NA,NA,NA,0.54,NA,NA,15.7,NA,0.85,37.04,NA,0.3,NA,61.81,1.67,0.09,18.81,10.08,1,1.4,1.8,16.8,18.6,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,2,NA,NA,NA,0.35,NA,NA,11.4,NA,0.4,57.14,NA,0.46,NA,62.3,1.67,0.09,18.81,10.08,1,1.4,1.9,23.3,25.2,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,3,NA,NA,NA,0.39,NA,NA,14.5,NA,0.57,51.28,NA,0.45,NA,57.31,1.67,0.09,18.81,10.08,1,1.1,3,17.8,20.8,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,4,NA,NA,NA,0.34,NA,NA,10.2,NA,0.35,58.82,NA,0.42,NA,69.39,1.67,0.09,18.81,10.08,1,1.3,1.7,16.7,18.4,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,5,NA,NA,NA,0.38,NA,NA,15.9,NA,0.6,52.63,NA,0.37,NA,70.35,1.67,0.09,18.81,10.08,1,1.4,3.6,25.2,28.8,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,6,NA,NA,NA,0.39,NA,NA,17.5,NA,0.68,51.28,NA,0.38,NA,67.31,1.67,0.09,18.81,10.08,1,1,4.9,15.6,20.5,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,7,NA,NA,NA,0.32,NA,NA,13.7,NA,0.44,62.5,NA,0.45,NA,69.19,1.67,0.09,18.81,10.08,1,1,1.9,18.4,20.3,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,8,NA,NA,NA,0.4,NA,NA,17.7,NA,0.71,50,NA,0.4,NA,62.99,1.67,0.09,18.81,10.08,0,NA,NA,NA,NA,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,9,NA,NA,NA,0.4,NA,NA,11.4,NA,0.46,50,NA,0.45,NA,55.61,1.67,0.09,18.81,10.08,0,NA,NA,16.2,20,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Bra_pop,10,NA,NA,NA,0.33,NA,NA,8.7,NA,0.29,60.61,NA,0.51,NA,59.59,1.67,0.09,18.81,10.08,1,1,2.7,16.5,19.2,Brachychiton,populneus,Malvaceae,low,low,Brachychiton populneus,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Cor_gum,1,NA,NA,NA,0.5,NA,NA,20.6,NA,1.03,40,NA,0.58,NA,34.74,0.81,0.03,27.72,13.81,1,3.3,8.6,44.2,52.8,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,2,NA,NA,NA,0.46,NA,NA,17.7,NA,0.81,43.48,NA,0.58,NA,37.26,0.81,0.03,27.72,13.81,1,3,8.7,29.2,37.9,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,3,NA,NA,NA,0.45,NA,NA,11.3,NA,0.51,44.44,NA,0.73,NA,30.38,0.81,0.03,27.72,13.81,1,2.6,8.4,41.1,49.5,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,4,NA,NA,NA,0.5,NA,NA,24,NA,1.2,40,NA,0.58,NA,34.63,0.81,0.03,27.72,13.81,1,2.3,10.5,44,54.5,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,5,NA,NA,NA,0.42,NA,NA,16.6,NA,0.7,47.62,NA,0.71,NA,33.33,0.81,0.03,27.72,13.81,1,2.4,7.4,36.7,44.1,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,6,NA,NA,NA,0.47,NA,NA,16.2,NA,0.76,42.55,NA,0.5,NA,42.86,0.81,0.03,27.72,13.81,1,1.8,5.6,28.7,34.3,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,7,NA,NA,NA,0.45,NA,NA,23.8,NA,1.07,44.44,NA,0.64,NA,34.54,0.81,0.03,27.72,13.81,1,2.2,8.8,42.2,51,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,8,NA,NA,NA,0.48,NA,NA,15,NA,0.72,41.67,NA,0.53,NA,39.58,0.81,0.03,27.72,13.81,1,2,5.7,34.4,40.1,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,9,NA,NA,NA,0.42,NA,NA,16.7,NA,0.7,47.62,NA,0.58,NA,40.93,0.81,0.03,27.72,13.81,1,2.3,5.6,27.8,33.4,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Cor_gum,10,NA,NA,NA,0.43,NA,NA,26.5,NA,1.14,46.51,NA,0.55,NA,42,0.81,0.03,27.72,13.81,1,2.4,4.5,35.4,39.9,Corymbia,gummifera,Myrtaceae,high,low,Corymbia gummifera,high rainfall low soil P,Kuring-gai NP lowP,NA,NA,NA
DRIED,Dod_vis,1,NA,NA,NA,0.42,NA,NA,3.3,NA,0.14,47.62,NA,0.47,NA,51.02,1.98,0.115,17.47,14.29,1,2.2,2.4,16.8,19.2,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,2,NA,NA,NA,0.5,NA,NA,2.7,NA,0.14,40,NA,0.48,NA,42.09,1.98,0.115,17.47,14.29,1,1.9,1.8,14.1,15.9,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
