species,germination,days_to_50%_germination,temperature_treatment,site_name
Eragrostis setifolia,0,0,12,Alice Springs
Eucalyptus socialis,95,8,12,Alice Springs
Fimbristylis dichotoma,0,0,12,Alice Springs
Eragrostis leptocarpa,0,0,12,Alice Springs
Erodium crinitum,75,3,12,Alice Springs
Evolvulus alsinoides,100,3,12,Alice Springs
Hakea leucoptera,100,4,12,Alice Springs
Helichrysum bracteatum,20,6,12,Alice Springs
Helipterum floribundum,60,6,12,Alice Springs
Indigofera linnaei,20,5,12,Alice Springs
Lepidium oxytrichum,10,8,12,Alice Springs
Helipterum charsleyae,40,8,12,Alice Springs
Helipterum tietkensii,50,8,12,Alice Springs
Lepidium muelleri-ferdinandi,80,1,12,Alice Springs
Lotus cruentus,70,5,12,Alice Springs
Maireana scleroptera,50,2,12,Alice Springs
Mollugo cerviana,30,4,12,Alice Springs
Pittosporum phylliraeoides,5,7,12,Alice Springs
Psoralea cinerea,30,6,12,Alice Springs
Malvastrum americanum ,25,3,12,Alice Springs
Panicum decompositum,15,3,12,Alice Springs
Portulaca filifolia,50,5,12,Alice Springs
Psoralea patens,35,3,12,Alice Springs
Pterocaulon sphacelatum,3,5,12,Alice Springs
Rumex vesicarius,100,2,12,Alice Springs
Salsola kali,55,1,12,Alice Springs
Sclerolaena diacantha ,70,1,12,Alice Springs
Rhynchelytrum repens,35,5,12,Alice Springs
Rutidosis helichrysoides,40,7,12,Alice Springs
Sclerolaena bicornis,90,2,12,Alice Springs
Senecio gregori,10,7,12,Alice Springs
Senecio magnificus,40,7,12,Alice Springs
Sida sp. 1,25,5,12,Alice Springs
Sisymbrium erysimoides,90,3,12,Alice Springs
Sporobulus actinocladus,0,0,12,Alice Springs
Sida spinosa,5,9,12,Alice Springs
Sida sp. 2,5,6,12,Alice Springs
Solanum quadriloculatum,30,3,12,Alice Springs
Sporobulus caroli,0,0,12,Alice Springs
Stenopetalum anfractum,40,9,12,Alice Springs
Swainsona canescens,100,4,12,Alice Springs
Trichodesma zeylanicum,55,6,12,Alice Springs
Triraphis mollis,5,4,12,Alice Springs
Steptoglossa adora,0,0,12,Alice Springs
Tragus australianus,35,1,12,Alice Springs
Tripogon loliiformis,0,0,12,Alice Springs
Ventilago viminalis,15,5,12,Alice Springs
Vittadina eremaea,5,7,12,Alice Springs
Abutilon fraseri,10,2,20,Alice Springs
Acacia estrophiolata,85,4,20,Alice Springs
Acacia kempeana,79,3,20,Alice Springs
Acacia murrayana,35,5,20,Alice Springs
Acacia aneura,95,3,20,Alice Springs
Acacia farnesiana,85,4,20,Alice Springs
Acacia ligulata,100,1,20,Alice Springs
Acacia tetragonophylla,100,2,20,Alice Springs
Acacia victoriae,99,4,20,Alice Springs
Amaranthus mitchellii,45,2,20,Alice Springs
Aristida contorta ,100,3,20,Alice Springs
Aristida latifolia,60,4,20,Alice Springs
Alternanthera angustifolia,30,3,20,Alice Springs
Aristida biglandulosa,95,4,20,Alice Springs
Aristida inaequiglumis,40,7,20,Alice Springs
Aristida strigosa,10,6,20,Alice Springs
Astrebla pectinata,100,2,20,Alice Springs
Atriplex elachophylla,95,1,20,Alice Springs
Boerhavia coccinea,10,5,20,Alice Springs
Brassica tournefortii,78,2,20,Alice Springs
Atalaya hemiglauca,59,5,20,Alice Springs
Atriplex humifusa,70,2,20,Alice Springs
Bothriochloa ewartiana,30,2,20,Alice Springs
Calocephalus platycephalus,50,6,20,Alice Springs
Calotis hispidula,40,4,20,Alice Springs
Cassia artemisioides,45,4,20,Alice Springs
Cassia nemophylla,38,4,20,Alice Springs
Cenchrus ciliaris,95,1,20,Alice Springs
Capparis mitchelli,25,8,20,Alice Springs
Cassia helmsii,75,4,20,Alice Springs
Cassia oligophylla,85,4,20,Alice Springs
Chenopodium cristatum,50,1,20,Alice Springs
Chenopodium melanocarpum,80,2,20,Alice Springs
Chloris scariosa,100,1,20,Alice Springs
Convolvulus erubescens,18,2,20,Alice Springs
Cymbopogon obtectus,100,2,20,Alice Springs
Chloris pectinata,100,2,20,Alice Springs
Citrullus lanatus,0,0,20,Alice Springs
Convolvulus remotus,100,2,20,Alice Springs
Cynodon dactylon,90,2,20,Alice Springs
Dactyloctenium radulans,38,1,20,Alice Springs
Digitaria brownii,30,4,20,Alice Springs
