taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Dianella revoluta,species,,Wireless Hill,flower_diameter,2.1,,2.1,raw,cm,,,,,"Table 1, p.27",
Hemiandra pungens,species,,Nicholson Road Reserve,flower_diameter,1.7,,1.7,raw,cm,,,,,"Table 1, p.27",
Jacksonia sericea,species,,Wireless Hill,flower_diameter,2.0,,2.0,raw,cm,,,,,"Table 1, p.27",
Patersonia occidentalis,species,,Classon Park Leeming,flower_diameter,3.0,,3.0,raw,cm,,,,,"Table 1, p.27",
Tricoryne elatior,species,,Wireless Hill,flower_diameter,1.8,,1.8,raw,cm,,,,,"Table 1, p.27",
Dianella revoluta,species,,Wireless Hill,flowering_period,Flowering start: Early-mid November; flowering end: Late December,,Nov-Dec,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml — AusTraits' own 'flowering_time' trait needs a 12-character Y/N-by-calendar-month string, which we have not attempted to construct from these part-month start/end descriptors to avoid guessing which weeks count; trait_value_clean gives the approximate start/end months only, for the curator to encode properly. Study period was September-December 2017 only, so flowering outside that window would not have been observed."
Hemiandra pungens,species,,Nicholson Road Reserve,flowering_period,Flowering start: Mid-September; flowering end: Early November,,Sep-Nov,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml — AusTraits' own 'flowering_time' trait needs a 12-character Y/N-by-calendar-month string, which we have not attempted to construct from these part-month start/end descriptors to avoid guessing which weeks count; trait_value_clean gives the approximate start/end months only, for the curator to encode properly. Study period was September-December 2017 only, so flowering outside that window would not have been observed."
Jacksonia sericea,species,,Wireless Hill,flowering_period,Flowering start: Mid-late November; flowering end: Mid-January,,Nov-Jan,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml — AusTraits' own 'flowering_time' trait needs a 12-character Y/N-by-calendar-month string, which we have not attempted to construct from these part-month start/end descriptors to avoid guessing which weeks count; trait_value_clean gives the approximate start/end months only, for the curator to encode properly. Study period was September-December 2017 only, so flowering outside that window would not have been observed."
Patersonia occidentalis,species,,Classon Park Leeming,flowering_period,Flowering start: Mid-September; flowering end: Mid-November,,Sep-Nov,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml — AusTraits' own 'flowering_time' trait needs a 12-character Y/N-by-calendar-month string, which we have not attempted to construct from these part-month start/end descriptors to avoid guessing which weeks count; trait_value_clean gives the approximate start/end months only, for the curator to encode properly. Study period was September-December 2017 only, so flowering outside that window would not have been observed."
Tricoryne elatior,species,,Wireless Hill,flowering_period,Flowering start: Mid-October; flowering end: Mid-November,,Oct-Nov,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml — AusTraits' own 'flowering_time' trait needs a 12-character Y/N-by-calendar-month string, which we have not attempted to construct from these part-month start/end descriptors to avoid guessing which weeks count; trait_value_clean gives the approximate start/end months only, for the curator to encode properly. Study period was September-December 2017 only, so flowering outside that window would not have been observed."
