location_name,latitude (deg),longitude (deg),description,locality,geology (stratigraphic map unit),"precipitation, MAP (mm)","precipitation, mean winter rainfall (mm)",notes
Windarling Range,,,Banded Iron Formation (BIF) inselberg,"Windarling Range, Yilgarn Craton, Western Australia; study population of Tetratheca paynterae subsp. paynterae occurs on the ridge, sampled at three landscape positions (ridge, slope, flat)",banded ironstone,270-290,50,"No coordinates are printed in this source; it refers readers to fig. 1 in Gibson et al. 2010 (Biodiversity and Conservation 19:3951-3962) for the locations of the ranges, which is not reproduced here. Climate description ('The area has a semiarid Mediterranean-type climate with rainfall from 270 to 290 mm annually, most reliable rainfall falling in winter (mean 50 mm), but with highly variable occasional rainfall across the summer months', citing Yates et al. 2011) follows directly from the Windarling Range paragraph and is applied here to all four Banded Iron Formation ranges in this study on the assumption it describes the shared regional climate; it is not stated to be range-specific."
Diehardy Range,,,Banded Iron Formation (BIF) inselberg,"Diehardy Range, Yilgarn Craton, Western Australia; study population of Tetratheca paynterae subsp. cremnobata",banded ironstone,270-290,50,"No coordinates are printed in this source; it refers readers to fig. 1 in Gibson et al. 2010 (Biodiversity and Conservation 19:3951-3962) for the locations of the ranges, which is not reproduced here. Climate description ('The area has a semiarid Mediterranean-type climate with rainfall from 270 to 290 mm annually, most reliable rainfall falling in winter (mean 50 mm), but with highly variable occasional rainfall across the summer months', citing Yates et al. 2011) follows directly from the Windarling Range paragraph and is applied here to all four Banded Iron Formation ranges in this study on the assumption it describes the shared regional climate; it is not stated to be range-specific."
Helena and Aurora Ranges,,,Banded Iron Formation (BIF) inselberg,"Helena and Aurora Ranges, Yilgarn Craton, Western Australia; study population of Tetratheca aphylla",banded ironstone,270-290,50,"No coordinates are printed in this source; it refers readers to fig. 1 in Gibson et al. 2010 (Biodiversity and Conservation 19:3951-3962) for the locations of the ranges, which is not reproduced here. Climate description ('The area has a semiarid Mediterranean-type climate with rainfall from 270 to 290 mm annually, most reliable rainfall falling in winter (mean 50 mm), but with highly variable occasional rainfall across the summer months', citing Yates et al. 2011) follows directly from the Windarling Range paragraph and is applied here to all four Banded Iron Formation ranges in this study on the assumption it describes the shared regional climate; it is not stated to be range-specific."
Jackson Range,,,Banded Iron Formation (BIF) inselberg,"Jackson Range, Yilgarn Craton, Western Australia; study population of Tetratheca harperi",banded ironstone,270-290,50,"No coordinates are printed in this source; it refers readers to fig. 1 in Gibson et al. 2010 (Biodiversity and Conservation 19:3951-3962) for the locations of the ranges, which is not reproduced here. Climate description ('The area has a semiarid Mediterranean-type climate with rainfall from 270 to 290 mm annually, most reliable rainfall falling in winter (mean 50 mm), but with highly variable occasional rainfall across the summer months', citing Yates et al. 2011) follows directly from the Windarling Range paragraph and is applied here to all four Banded Iron Formation ranges in this study on the assumption it describes the shared regional climate; it is not stated to be range-specific."
