site_code,plot,year,Taxon,block,Family,functional_group,trt,leaf_pct_N,leaf_pct_C,leaf_pct_P,leaf_pct_K,SLA_v2,site_name,continent,country,region,habitat,latitude,longitude,MAT,TEMP_VAR,MAP,MAP_VAR,N,P,K,Exclose,first_nutrient_year,first_fenced_year,year_trt,soil_pctN,soil_ppmP,Soil_ppmK,max_cover
bogong.au,1,2011,CRASPEDIA JAMESII,1,Asteraceae,forbs,N,2.188935134,44.73269766,0.323509056,4.37130876,8665.766033,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,0,0,0,2010,2010,2,0.508,71,211,30
bogong.au,1,2011,POA HIEMATA,1,Poaceae,grass,N,1.415781083,44.40963669,0.20837172,1.15092956,7762.262443,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,0,0,0,2010,2010,2,0.508,71,211,30
bogong.au,1,2011,POA HOTHAMENSIS,1,Poaceae,grass,N,1.738529166,47.67795705,0.16225777,0.997042336,2492.042809,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,0,0,0,2010,2010,2,0.508,71,211,8
bogong.au,2,2011,PLANTAGO EURYPHYLLA,1,Plantaginaceae,forbs,PK,1.511032532,43.66086783,0.180407252,2.76636096,4396.31531,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,1,1,0,2010,2010,2,0.732,48,190,10
bogong.au,2,2011,POA HIEMATA,1,Poaceae,grass,PK,1.230457947,49.25761855,0.346382256,1.376859616,2910.302491,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,1,1,0,2010,2010,2,0.732,48,190,20
bogong.au,2,2011,TRACHYMENE HUMILIS SSP. BREVISCAPA,1,Apiaceae,forbs,PK,3.425716027,48.10785734,0.397660728,2.917461552,6198.482549,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,1,1,0,2010,2010,2,0.732,48,190,15
bogong.au,3,2011,CRASPEDIA JAMESII,1,Asteraceae,forbs,Control,2.65259832,45.86368638,0.4632264,4.769856,8339.800255,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,0,2010,2010,2,0.542,52,203,35
bogong.au,3,2011,PLANTAGO EURYPHYLLA,1,Plantaginaceae,forbs,Control,1.304300186,46.11911519,0.143374747,3.57698964,3621.115718,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,0,2010,2010,2,0.542,52,203,10
bogong.au,3,2011,POA HIEMATA,1,Poaceae,grass,Control,0.861178628,48.26108377,0.155303898,0.582220704,5202.389381,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,0,2010,2010,2,0.542,52,203,30
bogong.au,3,2011,RUMEX ACETOSELLA,1,Polygonaceae,forbs,Control,2.175919063,45.98072121,0.40187394,3.2738472,9830.053191,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,0,2010,2010,2,0.542,52,203,0.01
bogong.au,4,2011,PLANTAGO EURYPHYLLA,1,Plantaginaceae,forbs,Fence,1.714162971,43.26405233,0.20534825,2.88484352,4168.077701,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,1,2010,2010,2,0.376,49,218,7
bogong.au,4,2011,POA HIEMATA,1,Poaceae,grass,Fence,1.583611622,48.9655077,0.234703831,0.866110608,4475.901235,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,1,2010,2010,2,0.376,49,218,30
bogong.au,4,2011,RUMEX ACETOSELLA,1,Polygonaceae,forbs,Fence,2.427676345,48.12564399,0.345987439,2.134099344,8622.721088,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,1,2010,2010,2,0.376,49,218,0.01
bogong.au,4,2011,TRACHYMENE HUMILIS SSP. BREVISCAPA,1,Apiaceae,forbs,Fence,3.173984459,48.75798715,0.277847463,2.12779912,6863.616792,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,0,1,2010,2010,2,0.376,49,218,9
bogong.au,5,2011,HYPOCHAERIS RADICATA,1,Asteraceae,forbs,NPK,2.906199351,44.8756729,0.447144464,5.93081216,106979.9914,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,1,1,0,2010,2010,2,0.402,58,214,15
bogong.au,5,2011,PLANTAGO EURYPHYLLA,1,Plantaginaceae,forbs,NPK,2.22143962,42.95483924,0.19381296,2.8968852,4451.298441,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,1,1,0,2010,2010,2,0.402,58,214,13
bogong.au,5,2011,POA HIEMATA,1,Poaceae,grass,NPK,1.429698834,47.64381867,0.568536192,1.882537344,6865.149105,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,1,1,0,2010,2010,2,0.402,58,214,45
bogong.au,6,2011,CRASPEDIA JAMESII,1,Asteraceae,forbs,NK,2.269325898,43.70901764,0.267673916,4.57370976,8611.415965,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,0,1,0,2010,2010,2,0.581,46,216,40
bogong.au,6,2011,HYPOCHAERIS RADICATA,1,Asteraceae,forbs,NK,2.819309306,46.16657767,0.37579938,8.31006,9571.775906,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,0,1,0,2010,2010,2,0.581,46,216,10
bogong.au,6,2011,POA HIEMATA,1,Poaceae,grass,NK,1.440324718,47.93716578,0.148738924,1.112521896,8860.068807,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,1,0,1,0,2010,2010,2,0.581,46,216,20
bogong.au,7,2011,POA HIEMATA,1,Poaceae,grass,K,0.985239649,47.83410246,0.181386528,1.213452912,NA,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,1,0,2010,2010,2,0.496,54,225,25
bogong.au,7,2011,POA HOTHAMENSIS,1,Poaceae,grass,K,1.896953204,46.81887485,0.32398748,2.54508084,3246.314535,Bogong,Australia,AU,Australia,ALPINE GRASSLAND,-36.874,147.254,5.7,47.59,1592,26,0,0,1,0,2010,2010,2,0.496,54,225,15
