species,site,fruit_dry_mass_mg,fruit_N_mg_g-1,fruit_P_mg_g-1,fruit_K_mg_g-1,fruit_S_mg_g-1,fruit_Ca_mg_g-1,fruit_Mg_mg_g-1,fruit_Na_mg_g-1,fruit_Cl_mg_g-1,fruit_Fe_ug_g-1,fruit_Zn_ug_g-1,fruit_Mn_ug_g-1,fruit_Cu_ug_g-1,seed_dry_mass_mg,seed_N_mg_g-1,seed_P_mg_g-1,seed_K_mg_g-1,seed_S_mg_g-1,seed_Ca_mg_g-1,seed_Mg_mg_g-1,seed_Na_mg_g-1,seed_Cl_mg_g-1,seed_Fe_ug_g-1,seed_Zn_ug_g-1,seed_Mn_ug_g-1,seed_Cu_ug_g-1
Grevillea wilsonii,Walyunga National Park,440,3.01,0.05,5.14,0.28,3.12,1.19,0.2,1.82,18.6,1.43,25.3,3.58,121,39.64,8.74,5.86,7.87,16.42,4.27,0.09,1.26,33,70.8,208,40.1
Hakea undulata,Walyunga National Park,1310,2.67,0.1,4.26,0.22,0.54,0.72,0.78,2.73,30.7,3.9,8.1,5,32,125.51,13.7,6.37,11.07,8.36,4.9,0.12,1.79,199.1,176.4,67,54.8
