taxon_name,tissue,location_name,replicates,d13C_permil,d13C_sd,N_pct_fresh,N_pct_litter,N_pct_sd,d15N_permil,d15N_sd
Corymbia opaca,fresh leaf,Grove (under bloodwood),3,-25.9,1.14,1.03,,0.12,0.40,1.66
Acacia aneura,fresh phyllode,Grove,6,-27.2,0.37,1.61,,0.09,1.67,1.18
Acacia aneura,leaf litter,Grove,6,-26.6,0.42,,1.41,0.13,1.47,1.39
Acacia aneura,fresh phyllode,Intergrove,5,-24.8,0.64,1.65,,0.16,5.34,1.68
Acacia aneura,leaf litter,Intergrove,5,-25.3,0.32,,1.55,0.25,4.92,1.39
