Species,Tree,Growth.Form,number,Aa,gs,WUEi,CiCa,LMA,LDMC,LS,Lamina,Amass,Leaf N,PNUE
AGY,AGY_1,T,3,14.003406,0.20903185,67.60214,0.6798756,192.57458,0.5506667,41.80667,0.3066667,72.71679367,1.525191,128.5948478
AGY,AGY_2,T,3,17.231542,0.21778383,80.60871,0.6145922,171.45557,0.5103333,23.93667,0.3033333,100.5015002,1.5681252,153.9067016
AGY,AGY_4,T,3,16.241211,0.25306103,63.83408,0.6828373,197.64149,0.51,31.05667,0.35,82.17510908,1.5257494,149.0902774
ALS,ALS_1,T,3,15.275867,0.28737435,55.15392,0.7295031,113.59414,0.361,40.28667,0.3366667,134.4775972,1.9470806,109.884405
ALS,ALS_2,T,3,18.813394,0.16331441,115.25572,0.4684659,97.50499,0.2826667,41.36667,0.33,192.9480122,2.0192829,130.4920655
ALS,ALS_4,T,3,13.574295,0.24179882,66.05449,0.6886156,95.41376,0.2816667,39.22,0.31,142.2676876,1.7994859,105.6532734
ALS,ALS_5,T,3,18.502574,0.247115,76.06308,0.6338309,115.09341,0.333,47.95,0.2833333,160.7613677,1.9117507,135.5548354
CAL,CAL_1,L,3,10.52453,0.41969312,27.6389,0.8552829,91.49085,0.4643333,80.90333,0.1633333,115.0336892,1.9971066,73.81006461
CAL,CAL_5,L,1,14.069434,0.11488846,122.46168,0.4519522,89.29391,0.44,98.18,0.1666667,157.5631978,NA,NA
CAL,CAL_6,L,3,11.705717,0.11977327,98.39234,0.5577891,84.60858,0.4953333,96.86,0.14,138.3514178,2.18067,75.18344009
CAL,CAL_7,L,3,13.441661,0.13757169,97.76381,0.5550058,97.83363,0.469,137.24333,0.17,137.3930519,2.0823084,90.4111533
CAL,CAL_8,L,3,11.162507,0.12821743,91.45544,0.5876496,88.71669,0.4313333,118.28333,0.1733333,125.8219508,1.8759686,83.33938694
CAR,CAR_2,T,3,13.04401,0.23341426,55.89968,0.7301296,134.42463,0.4126667,55.01,0.26,97.03586315,1.2447288,146.7744653
CAR,CAR_4,T,3,13.119309,0.19264023,68.08959,0.6726342,129.92253,0.432,48.30667,0.2433333,100.9779366,1.0789849,170.2980661
CAS,CAS_1,T,1,11.754943,0.1508046,77.94817,0.637329,NA,NA,NA,NA,NA,NA,NA
CAS,CAS_2,T,3,11.164857,0.22631583,49.43133,0.7582994,93.99895,0.4176667,53.90667,0.2166667,118.7764012,2.2749287,68.73841239
CAS,CAS_4,T,1,7.162678,0.05253854,136.33188,0.4154126,106.30022,0.418,45.69,0.2433333,67.3815915,2.354173,42.61388949
CAS,CAS_5,T,3,10.392204,0.13320074,78.32944,0.6400479,87.97131,0.331,66.57667,0.2333333,118.1317409,2.8174718,51.6609285
CLE,CLE_1,T,3,9.476024,0.17734447,53.56976,0.7453606,96.83282,0.468,56.25667,0.2266667,97.85963065,1.7647371,75.20734513
