Obs,HHMMSS,Species,Growth.Form,Tree,Tree.code,Leaf,,Photo,Cond,Ci,Trmmol,VpdL,Tair,Tleaf,TBlk,RH_S,PARi,PARo,Trans,Tl_Ta,Ci_Ca,WUE
1,9:07:01,MER,Liana,1,MER_1,1,MER_1_1,19.14198697,0.446147034,289.214921,5.252908959,1.320785885,25.70983696,28.52165222,25.03311539,78.11849213,1999.886963,192.6999817,0.005252909,0.654643957,0.772916959,3.64407362
2,9:24:24,MER,Liana,1,MER_1,2,MER_1_2,16.56789273,0.310716708,276.7837064,4.635254597,1.604376119,25.6753006,29.23552513,25.03427887,74.69966125,1999.132324,305.1421204,0.004635255,0.868890274,0.730984085,3.574322053
3,9:35:12,CAS,Tree,1,CAS_1,1,CAS_1_1,11.75494256,0.150804595,245.4805631,2.659702089,1.80164622,25.76575661,29.34123993,25.03535461,69.12219238,1999.899048,79.52021027,0.002659702,1.893608629,0.637329048,4.419646325
4,9:44:14,MER,Liana,1,MER_1,3,MER_1_3,20.25671424,0.477484259,289.0426411,5.916567548,1.40095056,26.04281235,29.37029457,25.03249359,80.04594421,1999.077026,583.0413818,0.005916568,0.234144511,0.772399725,3.423727368
5,9:57:27,ALS,Tree,1,ALS_1,1,ALS_1_1,16.06304484,0.235454897,254.4502312,3.634609628,1.619557148,25.93025589,29.56298447,25.02903366,75.44167328,2001.047974,190.0222015,0.00363461,1.380170031,0.6700629,4.419469073
6,10:04:16,ALS,Tree,1,ALS_1,2,ALS_1_2,16.2799809,0.377463982,296.6817321,3.708139133,1.081132838,25.82900429,27.2359581,25.03273773,76.27921295,1998.387939,308.5142212,0.003708139,1.652284219,0.781849327,4.390337125
7,10:08:39,ALS,Tree,1,ALS_1,3,ALS_1_3,13.48457592,0.249204158,282.0398783,3.387477511,1.434563725,25.80339432,28.63665581,25.03039742,75.06058502,1999.863159,430.0180969,0.003387478,1.620886033,0.736596925,3.980713046
8,10:17:34,ENT,Liana,1,ENT_1,1,ENT_1_1,12.18048273,0.171943013,256.8348083,2.860135294,1.710782712,25.77385902,29.42808533,25.03269005,72.43707275,2000.296143,131.0054169,0.002860135,1.778942884,0.667035086,4.258708583
9,10:25:29,ENT,Liana,1,ENT_1,2,ENT_1_2,9.292625663,0.098994814,221.6296474,2.214263758,2.232969707,29.9736557,32.4260788,30.11234093,62.49370575,2000.058594,160.2087555,0.002214264,2.257957292,0.571903653,4.196711267
10,10:30:30,ENT,Liana,1,ENT_1,3,ENT_1_3,12.74045309,0.091908993,139.9405018,3.307724119,3.550139809,30.15703583,37.44605637,30.10706139,67.68678284,1999.671387,300.9866028,0.003307724,0.968854677,0.365033922,3.851727845
11,10:41:55,END,Tree,1,END_1,1,END_1_1,14.74986523,0.302306406,287.4294844,3.534072634,1.24577154,30.24619293,31.13220406,30.09789085,76.36362457,2000.210205,108.5965958,0.003534073,1.802828239,0.757558692,4.173616887
12,10:47:35,END,Tree,1,END_1,2,END_1_2,13.07814723,0.238031785,281.4464842,3.18776087,1.39716162,30.14496803,31.61462593,30.10355949,76.22689056,2000.50061,204.8761292,0.003187761,1.898223228,0.734278056,4.102612386
13,10:54:14,END,Tree,1,END_1,3,END_1_3,14.38565031,0.285002767,286.6549609,3.529874349,1.311898023,30.10328293,31.40943146,30.10498047,77.13569641,2000.19104,238.7115479,0.003529874,1.744508029,0.751300684,4.075400111
14,11:39:29,MYR,Tree,1,MYR_1,1,MYR_1_1,11.10628812,0.150235299,250.7766253,2.673114468,1.801655718,30.26973343,32.77719498,30.09991455,73.6680603,1999.738892,101.1541595,0.002673114,2.010105961,0.65330483,4.154812018
15,11:44:16,MYR,Tree,1,MYR_1,2,MYR_1_2,10.85969996,0.163148757,263.8680242,2.795308398,1.741286973,30.35160446,32.84545135,30.10572243,75.15350342,1999.523926,30.59373665,0.002795308,1.948040877,0.685481413,3.884973824
16,11:49:01,MYR,Tree,1,MYR_1,3,MYR_1_3,9.208125033,0.190576021,296.401639,2.796214166,1.505375105,30.47308159,32.23426056,30.10322189,76.14647675,2000.170166,34.87479019,0.002796214,2.0558873,0.766629922,3.293068587
17,12:09:07,TET,Liana,1,TET_1,1,TET_1_1,11.12741142,0.160016763,260.2640301,2.242988006,1.423073109,30.30378342,32.18246841,30.10079193,78.46061707,1998.896851,179.9035187,0.002242988,2.323340604,0.676937041,4.96097678
18,12:14:03,TET,Liana,1,TET_1,2,TET_1_2,12.26664719,0.22708865,282.8345502,2.908514633,1.328125697,30.37643814,32.30033493,30.10133743,81.05614471,2000.72522,254.2566071,0.002908515,1.975479031,0.73950895,4.217495437
19,12:22:32,TET,Liana,1,TET_1,3,TET_1_3,13.98735233,0.255747834,280.6509652,3.074162281,1.25808442,30.32557106,32.14869308,30.10386467,81.95159149,2000.572266,152.6970367,0.003074162,1.904566058,0.735137435,4.54997201
20,12:34:12,CLE,Tree,1,CLE_1,1,CLE_1_1,9.039622178,0.172537941,291.3538031,2.538908348,1.498112514,30.41207504,32.70037079,30.10150909,79.5344162,2000.360596,114.1884232,0.002538908,2.112064282,0.75099964,3.560436589
21,12:38:01,CLE,Tree,1,CLE_1,2,CLE_1_2,9.437204521,0.165518371,283.1915164,2.568332361,1.575384656,30.38943291,32.98688126,30.09736824,79.71656799,1999.462036,87.70385742,0.002568332,2.049677157,0.730414265,3.674448316
22,12:43:34,CLE,Tree,1,CLE_1,3,CLE_1_3,9.951245222,0.193977104,292.1065707,2.724446407,1.439985678,30.45109367,32.62585068,30.09681702,80.21050262,1999.806152,11.68906879,0.002724446,2.031613716,0.754667845,3.652575143
1,8:38:43,ROC,Tree,1,ROC_1,1,ROC_1_1,4.555812575,0.686999353,373.9966245,4.704493258,0.821315401,29.80845261,29.60607147,30.09073067,79.35069275,999.3312378,6.74273777,0.004704493,-0.53154144,0.954391101,0.968396026
2,8:43:28,ROC,Tree,1,ROC_1,2,ROC_1_2,4.719643967,0.768758842,374.2869408,4.725781536,0.754312805,29.82190895,29.49597931,30.09224892,80.25350952,1000.58075,12.699296,0.004725782,-0.522931841,0.957200393,0.998701259
3,8:53:36,ROC,Tree,1,ROC_1,3,ROC_1_3,5.421786479,0.752026682,371.3293413,4.702765516,0.763310519,29.8435154,29.78935051,30.10282516,81.61090088,1000.217529,10.05326462,0.004702766,-0.549712518,0.95175228,1.15289322
4,9:05:35,NOR,Tree,1,NOR_1,1,NOR_1_1,12.1643206,0.443000775,326.8567157,4.558982441,1.143540538,29.97374916,31.53059959,30.09908485,82.41912842,2000.123901,37.7582283,0.004558982,1.17566973,0.852774086,2.668209574
5,9:08:47,NOR,Tree,1,NOR_1,2,NOR_1_2,12.49892278,0.634572936,340.083834,4.712145457,0.874393629,29.99837494,30.613554,30.10095406,83.06303406,2000.027588,106.5891266,0.004712145,1.231875917,0.888542841,2.652490866
6,9:11:38,NOR,Tree,1,NOR_1,3,NOR_1_3,12.28820722,0.375690402,318.0176713,4.264516956,1.235185619,30.03704071,31.84381104,30.10493088,81.92592621,1999.036621,84.80810547,0.004264517,1.289551753,0.829533169,2.881500378
7,9:21:32,CAL,Liana,1,CAL_1,1,CAL_1_1,10.83032954,0.395055202,329.4267823,4.196143106,1.162342388,30.06677818,31.67429924,30.10470009,82.43080902,1999.275757,140.9355316,0.004196143,1.35420083,0.85496205,2.581020062
8,9:26:33,CAL,Liana,1,CAL_1,2,CAL_1_2,10.66474746,0.278540297,311.8971637,3.461721436,1.311016236,30.10840988,31.99237061,30.10523415,80.75492859,1999.411499,134.687912,0.003461721,1.6940981,0.808396159,3.080764196
9,9:34:21,CAL,Liana,1,CAL_1,3,CAL_1_3,10.07851239,0.585483848,348.6167788,4.454036576,0.882048927,30.18380547,30.95762825,30.10925293,84.0396347,2000.061279,839.1262207,0.004454037,1.34235565,0.902490488,2.262781686
10,9:46:50,NEO,Liana,1,NEO_1,1,NEO_1_1,10.95274493,0.148149332,253.6570876,2.039179204,1.392065909,30.14990997,32.12129974,30.10810089,79.4899292,1999.780884,125.8067627,0.002039179,2.417715761,0.659584415,5.371153703
