Growth.Form,Species.Code.OLD,Species.Old,Individual,Species,BranchCode,Length,Diameter,Fresh.Weight,Vol.measured,Vol.waterDisp,Dry.Weight,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio
T,ACM,Acmena graveolens,1,SYZ_G,SYZ_G_1,28.9,8.33,1.7286,1.574989733,1.6038,0.7726,0.481730889,8.579172729,0.673776389,-29.06235991,43.2598679,-29.68740305,2.909360518,49.48608833,1.816107412,27.24843696,85.428,46.749,1.601,45.148,0.528491829
T,ACM,Acmena graveolens,2,SYZ_G,SYZ_G_2,38.12,8.84,2.7242,2.339630657,2.5901,1.2066,0.465850739,4.618330271,0.604115767,-27.89139412,46.00105983,-28.16832642,4.176971176,48.00250389,1.343695748,35.72423591,83.762,44.408,3.077,41.331,0.493433777
T,ACM,Acmena graveolens,3,SYZ_G,SYZ_G_3,NA,NA,2.9258,2.7,2.7257,1.2843,0.471181715,3.452873159,0.514223284,-28.23929719,45.62449237,-29.15391343,3.713879079,48.43657664,1.443120789,33.56377166,62.6652,35.928,0.684,35.244,0.562417418
T,ACM,Acmena graveolens,5,SYZ_G,SYZ_G_4,37.17,9.87,2.9015,2.84391589,2.8802,1.5467,0.537011319,3.662865431,0.554283415,-29.4123155,45.16985019,-30.02034152,4.46121218,49.58684543,2.093912518,23.68143129,141.058,99.277,3.233,96.044,0.680883041
T,ACM,Acmena graveolens,4,SYZ_G,SYZ_G_5,47.08,12.44,6.2695,5.722253537,5.9391,2.9549,0.497533296,3.683031692,0.598807449,-28.2039712,44.97950764,-29.00160292,2.093323207,49.65365623,1.583460269,31.35768999,76.708,50.964,1.966,48.998,0.638759973
T,ACM,Acmena graveolens,6,SYZ_G,SYZ_G_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.07547238,3.854675366,49.69992952,1.711816358,29.03344702,NA,NA,NA,NA,NA
T,AGY,Agyrodendron peralatum,1,AGY,AGY_1,42.53,11.59,4.7775,4.48695936,4.5128,2.2765,0.504453998,4.306708978,0.490541154,-30.34210955,44.84176194,-31.57050493,5.863993343,50.40880891,1.525191046,33.05081618,104.055,44.345,4.087,40.258,0.386891548
T,AGY,Agyrodendron peralatum,2,AGY,AGY_2,44.12,10.06,3.9067,3.506883564,3.5852,1.8097,0.504769608,2.791410939,0.558474138,-30.42575731,44.85717177,-31.37542548,2.640434323,49.28021711,1.568125195,31.4262007,91.416,38.909,2.748,36.161,0.395565328
T,AGY,Agyrodendron peralatum,3,AGY,AGY_3,37.24,10.46,3.416,3.200095379,3.054,1.7885,0.585625409,1.562346025,0.440893169,-30.7649298,42.38351668,-31.25286524,0.886026326,49.03957452,1.238805447,39.58617929,100.599,39.941,2.43,37.511,0.37287647
T,AGY,Agyrodendron peralatum,4,AGY,AGY_4,41.91,13.05,6.4771,5.605683396,6.0937,2.9847,0.489800942,1.623616374,0.680463512,-30.76698233,48.88619885,-30.24218798,1.671911618,49.44431837,1.525749377,32.40657942,154.984,54.53,3.683,50.847,0.328079028
T,AGY,Agyrodendron peralatum,5,AGY,AGY_5,41.9,8.08,2.3927,2.148456802,2.0762,1.1045,0.531981505,2.608514375,0.456882051,-30.82855809,42.55159931,-30.71579205,2.346653149,47.52277708,1.373060016,34.61085205,56.206,22.255,2.555,19.7,0.350496388
T,ALS,Alstonia scholaris,1,ALS,ALS_1,36.13,7.99,1.8791,1.811554489,1.81,0.5703,0.315082873,4.036022062,0.924235283,-28.45275984,42.15453598,-28.12308815,3.04222572,50.12452647,1.947080582,25.74342682,57.68,32.281,9.502,22.779,0.39492025
T,ALS,Alstonia scholaris,2,ALS,ALS_2,17.22,6.53,0.6766,0.576699256,0.6868,0.2011,0.292807222,4.266471734,0.743117901,-27.98369497,45.14455718,-28.22256621,3.721471377,49.23100023,2.01928294,24.38043687,59.283,33.588,16.153,17.435,0.294097802
T,ALS,Alstonia scholaris,3,ALS,ALS_3,26.04,5.44,0.6739,0.605241447,0.7025,0.2253,0.320711744,3.422328828,0.972850928,-28.03776278,42.56687702,-28.11629669,3.35596394,50.02017318,1.772031515,28.22758667,79.413,43.434,5.596,37.838,0.476471107
