Date,Growth Form,Species Code,Species ,Individual,Sun/Shade,Tree ID,Notes,
4/3/2014,Tree,ALS,Alstonia scholaris,1,Sun,6027,,
5/8/2014,Tree,ALS,Alstonia scholaris,2,Sun,7100,,
5/9/2014,Tree,ALS,Alstonia scholaris,3,Sun,6028,,
5/22/2014,Tree,ALS,Alstonia scholaris,4,Sun,7006,,
5/23/2014,Tree,ALS,Alstonia scholaris,5,Sun,5082,,
4/4/2014,Liana,CAL,Calamus sp.,1,Sun,5009,,
4/8/2014,Liana,CAL,Calamus sp.,2,,,Collected Stems Only,
4/8/2014,Liana,CAL,Calamus sp.,3,,,Collected Stems Only,
4/8/2014,Liana,CAL,Calamus sp.,4,,,Collected Stems Only,
5/8/2014,Liana,CAL,Calamus sp.,5,Sun,5007,,
5/9/2014,Liana,CAL,Calamus sp.,3,Sun,537,,
5/22/2014,Liana,CAL,Calamus sp.,7,Sun,47,,
5/22/2014,Liana,CAL,Calamus sp.,8,Sun,4010,,
4/3/2014,Tree,CAS,Castanospermum australe,1,Sun,,,
4/4/2014,Tree,CAS,Castanospermum australe,2,Sun,,,
5/8/2014,Tree,CAS,Castanospermum australe,3,Sun,5005,,
5/8/2014,Tree,CAS,Castanospermum australe,4,Sun,1014,,
5/23/2014,Tree,CAS,Castanospermum australe,5,Sun,4006,,
4/3/2014,Tree,CLE,Cleistanthus myrianthus,1,Sun,1,,
5/8/2014,Tree,CLE,Cleistanthus myrianthus,2,Understory,4,,
5/9/2014,Tree,CLE,Cleistanthus myrianthus,3,Sun,1,,
5/22/2014,Tree,CLE,Cleistanthus myrianthus,4,Sun,7056,,
5/23/2014,Tree,CLE,Cleistanthus myrianthus,5,Sun,7014,,
4/3/2014,Tree,END,Endiandra microneura,1,Sun,4019,,
5/8/2014,Tree,END,Endiandra microneura,2,Sun,7072,,
5/9/2014,Tree,END,Endiandra microneura,3,Sun,2002,,
5/22/2014,Tree,END,Endiandra microneura,4,Sun,7055,,
5/22/2014,Tree,END,Endiandra microneura,5,Sun,3008,,
4/3/2014,Liana,ENT,Entada phaseoloides,1,Sun,4019,,
4/4/2014,Liana,ENT,Entada phaseoloides,2,Sun,6003,,
5/6/2014,Liana,ENT,Entada phaseoloides,3,,,Collected Stems Only,
5/8/2014,Liana,ENT,Entada phaseoloides,4,Sun,7072,,
5/8/2014,Liana,ENT,Entada phaseoloides,5,Sun,1014,,
5/22/2014,Liana,ENT,Entada phaseoloides,6,Sun,7055,,
4/3/2014,Liana,MER,Merremia peltata,1,Sun,1014,,
4/4/2014,Liana,MER,Merremia peltata,2,Sun,,,
5/8/2014,Liana,MER,Merremia peltata,3,Sun,6015,,
5/9/2014,Liana,MER,Merremia peltata,4,Sun,5009,,1.3272
5/22/2014,Liana,MER,Merremia peltata,5,Sun,6002,,
5/23/2014,Liana,MER,Merremia peltata,6,Sun,,,
4/3/2014,Tree,MYR,Myristica globossa muelleri,1,Sun,23,,
4/4/2014,Tree,MYR,Myristica globossa muelleri,2,Sun,5003,,
5/9/2014,Tree,MYR,Myristica globossa muelleri,3,Sun,4014,,
5/22/2014,Tree,MYR,Myristica globossa muelleri,4,Sun,6005,,
5/22/2014,Tree,MYR,Myristica globossa muelleri,5,Sun,3002,,
4/4/2014,Tree,NOR,Normanbya normanbyi,1,Sun,5065,,
5/8/2014,Tree,NOR,Normanbya normanbyi,2,Sun,7033,,
5/9/2014,Tree,NOR,Normanbya normanbyi,3,Sun,5033,,
5/22/2014,Tree,NOR,Normanbya normanbyi,4,Sun,5100,,
5/23/2014,Tree,NOR,Normanbya normanbyi,5,Sun,5074,,
4/4/2014,Tree,ROC,Rockinghamia angustifolia,1,Understory,4010,,
5/8/2014,Tree,ROC,Rockinghamia angustifolia,2,Understory,509 or 326,,
5/9/2014,Tree,ROC,Rockinghamia angustifolia,3,Sun,537,,
5/22/2014,Tree,ROC,Rockinghamia angustifolia,4,Sun,20034/69,,
5/23/2014,Tree,ROC,Rockinghamia angustifolia,5,Sun,5072,,
4/3/2014,Liana,TET,Tetracera nordtiana,1,Sun,34,,
5/8/2014,Liana,TET,Tetracera nordtiana,2,Sun,7002,,
5/9/2014,Liana,TET,Tetracera nordtiana,3,Sun,2002,,
5/9/2014,Liana,TET,Tetracera nordtiana,4,Sun,5034,,
5/22/2014,Liana,TET,Tetracera nordtiana,5,Sun,4022,,
4/4/2014,Liana,UNK A,Unknown A,1,Sun,,,
4/4/2014,Liana,UNK B,Unknown B,1,Sun,7003,,
5/8/2014,Liana,UNK C,Unknown C,1,Understory,,,
5/9/2014,Liana,UNK C,Unknown C,2,Sun,3042,,
5/9/2014,Liana,UNK C,Unknown C,3,Sun,1,,
5/9/2014,Liana,UNK C,Unknown C,4,Sun,539,,
5/22/2014,Liana,UNK C,Unknown C,5,Sun,100007/65,,
