Date,Time,ID,Growth.Form,Spec.Code.old,Species,Individual,Tree,Leaf,LeafCode,Fresh Weight,Dry Weight,LDMC,AreaTotal,SLA,LMA,Petiole Width,Petiole Height,Lam1,Lam2,Lam3,Lamina
3/04/2014,3:25:45,1,L,MER,MER,1,MER_1,1,MER_1_1,8.88,2.2705,0.256,366.69,161.5018718,61.91878699,4.48,4.53,0.38,0.42,0.31,0.37
3/04/2014,3:38:08,3,L,MER,MER,1,MER_1,2,MER_1_2,7.15,1.8198,0.255,314.7,172.9310913,57.82650143,NA,NA,0.38,0.33,0.4,0.37
3/04/2014,3:43:58,5,L,MER,MER,1,MER_1,3,MER_1_3,5.61,1.4077,0.251,264.43,187.8454216,53.23526075,NA,NA,0.31,0.29,0.42,0.34
3/04/2014,3:49:23,10,L,MER,MER,1,MER_1,4,MER_1_4,4.95,1.2304,0.249,309.7,251.706762,39.72876978,NA,NA,0.3,0.29,0.28,0.29
3/04/2014,6:04:14,17,L,MER,MER,1,MER_1,5,MER_1_5,4.16,1.0415,0.25,202.04,193.9894383,51.54919818,NA,NA,0.32,0.31,0.33,0.32
3/04/2014,8:02:35,19,L,MER,MER,1,MER_1,6,MER_1_6,2.68,0.6645,0.248,133.59,201.0383747,49.74174714,NA,NA,0.26,0.32,0.33,0.3
3/04/2014,10:03:01,23,L,ENT,ENT,1,ENT_1,1,ENT_1_1,0.31,0.0752,0.243,16.47,219.0159574,45.65877353,NA,NA,0.2,0.22,0.21,0.21
3/04/2014,10:05:48,31,L,ENT,ENT,1,ENT_1,2,ENT_1_2,0.28,0.0628,0.224,15.72,250.3184713,39.94910941,NA,NA,0.22,0.2,0.2,0.21
3/04/2014,10:07:13,32,L,ENT,ENT,1,ENT_1,3,ENT_1_3,0.49,0.1083,0.221,23.24,214.5891043,46.60068847,NA,NA,0.24,0.22,0.23,0.23
3/04/2014,11:16:38,47,T,END,END,1,END_1,1,END_1_1,1.69,0.72,0.426,52.01,72.23611111,138.4349164,3.13,1.81,0.32,0.32,0.35,0.33
3/04/2014,11:19:51,48,T,END,END,1,END_1,2,END_1_2,1.34,0.5823,0.435,44.44,76.31804912,131.0306031,2.8,2.11,0.32,0.29,0.3,0.3
3/04/2014,11:22:45,49,T,END,END,1,END_1,3,END_1_3,1.62,0.7021,0.433,49.24,70.13245976,142.5873274,2.89,2.24,0.39,0.29,0.37,0.35
3/04/2014,11:24:33,50,T,MYR,MYR,1,MYR_1,1,MYR_1_1,1.49,0.6672,0.448,50.48,75.65947242,132.1711569,2.62,2.04,0.34,0.32,0.31,0.32
3/04/2014,11:25:57,51,T,MYR,MYR,1,MYR_1,2,MYR_1_2,1.38,0.6202,0.449,45.24,72.94421154,137.0910698,2.15,2.47,0.34,0.31,0.31,0.32
3/04/2014,11:27:17,52,T,MYR,MYR,1,MYR_1,3,MYR_1_3,0.73,0.3184,0.436,28.73,90.23241206,110.8249217,1.68,1.75,0.31,0.26,0.31,0.29
3/04/2014,11:32:18,53,T,ALS,ALS,1,ALS_1,1,ALS_1_1,1.38,0.512,0.371,43.61,85.17578125,117.4042651,3.68,1.95,0.36,0.34,0.33,0.34
3/04/2014,11:34:36,60,T,ALS,ALS,1,ALS_1,2,ALS_1_2,1.06,0.3993,0.377,32.93,82.46932131,121.2572123,3.34,1.63,0.32,0.36,0.35,0.34
3/04/2014,11:37:46,70,T,ALS,ALS,1,ALS_1,3,ALS_1_3,1.35,0.4526,0.335,44.32,97.92311091,102.1209386,3.1,2.13,0.35,0.33,0.32,0.33
3/04/2014,11:39:27,71,L,TET,TET,1,TET_1,1,TET_1_1,1.01,0.4556,0.451,38.01,83.42844601,119.8631939,1.37,2.13,0.34,0.35,0.3,0.33
3/04/2014,11:40:56,73,L,TET,TET,1,TET_1,2,TET_1_2,0.77,0.3355,0.436,28.33,84.44113264,118.4256971,1.29,1.56,0.37,0.35,0.37,0.36
3/04/2014,11:42:10,74,L,TET,TET,1,TET_1,3,TET_1_3,1.04,0.437,0.42,38.32,87.68878719,114.039666,1.36,2.18,0.34,0.34,0.34,0.34
3/04/2014,11:44:14,76,T,CLE,CLE,1,CLE_1,1,CLE_1_1,1.18,0.5793,0.491,52.31,90.29863629,110.7436437,2.62,2.57,0.27,0.23,0.23,0.24
3/04/2014,11:45:30,77,T,CLE,CLE,1,CLE_1,2,CLE_1_2,1.06,0.4827,0.455,53.28,110.3791175,90.59684685,2.29,2.58,0.22,0.21,0.27,0.23
3/04/2014,11:46:55,78,T,CLE,CLE,1,CLE_1,3,CLE_1_3,1.23,0.5633,0.458,63.18,112.1604829,89.15796138,2.46,2.67,0.22,0.2,0.21,0.21
3/04/2014,11:56:26,79,L,ENT,ENT,1,ENT_1,1,ENT_1_1,0.6,0.1539,0.257,28.17,183.0409357,54.63258786,1.85,1.97,0.26,0.26,0.25,0.26
3/04/2014,11:58:08,81,L,ENT,ENT,1,ENT_1,2,ENT_1_2,0.71,0.1799,0.253,32.56,180.9894386,55.25184275,2.03,1.85,0.27,0.28,0.27,0.27
3/04/2014,11:59:45,84,L,ENT,ENT,1,ENT_1,3,ENT_1_3,0.84,0.2345,0.279,34.88,148.7420043,67.23050459,2.17,2.23,0.28,0.29,0.27,0.28
4/04/2014,10:11:07,1,L,ENT,ENT,2,ENT_2,1,ENT_2_1,1.05,0.2407,0.229,48.09,199.7922725,50.05198586,NA,NA,0.25,0.25,0.24,0.25
4/04/2014,10:12:12,2,L,ENT,ENT,2,ENT_2,2,ENT_2_2,0.71,0.1689,0.238,33.19,196.5068088,50.88882193,1.83,1.69,0.22,0.21,0.22,0.22
4/04/2014,10:12:49,3,L,ENT,ENT,2,ENT_2,3,ENT_2_3,0.55,0.1205,0.219,27.81,230.7883817,43.3297375,1.59,1.49,0.19,0.2,0.22,0.2
4/04/2014,10:17:21,5,T,MYR,MYR,2,MYR_2,1,MYR_2_1,1.56,0.648,0.415,61.07,94.24382716,106.1077452,2.93,2.57,0.25,0.29,0.23,0.26
4/04/2014,10:19:41,6,T,MYR,MYR,2,MYR_2,2,MYR_2_2,1.31,0.5291,0.404,48.59,91.83519184,108.8907183,2.33,2.13,0.26,0.26,0.23,0.25
4/04/2014,10:24:34,8,T,MYR,MYR,2,MYR_2,3,MYR_2_3,1.16,0.4887,0.421,40.58,83.03662779,120.4287827,2.31,2.6,0.26,0.25,0.28,0.26
4/04/2014,10:29:48,9,L,CAY,CAY,1,CAY_1,2,CAY_1_2,0.94,0.2932,0.312,38.73,132.0941337,75.70358895,1.88,1.75,0.23,0.22,0.23,0.23
4/04/2014,10:31:50,11,L,CAY,CAY,1,CAY_1,1,CAY_1_1,0.68,0.2079,0.306,31.13,149.7354497,66.7844523,1.69,1.48,0.23,0.22,0.2,0.22
4/04/2014,10:34:27,14,L,CAY,CAY,1,CAY_1,3,CAY_1_3,0.94,0.28,0.298,37.84,135.1428571,73.99577167,1.77,1.69,0.21,0.22,0.23,0.22
4/04/2014,10:39:54,17,L,MER,MER,2,MER_2,2,MER_2_2,7.21,1.6518,0.229,326.155,197.4542923,50.64463215,3.95,4.19,0.26,0.23,0.25,0.25
4/04/2014,10:51:06,25,L,MER,MER,2,MER_2,1,MER_2_1,5.3,1.3272,0.25,263.7655,198.7383213,50.3174221,3.15,3.33,0.25,0.25,0.28,0.26
4/04/2014,10:57:02,30,L,MER,MER,2,MER_2,3,MER_2_3,7.68,1.9826,0.258,384.59,193.982649,51.55100237,3.65,4.09,0.27,0.28,0.2,0.25
4/04/2014,11:00:14,32,T,CAS,CAS,2,CAS_2,1,CAS_2_1,1.27,0.5243,0.413,56.34,107.4575625,93.0599929,2.29,2.36,0.21,0.22,0.22,0.22
4/04/2014,11:03:02,37,T,CAS,CAS,2,CAS_2,2,CAS_2_2,1.26,0.5079,0.403,57.96,114.1169522,87.62939959,2.59,2.59,0.22,0.2,0.24,0.22
4/04/2014,11:05:05,39,T,CAS,CAS,2,CAS_2,3,CAS_2_3,1.1,0.4804,0.437,47.42,98.70940883,101.3074652,0.25,0.23,0.21,0.2,0.21,0.21
4/04/2014,11:09:09,40,L,CAY,CAY,1,CAY_2,1,CAY_2_1,1.19,0.2884,0.242,75.49,261.7545076,38.20373559,1.52,2.11,0.23,0.24,0.27,0.25
4/04/2014,11:11:46,42,L,CAY,CAY,1,CAY_2,2,CAY_2_2,1.71,0.5085,0.297,99.19,195.0639135,51.26524851,1.95,2.2,0.23,0.23,0.29,0.25
4/04/2014,11:13:32,43,L,CAY,CAY,1,CAY_2,3,CAY_2_3,1.1,0.2765,0.251,73.27,264.9909584,37.73713662,1.75,1.94,0.26,0.24,0.27,0.26
4/04/2014,11:17:19,44,T,ROC,ROC,1,ROC_1,1,ROC_1_1,1.86,0.6563,0.353,85.46,130.2148408,76.79616195,2.01,2.12,0.18,0.2,0.17,0.18
4/04/2014,11:19:20,45,T,ROC,ROC,1,ROC_1,2,ROC_1_2,1.79,0.6038,0.337,80.53,133.3719775,74.97826897,1.85,1.84,0.19,0.19,0.18,0.19
4/04/2014,11:21:38,46,T,ROC,ROC,1,ROC_1,3,ROC_1_3,1.89,0.685,0.362,92.88,135.5912409,73.75107666,2.13,1.95,0.18,0.19,0.19,0.19
4/04/2014,11:27:15,51,T,NOR,NOR,1,NOR_1,1,NOR_1_1,7.14,3.0589,0.428,218.69,71.49302037,139.873794,NA,NA,0.17,0.19,0.25,0.2
4/04/2014,11:30:55,52,T,NOR,NOR,1,NOR_1,2,NOR_1_2,2.3,1.0006,0.435,86.17,86.118329,116.1192991,NA,NA,0.21,0.22,0.17,0.2
4/04/2014,11:34:14,54,T,NOR,NOR,1,NOR_1,3,NOR_1_3,2.15,0.9552,0.444,75.18,78.70603015,127.0550678,NA,NA,0.22,0.23,0.17,0.21
4/04/2014,11:38:46,55,L,CAL,CAL,1,CAL_1,1,CAL_1_1,1.51,0.713,0.472,78.11,109.5511921,91.28152605,NA,NA,0.16,0.17,0.14,0.16
4/04/2014,11:41:40,56,L,CAL,CAL,1,CAL_1,2,CAL_1_2,1.73,0.7794,0.451,85.34,109.4944829,91.32880244,NA,NA,0.15,0.18,0.18,0.17
4/04/2014,11:45:26,57,L,CAL,CAL,1,CAL_1,3,CAL_1_3,1.55,0.7281,0.47,79.26,108.8586733,91.86222559,NA,NA,0.16,0.16,0.16,0.16
8/05/2014,12:28:59,1,T,ROC,ROC,2,ROC_2,1,ROC_2_1,1.3,0.6343,0.488,63.2,99.63739555,100.3639241,1.58,1.6,0.24,0.24,0.24,0.24
8/05/2014,12:32:24,3,T,ROC,ROC,2,ROC_2,2,ROC_2_2,1,0.4271,0.427,46.2,108.1713884,92.44588745,1.37,1.33,0.27,0.26,0.23,0.25
8/05/2014,12:36:15,6,T,ROC,ROC,2,ROC_2,3,ROC_2_3,1.23,0.54,0.439,60.3,111.6666667,89.55223881,1.59,1.5,0.24,0.24,0.21,0.23
8/05/2014,12:43:48,7,T,ROC,ROC,2,ROC_2,4,ROC_2_4,0.91,0.4006,0.44,45.09,112.5561658,88.84453316,1.3,1.35,0.22,0.22,0.22,0.22
8/05/2014,12:49:33,8,T,CLE,CLE,2,CLE_2,1,CLE_2_1,1.17,0.586,0.501,56.27,96.02389078,104.14075,2.39,2.43,0.2,0.21,0.21,0.21
8/05/2014,12:52:57,10,T,CLE,CLE,2,CLE_2,2,CLE_2_2,1.6,0.7179,0.449,80.2,111.7147235,89.51371571,2.56,2.29,0.22,0.2,0.21,0.21
8/05/2014,12:54:55,11,T,CLE,CLE,2,CLE_2,3,CLE_2_3,1.56,0.6914,0.443,76.14,110.1243853,90.80640925,2.53,2.71,0.22,0.21,0.2,0.21
8/05/2014,12:57:57,12,L,UNK C,TET STIG,2,TET STIG_2,1,TET STIG_2_1,1.93,0.4557,0.236,62.19,136.4713627,73.27544621,2.8,2.74,0.33,0.34,0.33,0.33
