data contributor,name_original,"growth form: 1=tree, 2=shrub, 3=subshrub, 4=forb, 5=grass, 6=parasite, 10=twiner",height (cm),seed mass (mg),"dispersal mode: 1=unassisted, 2=elaiosome, 3=flesh/aril, 4=adhesive, 5=wind",plant longevity,leaf area (mm2)
westoby lab,Abutilon fraseri,3,40,1.386,1,<10,542
westoby lab,Abutilon otocarpum,3,60,1.4,1,<10,542
westoby lab,Acacia acradenia,2,400,0,2,<20,1000
westoby lab,Acacia adsurgens,2,400,0,2,<50,300
westoby lab,Acacia ammobia,1,600,0,2,<100,750
westoby lab,Acacia aneura,1,1500,21.571,2,<100,583
westoby lab,Acacia coriacea,2,400,0,3,>100,33
westoby lab,Acacia cuthbertsonii,2,300,6.351,2,<100,260
westoby lab,Acacia desmondii,1,400,2.6021,2,>100,175
westoby lab,Acacia estrophiolata,1,1500,25.749,5,>100,1500
westoby lab,Acacia farnesiana,2,400,125.195,1,<100,6
westoby lab,Acacia georginae,1,500,58.509,1,>100,5000
westoby lab,Acacia kempeana,1,500,13.704,2,<100,335
westoby lab,Acacia latzii,1,500,12.644,2,>100,150
westoby lab,Acacia ligulata,2,400,36.141,3,<50,238
westoby lab,Acacia maitlandii,2,300,8.762,1,<20,35
westoby lab,Acacia minutifolia,2,100,0,2,<50,3
westoby lab,Acacia monticola,1,500,16.898,2,<50,120
westoby lab,Acacia murrayana,1,800,41.84,1,<10,25
westoby lab,Acacia platycarpa,1,1000,124.453,,,1500
westoby lab,Acacia prainii,2,300,0,2,?,80
westoby lab,Acacia pruinocarpa,1,1000,0,2,>100,950
westoby lab,Acacia ramulosa,2,400,0,2,<100,175
westoby lab,Acacia salicina,1,2000,0,3,>100,267
westoby lab,Acacia sessiliceps,1,600,0,2,<100,70
westoby lab,Acacia spondylophylla,2,100,0,2,<50,5
westoby lab,Acacia tenuissima,2,400,6.114,2,<100,70
westoby lab,Acacia tetragonophylla,2,400,14.76,3,<100,20
westoby lab,Acacia victoriae,2,400,34.608,2,<20,133
westoby lab,Aerva javanica,4,100,0.275,5,<5,300
westoby lab,Alternanthera angustifolia,4,10,0.361,5,<1,30
westoby lab,Amaranthus mitchellii,4,30,0.647,1,<1,100
westoby lab,Amphipogon carcinus,5,60,0.984,5,<10,1333
