dataset_id,taxon_name,observation_id,trait_name,value,unit,entity_type,value_type,basis_of_value,replicates,basis_of_record,life_stage,population_id,individual_id,repeat_measurements_id,temporal_context_id,source_id,location_id,entity_context_id,plot_context_id,treatment_context_id,collection_date,measurement_remarks,method_id,method_context_id,original_name,location_name,latitude (deg),longitude (deg),location_property: description,treatment_context: dehydration treatment,plot_context: salinity,plot_context: salinity (ppt),family,genus,taxon_rank,establishment_means,data_contributors
Bryant_2021_3,Acanthus ilicifolius,001,leaf_dry_mass,2.8,mg,individual,raw,measurement,1,field,adult,01,01,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,001,leaf_fluorescence_fv_over_fm,0.69,{dimensionless},individual,raw,measurement,1,field,adult,01,01,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,001,leaf_fresh_mass,21.5,mg,individual,raw,measurement,1,field,adult,01,01,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,001,leaf_mass_per_area,55.7,g/m2,individual,raw,measurement,1,field,adult,01,01,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,001,leaf_water_content_per_area,371.9964286,g/m2,individual,raw,measurement,1,field,adult,01,01,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,001,leaf_water_content_per_dry_mass,6.678571429,g/g,individual,raw,measurement,1,field,adult,01,01,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,002,leaf_dry_mass,4.4,mg,individual,raw,measurement,1,field,adult,01,02,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,002,leaf_fluorescence_fv_over_fm,0.761,{dimensionless},individual,raw,measurement,1,field,adult,01,02,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,002,leaf_fresh_mass,29.5,mg,individual,raw,measurement,1,field,adult,01,02,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
Bryant_2021_3,Acanthus ilicifolius,002,leaf_mass_per_area,87.5,g/m2,individual,raw,measurement,1,field,adult,01,02,NA,NA,NA,01,NA,04,02,4/7/2022,NA,01,NA,Acanthus ilicifolius,Daintree National Park,-16.25,145.34,Daintree River estuary system with a tropical monsoonal climate,initial_water_content <<Samples measured with initial water content.>>,low,7,Acanthaceae,Acanthus,species,native,"Bryant, Callum <<ORCID==0000-0002-8035-9157 \ affiliation==The Australian National University, Australia \ additional_role==contact>>;; Ball, Marilyn <<ORCID==0000-0001-9170-940X \ affiliation==The Australian National University, Australia>>"
