treeid,leafid,species,leaftype,sampletype,days,wetarea,dryarea,drymass,w.mavc1,w.mivc1,w.mavc2,w.mivc2,w.mavc3,w.mivc3,w.mavc4,w.mivc4,d.mavc1,d.mivc1,d.mavc2,d.mivc2,d.mavc3,d.mivc3,d.mavc4,d.mivc4,d.mavc1r,d.mivc1r,d.mavc2r,d.mivc2r,d.mavc3r,d.mivc3r,d.mavc4r,d.mivc4r,
033,Y02,E.mel,Adult,Fresh,58,13.12,12.23,0.208,7,18,9,22,6,21,4,24,6,26,6,20,4,23,7,22,7,2,8,1,7,7,6,3,
033,Y03,E.mel,Adult,Fresh,58,12.64,11.78,0.203,6,25,7,28,5,24,5,21,7,25,8,23,5,25,5,18,7,1,5,0,3,0,3,0,
034,J01,E.mel,Juvenile,Fresh,,15.39,14.37,0.212,3,20,5,17,5,14,7,19,,,,,,,,,,,,,,,,,
034,J02,E.mel,Juvenile,Fresh,,16.53,15.31,0.219,6,23,4,20,4,18,6,19,,,,,,,,,,,,,,,,,
034,J03,E.mel,Juvenile,Fresh,,12.09,11.17,0.167,5,15,4,15,4,17,5,15,,,,,,,,,,,,,,,,,
034,Y01,E.mel,Adult,Fresh,58,11.84,11.1,0.183,6,21,4,33,6,23,7,21,4,25,8,22,6,22,5,24,5,0,4,0,3,0,3,1,
034,Y02,E.mel,Adult,Fresh,58,9.42,8.69,0.129,6,24,8,26,10,22,4,21,7,25,7,21,4,20,5,16,6,0,5,0,5,0,3,0,
034,Y03,E.mel,Adult,Fresh,58,16.98,15.81,0.250,7,21,7,19,6,15,7,20,4,19,6,17,3,15,6,19,5,4,4,6,3,8,5,5,
035,J01,E.mel,Juvenile,Fresh,,18.55,17.41,0.279,5,13,9,10,7,15,6,12,,,,,,,,,,,,,,,,,
035,J02,E.mel,Juvenile,Fresh,,11.42,10.75,0.158,5,16,6,13,4,15,5,21,,,,,,,,,,,,,,,,,
035,J03,E.mel,Juvenile,Fresh,,14.89,13.88,0.201,6,14,5,15,7,18,7,16,,,,,,,,,,,,,,,,,
035,Y01,E.mel,Adult,Fresh,58,12.72,11.81,0.174,3,17,6,24,7,16,7,15,3,22,8,19,6,17,7,18,7,6,4,4,5,8,6,9,
035,Y02,E.mel,Adult,Fresh,58,13.59,12.69,0.235,8,19,8,16,4,26,6,20,7,23,6,23,5,21,6,20,5,5,6,4,5,1,5,0,
035,Y03,E.mel,Adult,Fresh,58,19.12,18.19,0.309,6,16,5,18,5,16,3,16,5,19,5,17,2,18,2,17,7,10,4,9,5,10,5,2,
042,Y01,E.kit,Adult,Dried,98,27.91,,0.894,,,,,,,,,4,0,3,0,3,0,3,0,2,0,3,0,2,0,1,0,
042,Y02,E.kit,Adult,Dried,98,61.41,,2.175,,,,,,,,,4,1,5,3,2,1,2,3,4,10,4,10,3,12,4,10,
042,Y03,E.kit,Adult,Dried,98,62.24,,1.898,,,,,,,,,4,2,4,3,4,4,2,4,4,4,3,5,4,0,2,1,
043,Y01,E.kit,Adult,Dried,98,22.78,,0.761,,,,,,,,,2,10,3,11,6,4,8,5,3,0,2,2,4,4,3,3,
043,Y02,E.kit,Adult,Dried,98,25.47,,0.703,,,,,,,,,5,1,10,0,2,2,5,2,2,0,1,0,2,0,2,0,
043,Y03,E.kit,Adult,Dried,98,27.68,,0.787,,,,,,,,,4,5,5,1,4,5,3,3,3,0,2,0,1,0,2,0,
044,Y01,E.kit,Adult,Dried,98,18.97,,0.505,,,,,,,,,4,0,4,1,1,1,0,0,1,0,4,0,6,6,5,8,
044,Y02,E.kit,Adult,Dried,98,28.63,,0.864,,,,,,,,,2,0,1,0,2,0,2,0,9,10,5,12,3,11,4,10,
044,Y03,E.kit,Adult,Dried,98,41.11,,1.053,,,,,,,,,4,0,4,1,2,0,5,0,5,3,5,1,3,1,4,2,
045,Y01,E.kit,Adult,Dried,98,21.65,,0.607,,,,,,,,,3,5,4,3,4,3,4,0,3,5,3,4,3,0,3,0,
045,Y02,E.kit,Adult,Dried,98,25.65,,0.636,,,,,,,,,5,2,5,1,4,2,4,3,4,6,6,6,2,2,3,1,
045,Y03,E.kit,Adult,Dried,98,27.00,,0.777,,,,,,,,,3,5,4,0,3,2,2,4,4,2,5,9,3,8,4,5,
046,Y01,E.kit,Adult,Dried,98,30.18,,0.589,,,,,,,,,4,4,4,6,4,3,5,4,3,4,4,6,1,2,2,2,
046,Y02,E.kit,Adult,Dried,98,33.25,,0.793,,,,,,,,,4,4,3,3,3,6,5,3,2,0,1,0,2,0,2,0,
046,Y03,E.kit,Adult,Dried,98,37.70,,0.953,,,,,,,,,4,3,6,0,3,1,5,2,2,0,3,0,2,0,2,0,
047,Y01,E.paup,Adult,Dried,100,33.91,,0.575,,,,,,,,,2,5,3,4,2,4,4,4,2,13,4,16,4,9,2,14,
047,Y02,E.paup,Adult,Dried,100,35.05,,0.884,,,,,,,,,2,0,5,0,3,2,3,2,5,8,2,6,3,4,4,6,
047,Y03,E.paup,Adult,Dried,100,44.69,,0.902,,,,,,,,,1,4,2,6,2,3,1,3,2,11,3,13,2,11,3,11,
048,Y01,E.vimp,Adult,Dried,101,9.93,,0.158,,,,,,,,,7,4,5,8,6,10,6,9,3,9,7,8,5,5,4,9,
048,Y02,E.vimp,Adult,Dried,101,14.24,,0.236,,,,,,,,,4,7,3,1,3,5,3,4,3,8,7,12,5,11,7,6,
048,Y03,E.vimp,Adult,Dried,101,17.27,,0.332,,,,,,,,,3,8,6,9,6,9,10,8,4,4,3,3,3,1,4,2,
049,Y01,E.agg,Adult,Dried,102,25.86,,0.696,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,
049,Y02,E.agg,Adult,Dried,102,35.56,,0.847,,,,,,,,,1,0,3,0,3,0,3,2,0,0,2,0,3,0,3,0,
049,Y03,E.agg,Adult,Dried,102,44.61,,0.830,,,,,,,,,5,0,4,0,2,3,3,4,2,0,2,0,2,0,3,0,
050,Y01,E.agg,Adult,Dried,103,19.11,,0.464,,,,,,,,,3,2,4,0,3,0,3,0,3,1,3,0,5,1,4,2,
050,Y02,E.agg,Adult,Dried,103,23.38,,0.464,,,,,,,,,5,0,3,0,3,1,5,1,4,0,5,0,3,0,2,0,
050,Y03,E.agg,Adult,Dried,103,21.86,,0.442,,,,,,,,,3,2,2,1,2,1,2,2,3,0,2,0,3,0,2,0,
051,Y01,E.vimv,Adult,Dried,100,18.77,,0.343,,,,,,,,,3,5,6,3,5,6,6,5,4,1,4,0,4,0,4,0,
051,Y02,E.vimv,Adult,Dried,100,23.54,,0.359,,,,,,,,,4,12,5,8,5,9,5,4,5,6,7,4,5,6,5,6,
051,Y03,E.vimv,Adult,Dried,100,25.56,,0.525,,,,,,,,,2,6,3,2,4,4,4,5,4,7,3,7,6,3,7,3,
052,Y01,E.bau,Adult,Dried,100,20.57,,0.269,,,,,,,,,4,16,4,16,3,18,4,19,2,0,2,0,2,0,2,0,
052,Y02,E.bau,Adult,Dried,100,21.41,,0.270,,,,,,,,,4,29,4,32,4,28,6,23,3,7,4,8,3,7,4,12,
052,Y03,E.bau,Adult,Dried,100,28.63,,0.363,,,,,,,,,3,27,5,18,5,17,5,20,4,16,3,13,3,12,5,9,
053,Y01,E.ang,Adult,Dried,100,26.09,,0.424,,,,,,,,,3,17,4,15,4,13,5,14,7,12,8,9,4,8,5,6,
053,Y02,E.ang,Adult,Dried,100,36.40,,0.660,,,,,,,,,6,13,5,16,7,15,6,10,3,8,3,10,4,6,4,9,
053,Y03,E.ang,Adult,Dried,100,32.34,,0.792,,,,,,,,,6,11,3,14,3,9,6,15,4,5,3,6,4,5,3,6,
054,Y01,E.agg,Adult,Dried,100,24.67,,0.747,,,,,,,,,4,0,3,0,2,0,4,0,0,0,0,0,2,0,2,0,
054,Y02,E.agg,Adult,Dried,100,34.34,,1.069,,,,,,,,,2,4,2,2,2,1,4,0,2,0,2,0,1,0,1,0,
054,Y03,E.agg,Adult,Dried,100,43.19,,1.267,,,,,,,,,3,3,2,2,2,0,2,2,1,0,1,0,2,0,1,0,
055,Y01,E.bos,Adult,Dried,101,14.44,,0.294,,,,,,,,,5,10,6,15,5,9,4,6,3,0,1,1,3,0,3,0,
055,Y02,E.bos,Adult,Dried,101,17.71,,0.423,,,,,,,,,4,4,3,7,3,5,3,2,3,8,3,8,4,15,7,8,
055,Y03,E.bos,Adult,Dried,101,23.43,,0.525,,,,,,,,,6,11,4,13,2,8,2,12,4,1,3,1,3,0,2,0,
056,Y01,E.alb,Adult,Dried,139,21.99,,0.594,,,,,,,,,3,0,5,0,4,1,3,2,0,0,1,0,2,0,3,0,
056,Y02,E.alb,Adult,Dried,139,26.56,,0.707,,,,,,,,,3,2,2,2,2,0,2,0,2,0,2,0,2,0,1,0,
056,Y03,E.alb,Adult,Dried,139,35.18,,1.076,,,,,,,,,4,0,4,0,3,0,3,0,3,14,3,15,3,7,4,11,
057,Y01,E.mac,Adult,Dried,139,17.13,,0.426,,,,,,,,,5,1,4,3,4,7,5,5,3,2,3,0,3,1,2,1,
057,Y02,E.mac,Adult,Dried,139,20.64,,0.492,,,,,,,,,5,5,3,6,4,3,4,3,3,3,3,3,4,0,3,1,
057,Y03,E.mac,Adult,Dried,139,24.20,,0.570,,,,,,,,,2,3,4,2,4,5,6,1,6,0,4,0,3,0,4,0,
058,Y01,E.mac,Adult,Dried,142,14.65,,0.473,,,,,,,,,5,2,3,3,3,4,2,3,5,0,5,0,4,0,6,0,
058,Y02,E.mac,Adult,Dried,142,15.38,,0.349,,,,,,,,,6,6,5,6,3,2,3,4,3,4,4,5,4,3,3,1,
058,Y03,E.mac,Adult,Dried,142,25.94,,0.803,,,,,,,,,2,4,4,2,5,2,4,2,6,0,2,0,3,0,3,0,
059,Y01,E.tri,Adult,Dried,142,18.55,,0.422,,,,,,,,,5,9,4,7,4,7,3,8,3,0,4,0,1,0,3,0,
059,Y02,E.tri,Adult,Dried,142,21.72,,0.541,,,,,,,,,3,11,4,12,4,14,5,12,2,0,3,0,2,0,3,0,
059,Y03,E.tri,Adult,Dried,142,23.93,,0.558,,,,,,,,,5,10,4,12,3,13,3,10,3,0,3,0,3,0,2,1,
060,Y01,E.obl,Adult,Fresh,38,50.09,46.42,0.933,6,18,5,14,3,17,4,13,3,7,3,9,2,5,4,6,4,0,5,1,3,0,2,0,
060,Y02,E.obl,Adult,Fresh,38,33.15,30.21,0.605,2,18,5,11,8,13,4,12,3,3,3,4,4,6,3,4,4,0,2,0,3,0,1,1,
060,Y03,E.obl,Adult,Fresh,38,40.03,37.2,0.792,4,12,7,12,6,14,7,10,3,8,2,7,2,12,5,12,2,1,2,4,3,2,6,1,
061,Y01,E.cyp,Adult,Fresh,38,55.51,46.68,0.961,5,17,6,17,3,18,6,20,8,12,8,9,8,6,5,8,5,9,5,4,4,8,4,3,
061,Y02,E.cyp,Adult,Fresh,38,61.45,55.11,1.116,6,13,7,7,5,15,6,13,6,8,2,10,3,7,5,6,3,3,3,7,4,6,4,3,
061,Y03,E.cyp,Adult,Fresh,38,21.47,19.98,0.452,7,31,7,32,8,30,7,28,10,16,10,8,8,24,8,19,7,15,6,12,6,9,5,18,
062,Y01,E.reg,Adult,Fresh,38,12.91,11.87,0.245,2,6,2,4,3,3,3,3,4,5,3,3,5,1,3,4,3,0,2,0,4,0,3,0,
062,Y02,E.reg,Adult,Fresh,38,18.41,16.98,0.299,3,4,4,5,4,5,6,6,3,7,3,4,3,4,2,3,3,0,2,0,3,0,3,0,
062,Y03,E.reg,Adult,Fresh,38,13.07,12.41,0.251,3,6,2,5,3,4,2,5,4,4,4,3,4,4,2,3,3,0,3,0,2,0,2,0,
063,Y01,E.cyp,Adult,Fresh,38,18.36,16.78,0.473,3,13,4,9,4,10,4,11,4,7,3,11,5,8,3,9,6,3,6,7,5,9,6,4,
063,Y02,E.cyp,Adult,Fresh,38,39.61,36.91,1.182,3,20,4,13,4,18,4,14,4,11,4,10,6,17,4,13,7,0,6,0,4,8,7,3,
063,Y03,E.cyp,Adult,Fresh,38,41.94,38.72,1.237,6,11,4,13,3,11,2,12,6,2,5,1,2,8,2,7,3,11,3,12,2,7,3,7,
064,Y01,E.obl,Adult,Fresh,38,27.89,25.06,0.385,1,15,1,17,2,14,1,15,3,9,5,9,4,9,4,7,4,2,5,3,6,4,5,5,
064,Y02,E.obl,Adult,Fresh,38,43.56,39.36,0.732,1,17,2,14,2,14,3,14,4,9,5,11,3,11,2,10,6,1,3,0,3,1,2,0,
064,Y03,E.obl,Adult,Fresh,38,19.38,17.52,0.304,2,12,3,9,3,10,2,14,4,9,4,10,5,7,4,12,4,0,3,0,5,2,6,2,
065,Y01,E.cyp,Adult,Fresh,38,19.71,17.71,0.449,4,12,5,13,3,10,4,10,4,7,4,7,3,8,3,6,5,3,4,3,3,3,4,1,
065,Y02,E.cyp,Adult,Fresh,38,30.72,28.17,0.638,2,15,2,14,1,14,3,18,2,6,5,4,2,4,4,6,4,8,6,5,4,6,4,6,
065,Y03,E.cyp,Adult,Fresh,38,13.58,12.21,0.301,5,15,4,16,5,17,4,13,4,9,4,9,3,6,4,3,3,0,2,0,2,0,3,0,
066,Y01,E.bax,Adult,Fresh,38,35.34,31.48,0.881,2,6,3,6,2,6,1,8,5,6,5,5,2,5,3,1,4,0,3,0,3,0,3,0,
066,Y02,E.bax,Adult,Fresh,38,32.22,29.39,0.866,3,12,3,18,3,4,4,11,3,6,5,7,4,3,3,3,3,0,3,0,3,0,5,0,
066,Y03,E.bax,Adult,Fresh,38,29.68,26.43,0.734,2,7,3,9,1,6,1,9,4,1,5,1,3,1,3,1,2,0,4,0,2,0,2,0,
067,Y01,E.sie,Adult,Fresh,38,19.82,18.85,0.487,1,4,2,5,1,10,3,9,4,0,4,0,4,2,3,2,3,0,2,0,3,1,3,1,
067,Y02,E.sie,Adult,Fresh,38,24.61,23.59,0.659,2,13,3,9,2,6,2,9,5,2,3,3,4,2,3,2,2,0,1,0,3,0,2,0,
067,Y03,E.sie,Adult,Fresh,38,17.48,16.45,0.522,2,3,4,1,3,2,3,4,3,2,4,2,2,3,2,1,3,0,2,0,3,0,2,0,
068,Y01,E.sie,Adult,Fresh,38,22.31,21.16,0.583,3,2,3,1,4,2,4,1,4,0,4,1,4,0,4,1,3,0,2,0,2,0,2,0,
068,Y02,E.sie,Adult,Fresh,38,23.38,22.29,0.651,2,2,3,1,3,0,3,2,4,3,3,1,4,0,2,0,4,0,2,0,2,0,3,0,
068,Y03,E.sie,Adult,Fresh,38,23.05,21.81,0.627,3,3,4,2,3,2,3,4,4,3,4,2,3,3,3,4,2,0,6,1,3,0,2,0,
069,Y01,E.obl,Adult,Fresh,38,31.97,29.63,0.519,3,11,4,10,2,13,2,14,5,9,5,8,6,8,3,10,4,1,3,5,3,2,5,1,
069,Y02,E.obl,Adult,Fresh,38,27.04,25.35,0.469,3,12,3,12,5,12,2,12,4,9,3,10,4,7,3,8,3,2,3,2,3,3,2,5,
069,Y03,E.obl,Adult,Fresh,38,38.65,34.97,0.589,2,8,1,15,2,13,3,15,3,6,2,5,2,7,4,5,4,1,5,1,3,0,4,0,
070,Y01,E.reg,Adult,Fresh,38,19.00,17.5,0.336,2,7,1,7,1,4,1,10,5,2,5,0,2,3,2,2,5,0,5,0,2,0,2,0,
070,Y02,E.reg,Adult,Fresh,38,19.93,18.27,0.276,2,10,0,8,1,10,1,10,5,7,4,8,6,3,7,2,5,2,6,1,2,0,2,0,
070,Y03,E.reg,Adult,Fresh,38,18.67,16.97,0.368,1,8,1,7,1,6,2,8,4,4,6,2,2,4,2,3,1,0,1,0,2,0,2,0,
071,Y01,E.vimv,Adult,Fresh,38,13.95,12.45,0.224,3,14,6,12,4,12,6,12,5,13,3,12,3,8,4,11,3,0,3,0,4,0,5,0,
071,Y02,E.vimv,Adult,Fresh,38,14.23,12.39,0.245,3,12,4,11,6,8,5,6,6,14,5,11,4,12,4,9,4,0,4,0,7,0,7,0,
071,Y03,E.vimv,Adult,Fresh,38,12.35,11.05,0.188,5,14,4,14,6,12,6,9,5,14,5,12,5,14,6,18,6,6,4,10,7,8,6,7,
072,Y01,E.vimv,Adult,Fresh,38,18.56,17.11,0.370,6,14,3,16,3,11,4,16,9,9,6,13,4,13,6,18,7,1,7,3,5,4,6,4,
072,Y02,E.vimv,Adult,Fresh,38,25.55,22.76,0.529,5,12,5,11,4,8,4,11,5,9,7,13,3,9,4,11,4,6,5,6,5,3,5,3,
072,Y03,E.vimv,Adult,Fresh,38,29.90,26.85,0.596,5,14,5,13,3,13,4,11,3,13,5,11,4,11,5,12,3,1,4,3,5,4,3,7,
073,Y01,E.div,Adult,Fresh,33,13.55,12.37,0.205,5,7,4,10,5,9,7,8,3,10,6,7,3,9,3,7,6,1,4,2,5,0,7,0,
073,Y02,E.div,Adult,Fresh,33,21.75,20.48,0.440,7,7,4,11,2,9,4,8,5,7,2,8,3,6,3,8,3,2,2,4,5,0,4,2,
073,Y03,E.div,Adult,Fresh,33,15.38,14.17,0.253,4,7,4,8,5,10,5,8,2,8,5,7,3,8,2,12,5,1,5,1,4,0,3,1,
074,Y01,E.obl,Adult,Fresh,33,45.74,41.66,0.902,3,12,3,9,8,6,6,10,2,7,2,11,2,11,3,9,3,0,3,0,3,0,2,0,
074,Y02,E.obl,Adult,Fresh,33,27.18,24.94,0.544,4,9,4,8,5,9,4,8,2,10,3,9,3,4,5,7,6,2,5,1,4,3,4,5,
074,Y03,E.obl,Adult,Fresh,33,30.10,26.96,0.591,5,11,5,9,3,12,4,11,2,9,3,7,2,10,3,7,5,3,5,3,3,2,6,3,
075,Y01,E.div,Adult,Fresh,33,21.81,20.35,0.390,4,5,4,5,4,5,2,6,2,6,4,6,4,4,2,5,3,2,2,5,3,2,1,1,
075,Y02,E.div,Adult,Fresh,33,16.16,14.95,0.237,4,7,2,6,3,8,3,11,4,4,3,4,2,9,3,7,6,1,2,4,2,1,5,1,
075,Y03,E.div,Adult,Fresh,33,15.73,14.63,0.257,2,8,3,7,2,2,3,4,3,8,3,4,2,3,4,1,2,2,4,0,3,0,5,0,
076,Y01,E.div,Adult,Fresh,33,20.50,19.02,0.313,4,8,5,4,2,5,3,5,4,5,4,6,3,5,3,4,4,3,6,2,2,4,3,4,
076,Y02,E.div,Adult,Fresh,33,24.75,22.92,0.399,3,7,3,8,3,5,4,6,4,4,3,1,2,3,2,6,2,1,3,2,5,1,4,3,
076,Y03,E.div,Adult,Fresh,33,21.77,20.29,0.415,4,6,3,9,2,7,4,6,3,5,4,6,4,7,5,4,6,1,3,3,4,1,4,1,
077,Y01,E.obl,Adult,Fresh,33,19.81,17.74,0.394,4,7,4,5,2,7,3,4,6,8,4,9,2,7,6,7,3,0,2,0,4,0,3,0,
077,Y02,E.obl,Adult,Fresh,33,18.90,17.12,0.302,4,8,4,7,4,10,3,10,6,7,3,7,3,8,3,12,3,0,4,1,2,2,3,1,
077,Y03,E.obl,Adult,Fresh,33,14.49,13.04,0.300,5,5,3,8,7,5,4,8,5,6,5,7,2,9,3,3,4,0,3,1,2,1,3,0,
078,Y01,E.cyp,Adult,Fresh,32,51.03,45.61,0.915,5,8,5,9,3,12,3,10,3,4,3,4,3,7,4,6,5,0,5,0,5,2,4,0,
078,Y02,E.cyp,Adult,Fresh,32,36.57,32.99,0.698,5,16,6,14,7,13,7,18,4,15,5,10,3,13,3,14,7,0,6,0,4,0,3,1,
078,Y03,E.cyp,Adult,Fresh,32,46.77,42.26,0.842,3,10,3,14,5,12,4,14,4,7,4,7,5,7,4,5,4,0,2,0,4,0,4,0,
079,Y01,E.div,Adult,Fresh,32,17.13,15.91,0.230,4,8,6,6,4,5,9,1,4,9,4,7,2,4,1,6,2,4,3,4,2,2,1,5,
079,Y02,E.div,Adult,Fresh,32,17.42,16.43,0.240,4,7,4,8,3,8,6,9,2,7,3,4,4,6,4,4,3,3,3,5,4,1,3,5,
079,Y03,E.div,Adult,Fresh,32,17.89,22.37,0.238,3,9,4,8,5,4,7,3,5,4,3,6,3,6,2,6,5,2,4,2,5,1,4,2,
080,Y01,E.div,Adult,Fresh,32,24.54,24.74,0.329,3,8,3,9,4,6,6,6,3,6,2,6,2,6,3,9,3,1,2,1,3,2,4,2,
080,Y02,E.div,Adult,Fresh,32,26.96,24.72,0.350,2,5,4,6,5,7,5,4,4,4,4,4,3,5,2,6,2,3,3,2,3,3,3,4,
080,Y03,E.div,Adult,Fresh,32,20.31,18.38,0.293,2,6,4,5,4,4,4,4,3,7,3,5,4,4,2,4,3,0,3,1,4,0,3,0,
081,Y01,E.paup,Adult,Fresh,30,11.88,10.76,0.419,4,5,4,3,3,4,2,7,1,7,4,2,2,3,3,7,3,4,3,6,2,7,3,6,
081,Y02,E.paup,Adult,Fresh,30,11.70,10.61,0.481,2,6,3,6,3,6,2,4,2,7,2,6,1,5,2,3,3,6,2,4,2,4,3,5,
081,Y03,E.paup,Adult,Fresh,30,9.82,8.97,0.381,3,4,4,2,4,3,2,3,2,5,2,6,3,5,3,3,3,5,2,7,3,8,3,4,
082,Y01,E.paup,Adult,Fresh,30,17.00,15.54,0.549,5,4,4,5,5,5,2,6,4,5,5,5,2,4,4,3,4,4,2,4,3,3,3,4,
082,Y02,E.paup,Adult,Fresh,30,15.79,14.4,0.544,3,5,5,6,4,5,5,4,2,5,3,4,2,4,2,5,4,0,5,0,3,3,3,4,
082,Y03,E.paup,Adult,Fresh,30,16.61,15.29,0.578,6,4,4,5,3,3,2,4,2,4,3,3,5,3,2,3,3,3,5,5,4,4,4,2,
083,Y01,E.paup,Adult,Fresh,30,8.52,7.74,0.266,3,5,3,5,5,4,6,2,3,3,3,3,2,4,3,4,6,3,4,4,3,5,4,4,
083,Y02,E.paup,Adult,Fresh,30,13.91,12.54,0.454,3,5,3,4,2,6,3,6,4,3,1,5,2,4,2,4,4,1,5,2,4,1,4,4,
083,Y03,E.paup,Adult,Fresh,30,9.06,8.34,0.272,3,5,4,6,2,4,3,2,3,3,4,4,2,4,4,5,5,2,5,3,7,0,7,3,
084,Y01,E.paup,Adult,Fresh,30,13.66,12.39,0.353,5,4,3,5,4,8,3,3,4,6,3,6,2,7,2,5,2,4,2,6,3,4,3,4,
084,Y02,E.paup,Adult,Fresh,30,12.59,11.25,0.324,3,6,4,5,2,5,4,4,4,5,3,7,4,3,2,6,6,9,6,7,4,5,2,5,
084,Y03,E.paup,Adult,Fresh,30,14.67,13.04,0.371,4,4,3,3,2,3,4,5,3,6,4,3,2,3,4,5,5,4,3,6,3,2,2,5,
085,Y01,E.paup,Adult,Fresh,30,36.03,33.39,0.897,2,3,5,0,4,1,3,4,5,2,4,2,3,3,3,4,3,0,3,0,3,2,5,1,
085,Y02,E.paup,Adult,Fresh,30,13.42,12.56,0.308,2,8,3,7,3,5,4,1,3,7,2,4,3,7,2,5,3,2,4,6,2,4,4,2,
085,Y03,E.paup,Adult,Fresh,30,21.69,20.01,0.490,3,5,2,7,3,3,3,2,4,5,5,4,4,3,3,4,4,6,6,2,6,1,3,1,
086,Y01,E.paup,Adult,Fresh,30,22.66,20.32,0.531,4,4,4,4,5,5,5,6,2,4,4,5,3,5,2,6,5,1,4,2,4,3,5,8,
086,Y02,E.paup,Adult,Fresh,30,10.94,9.91,0.258,4,5,4,4,2,2,3,6,4,6,5,4,2,5,3,5,6,5,3,6,2,11,4,8,
086,Y03,E.paup,Adult,Fresh,30,17.04,15.8,0.464,2,7,3,6,3,4,3,7,4,4,4,6,3,8,3,5,4,7,4,7,3,6,3,11,
087,Y01,E.ova,Adult,Fresh,29,37.83,34.25,0.648,7,12,8,17,4,21,4,12,8,12,7,14,8,14,9,16,5,15,7,14,3,13,3,20,
087,Y02,E.ova,Adult,Fresh,29,22.21,20.06,0.403,4,16,3,17,4,11,4,9,5,13,5,13,3,17,6,15,6,15,4,14,4,15,6,17,
087,Y03,E.ova,Adult,Fresh,29,19.32,17.24,0.350,5,17,8,14,5,14,6,13,4,12,4,11,4,12,5,10,1,8,3,6,4,15,4,15,
088,Y01,E.gon,Adult,Fresh,29,16.43,14.94,0.475,4,16,4,12,6,10,4,12,5,12,4,10,3,7,4,10,2,0,2,0,3,0,1,0,
088,Y02,E.gon,Adult,Fresh,29,20.95,19.04,0.619,4,11,5,12,4,13,5,14,6,10,4,8,4,10,2,10,3,1,5,0,2,0,2,0,
088,Y03,E.gon,Adult,Fresh,29,23.10,21.01,0.700,6,10,4,12,6,11,5,15,5,9,6,10,2,7,4,10,3,0,5,0,1,0,0,0,
089,Y01,E.gon,Adult,Fresh,29,22.15,19.9,0.528,2,17,5,18,6,13,9,12,9,14,7,13,4,11,4,16,2,0,1,0,1,0,1,0,
089,Y02,E.gon,Adult,Fresh,29,23.54,20.95,0.609,5,14,9,12,6,16,6,18,7,14,5,12,5,14,4,16,2,0,2,0,2,0,2,0,
089,Y03,E.gon,Adult,Fresh,29,19.03,17.14,0.439,6,16,5,12,7,14,6,9,3,10,5,12,7,15,4,14,0,0,1,0,4,3,4,7,
090,Y01,E.vimv,Adult,Fresh,29,7.23,6.32,0.136,4,13,6,13,6,12,5,11,5,14,4,16,4,12,3,15,3,9,5,17,4,10,3,15,
090,Y02,E.vimv,Adult,Fresh,29,11.03,9.63,0.229,6,14,4,14,6,15,4,13,3,11,3,12,3,11,3,12,4,17,4,14,4,14,4,11,
090,Y03,E.vimv,Adult,Fresh,29,8.25,7.27,0.173,4,11,3,17,4,12,3,13,4,11,4,11,5,10,4,11,4,15,5,13,4,11,7,10,
091,Y01,E.tri,Adult,Fresh,29,36.44,34.77,1.041,5,11,3,12,5,13,4,15,4,9,3,15,5,8,4,7,4,2,5,0,4,0,3,0,
091,Y02,E.tri,Adult,Fresh,29,38.65,35.41,1.035,4,18,3,18,2,13,3,13,4,14,4,10,4,7,5,9,4,0,2,0,3,0,3,0,
091,Y03,E.tri,Adult,Fresh,29,39.84,35.95,1.096,3,14,2,17,3,13,4,10,5,10,3,8,3,12,4,12,5,0,3,0,4,1,2,0,
092,Y01,E.mac,Adult,Fresh,29,18.29,17.07,0.482,4,1,4,3,2,7,3,7,4,1,5,1,3,3,2,1,4,0,5,0,3,3,3,2,
092,Y02,E.mac,Adult,Fresh,29,15.66,14.55,0.458,2,6,3,2,4,3,2,5,2,3,3,3,3,3,3,2,5,4,4,2,7,0,6,0,
092,Y03,E.mac,Adult,Fresh,29,14.21,13.19,0.444,2,6,3,4,2,5,1,6,3,7,3,6,4,6,3,3,3,4,6,3,7,0,7,0,
093,Y01,E.mac,Adult,Fresh,29,31.43,29.11,0.949,1,2,1,4,2,0,2,6,2,3,4,3,2,5,3,6,2,0,2,0,2,0,2,0,
093,Y02,E.mac,Adult,Fresh,29,20.87,19.34,0.630,3,4,3,3,2,0,2,3,3,1,5,3,2,4,2,3,3,0,3,0,2,0,1,0,
093,Y03,E.mac,Adult,Fresh,29,22.30,20.41,0.708,3,4,2,4,3,3,3,3,5,0,5,0,2,2,1,1,5,0,4,0,3,2,3,0,
094,Y01,E.gon,Adult,Fresh,29,26.17,23.53,0.839,3,16,3,11,4,13,3,13,3,6,5,3,4,6,2,4,5,4,3,11,2,9,4,13,
094,Y02,E.gon,Adult,Fresh,29,19.95,17.95,0.647,6,10,2,16,3,11,3,15,2,5,4,6,3,12,3,7,6,12,3,13,6,5,6,2,
094,Y03,E.gon,Adult,Fresh,29,23.37,21.64,0.761,4,15,3,12,4,11,4,10,2,6,3,4,4,11,2,5,3,12,4,15,6,9,5,10,
095,Y01,E.vimv,Adult,Fresh,29,12.62,11.86,0.203,3,12,4,8,3,10,4,15,4,10,5,10,3,12,2,14,7,1,5,1,5,8,3,4,
