treeid,Species,Date Collected,Collector,Latitude,Longitude,Sample Type,Date Imaged: Fresh,Date Imaged: Dried (T) ,Date Imaged: Dried (C) 
1,Eucalyptus perriniana,1-Mar-18,B.Q. Ong,-37.74789,146.21875,Fresh,19-Apr-18,8-May-18,3-Aug-18
2,Eucalyptus perriniana,1-Mar-18,B.Q. Ong,-37.74789,146.21875,Fresh,19-Apr-18,8-May-18,3-Aug-18
3,Eucalyptus glaucescens,1-Mar-18,B.Q. Ong,-37.84022,146.25097,Fresh,19-Apr-18,8-May-18,3-Aug-18
4,Eucalyptus glaucescens,1-Mar-18,B.Q. Ong,-37.84022,146.25097,Fresh,19-Apr-18,8-May-18,3-Aug-18
5,Eucalyptus pauciflora subsp. acerina,1-Mar-18,B.Q. Ong,-37.83951,146.26114,Fresh,19-Apr-18,8-May-18,3-Aug-18
6,Eucalyptus pauciflora subsp. acerina,1-Mar-18,B.Q. Ong,-37.83951,146.26114,Fresh,19-Apr-18,8-May-18,3-Aug-18
7,Eucalyptus obliqua,1-Mar-18,B.Q. Ong,-38.02599,146.35155,Fresh,19-Apr-18,8-May-18,3-Aug-18
8,Eucalyptus angophoroides,1-Mar-18,B.Q. Ong,-38.01763,146.35133,Fresh,19-Apr-18,8-May-18,3-Aug-18
9,Eucalyptus angophoroides,1-Mar-18,B.Q. Ong,-38.01763,146.35133,Fresh,19-Apr-18,8-May-18,3-Aug-18
10,Eucalyptus consideniana,1-Mar-18,B.Q. Ong,-38.02534,146.34964,Fresh,19-Apr-18,8-May-18,3-Aug-18
11,Eucalyptus conspicua,1-Mar-18,B.Q. Ong,-38.02534,146.34964,Fresh,19-Apr-18,9-May-18,3-Aug-18
12,Eucalyptus fulgens,1-Mar-18,B.Q. Ong,-37.99247,145.69956,Fresh,19-Apr-18,9-May-18,6-Aug-18
13,Eucalyptus camaldulensis,11-Apr-18,B.Q. Ong,-37.794314,144.952657,Fresh,23-Apr-18,9-May-18,6-Aug-18
14,*Eucalyptus leucoxylon,11-Apr-18,B.Q. Ong,-37.792252,144.950564, , , , 
15,Eucalyptus camaldulensis,11-Apr-18,B.Q. Ong,-37.791317,144.949918,Fresh,23-Apr-18,9-May-18,6-Aug-18
16,*Eucalyptus polyanthemos,11-Apr-18,B.Q. Ong,-37.791317,144.949918, , , , 
17,*Eucalyptus polyanthemos,11-Apr-18,B.Q. Ong,-37.791317,144.949918, , , , 
18,Eucalyptus melliodora,11-Apr-18,B.Q. Ong,-37.788539,144.945562,Fresh,23-Apr-18,9-May-18,6-Aug-18
19,Eucalyptus melliodora,11-Apr-18,B.Q. Ong,-37.788539,144.945562,Fresh,23-Apr-18,9-May-18,6-Aug-18
20,Eucalyptus camaldulensis,11-Apr-18,B.Q. Ong,-37.785345,144.943501,Fresh,23-Apr-18,9-May-18,6-Aug-18
21,Eucalyptus camaldulensis,11-Apr-18,B.Q. Ong,-37.785345,144.943501,Fresh,23-Apr-18,9-May-18,6-Aug-18
22,Eucalyptus camaldulensis,19-Jun-18,B.Q. Ong,-37.708907,145.072477,Fresh,29-Jun-18,16-Aug-18,10-Aug-18
23,Eucalyptus camaldulensis,19-Jun-18,B.Q. Ong,-37.709294,145.072131,Fresh,29-Jun-18,16-Aug-18,10-Aug-18
24,Eucalyptus camaldulensis,19-Jun-18,B.Q. Ong,-37.709294,145.072131,Fresh,29-Jun-18,16-Aug-18,16-Aug-18
25,Eucalyptus camaldulensis,19-Jun-18,B.Q. Ong,-37.709887,145.071567,Fresh,29-Jun-18,16-Aug-18,17-Aug-18
26,Eucalyptus camaldulensis,19-Jun-18,B.Q. Ong,-37.710955,145.071111,Fresh,29-Jun-18,16-Aug-18,18-Aug-18
27,Eucalyptus camaldulensis,19-Jun-18,B.Q. Ong,-37.711548,145.071335,Fresh,29-Jun-18,16-Aug-18,19-Aug-18
28,Eucalyptus ovata,19-Jun-18,B.Q. Ong,-37.711757,145.07076,Fresh,29-Jun-18,16-Aug-18,20-Aug-18
29,Eucalyptus camaldulensis,19-Jun-18,B.Q. Ong,-37.710971,145.070228,Fresh,29-Jun-18,16-Aug-18,21-Aug-18
30,Eucalyptus ovata,19-Jun-18,B.Q. Ong,-37.711757,145.07076,Fresh,29-Jun-18,16-Aug-18,22-Aug-18
31,Eucalyptus ovata,19-Jun-18,B.Q. Ong,-37.711757,145.07076,Fresh,29-Jun-18,16-Aug-18,23-Aug-18
32,Eucalyptus ovata,19-Jun-18,B.Q. Ong,-37.711757,145.07076,Fresh,29-Jun-18,16-Aug-18,24-Aug-18
33,Eucalyptus melliodora,19-Jun-18,B.Q. Ong,-37.710424,145.068376,Fresh,29-Jun-18,16-Aug-18,25-Aug-18
34,Eucalyptus melliodora,19-Jun-18,B.Q. Ong,-37.710284,145.067453,Fresh,29-Jun-18,16-Aug-18,26-Aug-18
35,Eucalyptus melliodora,19-Jun-18,B.Q. Ong,-37.709606,145.065709,Fresh,29-Jun-18,16-Aug-18,27-Aug-18
36,*Eucalyptus leucoxylon ssp. megalocarpa?,20-Jun-18,B.Q. Ong,-37.832107,145.00964,Fresh, , , 
37,*Eucalyptus leucoxylon ssp. megalocarpa?,20-Jun-18,B.Q. Ong,-37.832107,145.00964,Fresh, , , 
38,*Eucalyptus leucoxylon ssp. megalocarpa?,20-Jun-18,B.Q. Ong,-37.832261,145.010206,Fresh, , , 
39,*,20-Jun-18,B.Q. Ong,-37.80572,145.00863,Fresh, , , 
40,*,20-Jun-18,B.Q. Ong,-37.805356,145.008321,Fresh, , , 
41,*,20-Jun-18,B.Q. Ong,-37.804541,145.008992,Fresh, , , 
42,Eucalyptus kitsoniana,30-Mar-18,W.K. Morris,-38.51262,145.77822,Dried, ,6-Jul-18,12-Jul-18
43,Eucalyptus kitsoniana,30-Mar-18,W.K. Morris,-38.51262,145.77822,Dried, ,6-Jul-18,12-Jul-18
44,Eucalyptus kitsoniana,30-Mar-18,W.K. Morris,-38.51262,145.77822,Dried, ,6-Jul-18,12-Jul-18
45,Eucalyptus kitsoniana,30-Mar-18,W.K. Morris,-38.51262,145.77822,Dried, ,6-Jul-18,6-Jul-18
46,Eucalyptus kitsoniana,30-Mar-18,W.K. Morris,-38.51262,145.77822,Dried, ,6-Jul-18,10-Jul-18
47,Eucalyptus pauciflora subsp. pauciflora,1-Apr-18,W.K. Morris,-38.79186,146.01362,Dried, ,10-Jul-18,10-Jul-18
48,Eucalyptus viminalis subsp. pryoriana,2-Apr-18,W.K. Morris,-38.42589,145.51664,Dried, ,12-Jul-18,12-Jul-18
49,Eucalyptus agglomerata,1-Apr-18,P.A. Vesk,-36.03596,150.04507,Dried, ,12-Jul-18,12-Jul-18
50,Eucalyptus agglomerata,1-Apr-18,P.A. Vesk,-36.03626,150.04437,Dried, ,13-Jul-18,13-Jul-18
51,Eucalyptus viminalis subsp. viminalis,3-Apr-18,P.A. Vesk,-36.93816,149.68563,Dried, ,12-Jul-18,12-Jul-18
52,Eucalyptus baueriana,3-Apr-18,P.A. Vesk,-36.95072,149.6717,Dried, ,12-Jul-18,12-Jul-18
53,Eucalyptus angophoroides,3-Apr-18,P.A. Vesk,-36.96715,149.66431,Dried, ,12-Jul-18,12-Jul-18
54,Eucalyptus agglomerata,3-Apr-18,P.A. Vesk,-36.9687,149.65458,Dried, ,12-Jul-18,12-Jul-18
55,Eucalyptus bosistoana,3-Apr-18,P.A. Vesk,-36.92716,149.65689,Dried, ,13-Jul-18,13-Jul-18
56,Eucalyptus albens,24-Feb-18,P.A. Vesk,-36.5686,144.9671,Dried, ,13-Jul-18,3-Aug-18
57,Eucalyptus macrorhyncha,24-Feb-18,P.A. Vesk,-36.6348,145.0313,Dried, ,13-Jul-18,13-Jul-18
58,Eucalyptus macrorhyncha,24-Feb-18,P.A. Vesk,-36.6348,145.0313,Dried, ,16-Jul-18,16-Jul-18
59,Eucalyptus tricarpa,24-Feb-18,P.A. Vesk,-36.6431,145.0319,Dried, ,16-Jul-18,16-Jul-18
60,Eucalyptus obliqua,13-Jul-18,P.A. Vesk,-37.755445,145.677733,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
61,Eucalyptus cypellocarpa,13-Jul-18,P.A. Vesk,-37.75275,145.673553,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
62,Eucalyptus regnans,13-Jul-18,P.A. Vesk,-37.74944,145.686397,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
63,Eucalyptus cypellocarpa,13-Jul-18,P.A. Vesk,-37.753756,145.67382,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
64,Eucalyptus obliqua,13-Jul-18,P.A. Vesk,-37.755397,145.674653,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
65,Eucalyptus cypellocarpa,13-Jul-18,P.A. Vesk,-37.75417,145.686203,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
66,Eucalyptus baxteri,13-Jul-18,P.A. Vesk,-37.770187,145.655913,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
67,Eucalyptus sieberi,13-Jul-18,P.A. Vesk,-37.769772,145.656662,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
68,Eucalyptus sieberi,13-Jul-18,P.A. Vesk,-37.769384,145.60889,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
69,Eucalyptus obliqua,13-Jul-18,P.A. Vesk,-37.770187,145.655913,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
70,Eucalyptus regnans,13-Jul-18,P.A. Vesk,-37.744403,145.68953,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
71,Eucalyptus viminalis subsp. viminalis,13-Jul-18,P.A. Vesk,-37.742458,145.722017,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
72,Eucalyptus viminalis subsp. viminalis,13-Jul-18,P.A. Vesk,-37.759772,145.686203,Fresh,16-Jul-18,20-Aug-18,20-Aug-18
73,Eucalyptus dives,18-Jul-18,B.Q. Ong,-37.458547,145.227978,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
74,Eucalyptus obliqua,18-Jul-18,B.Q. Ong,-37.458547,145.227978,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
75,Eucalyptus dives,18-Jul-18,B.Q. Ong,-37.458734,145.22849,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
76,Eucalyptus dives,18-Jul-18,B.Q. Ong,-37.458734,145.22849,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
77,Eucalyptus obliqua,18-Jul-18,B.Q. Ong,-37.458734,145.227963,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
78,Eucalyptus cypellocarpa,19-Jul-18,B.Q. Ong,-37.458044,145.226818,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
