var_name,trait_name,unit
C3C4,photosynthetic_pathway,
Nfixer,nitrogen_fixing,
growth form,plant_growth_form,
deciduous/evergreen,leaf_phenology,
leaf Nmass,leaf_N_per_dry_mass,%
leaf Pmass,leaf_P_per_dry_mass,%
delta 13C,leaf_delta13C,unknown
15-N,leaf_delta15N,parts per 1000
