site_text,Lat,Long
Beerwah_50,-26.85,153.00
Kakadu1_50,-12.65,132.92
Kakadu2_50,-12.65,132.92
Kakadu3_50,-12.65,132.92
Kakadu4_50,-12.65,132.92
Kakadu5_50,-12.65,132.92
Kakadu6_50,-12.65,132.92
Kakadu11_50,-12.65,132.92
Monklands_50,-23.51,146.52
Summerdell_50,-23.87,146.12
