trait_name,lookup,value
leaf_phenology,D,deciduous
leaf_phenology,E,evergreen
leaf_phenology,facultative-D,facultative
nitrogen_fixing,N,0
nitrogen_fixing,Y,1
plant_growth_form,V,climber
plant_growth_form,O (Fern),fern
plant_growth_form,G,graminoid
plant_growth_form,G?,graminoid
plant_growth_form,H,herb
plant_growth_form,S,shrub
plant_growth_form,S or T,shrub tree
plant_growth_form,T or S,shrub tree
plant_growth_form,T,tree
plant_growth_form,H or S,
plant_growth_form,H or S?,
plant_growth_form,S or H,
