Region,Site,Species,rep,Code,Origin,Family,Life form,Raunkiaer life form,Longevity,Legume,Root type,Rt tp cat,Root depth (cm),Nut acq strat,Seed mass (g),Soil,Rep,LMA (g/m2),SRL (cm/mg),Height (mm),Aarea,Amass,WUE,Nmass,Narea,PNUE,Pmass,Parea,PPUE
NA,Banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,150.18,NA,2000,38.60437318,257.054023,4.771863118,2.96,4.445328,121.5796055,0.115414203,173.3290503,6.904414271
NA,Banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,251.02,NA,2500,24.63569088,98.14234275,3.689956332,2.13,5.346726,64.50670416,0.05637853,141.5213852,5.396402925
NA,Banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,119.94,NA,1600,18.55746402,154.722895,2.198757764,3.36,4.029984,64.4678729,0.10884878,130.5532261,4.406489228
NA,Banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,139.77,NA,2500,15.46982313,110.680569,2.781818182,NA,NA,NA,NA,NA,NA
NA,Banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,112.81,NA,600,15.42942063,136.7735186,2.957198444,3.01,3.395581,63.61559005,0.112553521,126.971627,3.767078135
NA,Banksia woodland,Angiozanthos manglesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,86.25,3.84,370,15.29169792,177.2950484,2.903846154,1.74,1.50075,142.6511883,0.079813187,68.83887354,6.886263694
NA,Banksia woodland,Angiozanthos manglesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,77.54,5.93,650,10.27412386,132.5009525,2.671568627,1.42,1.101068,130.6347419,0.064618804,50.10542068,6.356554544
NA,Banksia woodland,Angiozanthos manglesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,73.42,5.14,600,9.602687086,130.7911616,2.920731707,1.82,1.336244,100.6085859,0.063241987,46.43226703,6.41112999
NA,Banksia woodland,Angiozanthos manglesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,81.57,5.56,800,11.67794498,143.1647049,3.06010929,1.58,1.288806,126.8548018,0.057244154,46.69405641,7.752941641
NA,Banksia woodland,Angiozanthos manglesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85.32,5.38,670,15.75292009,184.6333813,2.942307692,1.82,1.552824,142.0256779,0.066640785,56.85791807,8.588786566
NA,Banksia woodland,Arctotheca calendula,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29.15,NA,180,17.99877013,617.4535207,3.87254902,4.89,1.425435,176.7760591,0.210245833,61.2866604,9.104132454
NA,Banksia woodland,Arctotheca calendula,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29.25,NA,130,23.00884316,786.6271167,2.845528455,4.1,1.19925,268.6043813,0.158548267,46.37536801,15.38045236
NA,Banksia woodland,Arctotheca calendula,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27.04,NA,190,16.26575948,601.5443595,3.008595989,4.19,1.132976,200.9933421,0.177811731,48.08029208,10.4874268
NA,Banksia woodland,Arctotheca calendula,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,32.88,NA,270,13.94581866,424.1429034,2.980935875,4.24,1.394112,140.0471851,0.239805889,78.84817638,5.482947082
NA,Banksia woodland,Arctotheca calendula,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,31.47,NA,120,10.01692666,318.3008154,2.46124031,2.9,0.91263,153.6624626,0.192240007,60.49793007,5.132815719
NA,Banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40.36,4.29,1100,12.5554095,311.0854682,2.504638219,2.27,0.916172,191.8588791,0.122320809,49.36867843,7.883899402
NA,Banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,37.38,8.81,1100,14.99697664,401.2032275,3.03030303,2.27,0.848526,247.4381139,0.175231243,65.50143847,7.097649866
NA,Banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,34.62,5.22,1500,13.66631144,394.7519192,2.61589404,2.04,0.706248,270.9081798,0.083012502,28.73892815,14.74152594
NA,Banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,37.3,NA,1560,18.03369955,483.4771996,3.072378139,2.84,1.05932,238.3338308,0.102406461,38.19761002,14.63559332
