Region,Site,Species,rep,Code,Origin,Family,Life form,Raunkiaer life form,Longevity,Legume,Root type,Rt tp cat,Root depth (cm),Nut acq strat,Seed mass (g),Soil,Rep,LMA (g/m2),SRL (cm/mg),Height (mm),Aarea,Amass,WUE,Nmass,Narea,PNUE,Pmass,Parea,PPUE
NA,Banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65.44,5,300,19.13074186,292.3401874,2.941176471,1.56,1.020864,262.3565784,0.104082367,68.11150093,8.707090426
NA,Banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,76.52,5.36,370,16.43345446,214.7602517,3.340248963,2.1,1.60692,143.1735012,0.080278596,61.42918148,8.293079544
NA,Banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,73.43,4.09,340,22.06517765,300.4926821,2.797468354,1.86,1.365798,226.1772876,0.092542439,67.95391271,10.06594734
NA,Banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,66.92,6.98,290,16.48699558,246.3687325,2.825342466,2.09,1.398628,165.0316869,0.096822913,64.79389321,7.888040642
NA,Banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,95.9,NA,850,35.57194198,370.9274451,3.469785575,2.53,2.42627,205.2562937,0.068116851,65.32406058,16.8809194
NA,Banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,81.18,3.7,890,28.93148527,356.3868597,3.104925054,2.15,1.74537,232.0658622,0.129353068,105.0088207,8.540959109
NA,Banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,78.11,NA,980,13.75914467,176.1508728,2.806324111,1.71,1.335681,144.2170888,0.142890913,111.6120921,3.821570557
NA,Banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,93.09,NA,520,14.30551118,153.6739841,2.705882353,2.44,2.271396,88.17359743,0.101115524,94.12844172,4.711337385
NA,Banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,87.1,NA,1130,11.52328693,132.2995055,2.186948854,2.94,2.56074,62.99976451,0.085774194,74.70932265,4.781490209
NA,Banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32.21,5.9,360,12.26048896,380.6423147,2.043681747,2.41,0.776261,221.1200168,0.13058798,42.06238824,9.035986151
NA,Banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29.99,5.52,580,15.33340599,511.283961,2.488687783,2.85,0.854715,251.1570335,0.130755493,39.21357246,12.12171082
NA,Banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,31.01,5.74,300,17.74957906,572.3824269,2.620027435,2.03,0.629503,394.7465013,0.131987451,40.92930863,13.4435926
