Species,location_name,vegetation type,Post-fire regeneration,Seedling ecology data,resprouting_capacity,bud_bank_location,post_fire_recruitment
Acacia celsa,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,"Fire killed, abundant seedlings",Post-fire seedlings,fire_killed,NA,post_fire_recruitment
Acacia cincinnata,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,"Fire killed, abundant seedlings","Post-fire seedlings, begin producing seed by 12th year",fire_killed,NA,post_fire_recruitment
Acacia crassicarpa,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout; & seedlings,Post-fire seedlings,resprouts,stem_coppice epicormic,post_fire_recruitment
Acacia flavescens,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Root coppice; Coppice from base of stem; Epicormic resprout; & seedlings,Post-fire seedlings,resprouts,root_coppice stem_coppice epicormic,post_fire_recruitment
Acacia mangium,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,"Fire killed, abundant seedlings",Post-fire seedlings,fire_killed,NA,post_fire_recruitment
Acacia melanoxylon,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,"Fire killed, abundant seedlings",Post-fire seedlings,fire_killed,NA,post_fire_recruitment
Acrotriche aggregata,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Allocasuarina littoralis,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,"Fire killed, abundant seedlings; very occasional coppice from base of stem",Post-fire seedlings,partial_resprouting,stem_coppice,post_fire_recruitment
Allocasuarina torulosa,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout; & seedlings ,Post-fire seedlings,resprouts,stem_coppice epicormic,post_fire_recruitment
Alphitonia excelsa,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Banksia aquilonia,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout,,resprouts,stem_coppice epicormic,post_fire_recruitment_absent
Breynia oblongifolia,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Corymbia intermedia,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem Epicormic resprout; & seedlings,Post-fire seedlings,resprouts,stem_coppice epicormic,post_fire_recruitment
Corymbia torelliana,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Dodonaea triquetra,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,"Fire killed, abundant seedlings","Post-fire seedlings, 8% begin producing seed in 3rd year; 60% in 4th year",fire_killed,NA,post_fire_recruitment
Eucalyptus grandis,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout; & seedlings,Post-fire seedlings,resprouts,stem_coppice epicormic,post_fire_recruitment
Eucalyptus resinifera,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout;  & seedlings,Post-fire seedlings; 9% survive being burnt in their 2nd year,resprouts,stem_coppice epicormic,post_fire_recruitment
Eucalyptus tereticornis,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout,,resprouts,stem_coppice epicormic,post_fire_recruitment_absent
Lantana camara,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; & seedlings,Post-fire seedlings & some germination later during intervals between fires ,resprouts,stem_coppice,post_fire_recruitment
Lophostemon suaveolens,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout,,resprouts,stem_coppice epicormic,post_fire_recruitment_absent
Syncarpia glomulifera,Wet Tropics of north-eastern Australia - sclerophyll forest,Sclerophyll species,Coppice from base of stem; Epicormic resprout; & seedlings,Post-fire seedlings,resprouts,stem_coppice epicormic,post_fire_recruitment
Alphitonia petrei,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,"Fire killed, abundant seedlings","Post-fire seedlings; begin producing seed in 10th year, when 6 m tall",fire_killed,NA,post_fire_recruitment
Alstonia muelleriana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Root coppice; Coppice from base of stem,Apparent seedlings typically root coppice shoots,resprouts,root_coppice stem_coppice,post_fire_recruitment
