species,Primary Fire Response,Seedlings (y/n),Seed Source,Early/ late successional,Root suckers,Rainforest/sclerophyll,Woody/herb,WSRf (y/n) - in rainforest
Acmena smithii,FR (R+S+),y,unburnt,l,,rf,w,y
Acronychia bauerlenii,FR (R+S+),y,soil,l,yes,rf,w,y
Allocasuarina torulosa,FR (R+S+),y,canopy,e,,scl,w,y
Alphitonia excelsa,FR (R+S+),y,soil,e,,rf,w,y
Archirhodomyrtus beckleri,FR (R+S+),y,unburnt,e,,rf,w,y
Archontophoenix cunninghamiana,FR (R+S+),y,unburnt,l,,rf,w,y
Austrobuxus swainii,FR (R+S+),y,unburnt,l,,rf,w,y
Callicoma serratifolia,FR (R+S+),y,soil,e,,rf,w,y
Canarium australasicum,FR (R+S+),y,unburnt,l,,rf,w,y
Ceratopetalum apetalum,FR (R+S+),y,unburnt,l,,rf,w,y
Cinnamomum oliveri,FR (R+S+),y,unburnt,l,,rf,w,y
Cissus antarctica,FR (R+S+),y,soil,l,,rf,w,y
Cissus hypoglauca,FR (R+S+),y,soil,e,,rf,w,y
Cordyline rubra and C. petiolaris,FR (R+S+),y,soil,e,,rf,w,y
Cryptocarya microneura,FR (R+S+),y,unburnt,l,,rf,w,y
Dendrocnide excelsa,FR (R+S+),y,soil,l,,rf,w,y
Dendrocnide photinophylla,FR (R+S+),y,soil,l,,rf,w,y
Dioscorea transversa,FR (R+S+),y,soil,e,,rf,w,y
Duboisia myoporoides,FR (R+S+),y,soil,e,yes,rf,w,y
Eidothea hardeniana,FR (R+S+),y,unburnt,l,,rf,w,y
Elaeocarpus reticulatus,FR (R+S+),y,soil,e,,rf,w,y
Eucalyptus grandis,FR (R+S+),y,canopy,e,,scl,w,y
Eucalyptus microcorys,FR (R+S+),y,canopy,e,,scl,w,y
Eucalyptus pilularis,FR (R+S+),y,canopy,e,,scl,w,y
Eucalyptus notabilis,FR (R+S+),y,canopy,e,,scl,w,n
Euroschinus falcata,FR (R+S+),y,unburnt,e,,rf,w,y
Exocarya sclerioides,FR (R+S+),y,soil,e,,rf,h,y
Ficus coronata,FR (R+S+),y,soil,e,,rf,w,y
Flagellaria indica,FR (R+S+),y,unburnt,e,,rf,w,y
Geitonoplesium cymosum,FR (R+S+),y,soil,e,,rf,w,y
Glochidion ferdinandi,FR (R+S+),y,soil,e,,rf,w,y
Hibbertia hexandra,FR (R+S+),y,soil,e,,scl,w,y
Hibbertia scandens,FR (R+S+),y,soil,e,,scl,w,y
Hydrocotyle pedicellosa,FR (R+S+),y,soil,e,,rf,h,y
Lepidosperma clipeicola,FR (R+S+),y,soil,e,,scl,h,y
Leptospermum microcarpum,FR (R+S+),y,soil,e,,scl,w,n
Leptospermum polygalifolium,FR (R+S+),y,canopy,e,,scl,w,n
Litsea reticulata,FR (R+S+),y,unburnt,l,yes,rf,w,y
Lomandra longifolia,FR (R+S+),y,soil,e,,scl,h,y
Lophostemon confertus,FR (R+S+),y,canopy,l,,scl,w,y
Maclura cochinchinensis,FR (R+S+),y,soil,e,,rf,w,y
Mallotus philipinensis,FR (R+S+),y,soil,e,,rf,w,y
Marsdenia longiloba,FR (R+S+),y,soil,e,,scl,w,y
Melicope hayesii,FR (R+S+),y,soil,l,,rf,w,y
Pandorea pandorana,FR (R+S+),y,soil,e,,rf,w,y
Polyscias elegans,FR (R+S+),y,soil,e,yes,rf,w,y
Quintinia verdonii,FR (R+S+),y,soil,l,,rf,w,y
Rubus nebulosus,FR (R+S+),y,soil,e,yes,rf,w,y
Sarcopteryx stipitata,FR (R+S+),y,unburnt,l,,rf,w,y
Schizomeria ovata,FR (R+S+),y,unburnt,l,,rf,w,y
Sloanea woollsii,FR (R+S+),y,unburnt,l,,rf,w,y
Smilax australis,FR (R+S+),y,soil,e,,rf,w,y
Smilax glyciphylla,FR (R+S+),y,soil,e,,scl,w,y
Stephania aculeatissima,FR (R+S+),y,soil,e,,rf,w,y
Syzygium luehmanii,FR (R+S+),y,unburnt,l,,rf,w,y
Syzygium oleosum,FR (R+S+),y,unburnt,e,,rf,w,y
Toona australis,FR (R+S+),y,unburnt,l,,rf,w,y
Trochocarpa laurina,FR (R+S+),y,soil,e,,rf,w,y
Ackama paniculata,R (R+S-),n,nil,l,,rf,w,y
Acradenia euodiiformis,R (R+S-),n,nil,l,,rf,w,y
Acronychia suberosa,R (R+S-),n,nil,l,,rf,w,y
Alyxia rusciifolia,R (R+S-),n,nil,l,,rf,w,y
Anopterus macleayanus,R (R+S-),n,nil,l,,rf,w,y
Araucaria cunninghamii,R (R+S-),n,nil,l,,rf,w,y
Archidendron grandiflorum,R (R+S-),n,nil,l,,rf,w,y
Archidendron muellerianum,R (R+S-),n,nil,l,yes,rf,w,y
Arytera divaricata,R (R+S-),n,nil,l,,rf,w,y
Arytera dystylis,R (R+S-),n,nil,l,,rf,w,y
Atractocarpus benthamianus,R (R+S-),n,nil,e,,rf,w,y
Backhousia leptopetala,R (R+S-),n,nil,l,yes,rf,w,y
Backhousia myrtifolia,R (R+S-),n,nil,l,yes,rf,w,y
Breynia oblongifolia,R (R+S-),n,nil,e,,scl,w,y
Calamus muelleri,R (R+S-),n,nil,l,,rf,w,y
Caldcluvia paniculosa,R (R+S-),n,nil,l,,rf,w,y
Castanospora alphandii,R (R+S-),n,nil,l,,rf,w,y
Caesalpinia scortechinii,R (R+S-),n,nil,l,,rf,w,y
Celastrus subspicatus,R (R+S-),n,nil,l,,rf,w,y
Cissus sterculifolia,R (R+S-),n,nil,l,,rf,w,y
Corokia whiteana,R (R+S-),n,nil,e,,rf,w,y
Corymbia intermedia,R (R+S-),n,nil,e,,scl,w,y
Croton verrauxii,R (R+S-),n,nil,e,yes,rf,w,y
Cryptocarya glaucescens,R (R+S-),n,nil,l,,rf,w,y
Cryptocarya meisneriana,R (R+S-),n,nil,l,,rf,w,y
Cryptocarya rigida,R (R+S-),n,nil,e,,rf,w,y
Cupaniopsis newmanii,R (R+S-),n,nil,l,,rf,w,y
Cuttsia viburnea,R (R+S-),n,nil,l,,rf,w,y
Cyclophyllum coprosmoides,R (R+S-),n,nil,e,,rf,w,y
Cyclophyllum longipetalum,R (R+S-),n,nil,e,,rf,w,y
Daphnandra apetala,R (R+S-),n,nil,l,rare,rf,w,y
Dehnamia celastroides,R (R+S-),n,nil,e,yes,rf,w,y
Derris involuta,R (R+S-),n,nil,l,,rf,w,y
Diospyros pentamera,R (R+S-),n,nil,l,,rf,w,y
Diploglottis australis,R (R+S-),n,nil,l,,rf,w,y
Drymophila moorei,R (R+S-),n,nil,l,yes,rf,h,y
Dysoxylum fraserianum,R (R+S-),n,nil,l,,rf,w,y
Dysoxylum rufum,R (R+S-),n,nil,l,,rf,w,y
Elaeocarpus eumundi,R (R+S-),n,nil,l,,rf,w,y
Elaeocarpus grandis,R (R+S-),n,nil,l,,rf,w,y
Elaeodendron australe,R (R+S-),n,nil,l,,rf,w,y
Embelia australiana,R (R+S-),n,nil,l,,rf,w,y
Endiandra introrsa,R (R+S-),n,nil,l,,rf,w,y
Endiandra discolor,R (R+S-),n,nil,l,,rf,w,y
Endiandra muelleri ssp. bracteata,R (R+S-),n,nil,l,,rf,w,y
Endiandra muelleri ssp. muelleri,R (R+S-),n,nil,l,,rf,w,y
Endiandra pubens,R (R+S-),n,nil,l,,rf,w,y
Eucalyptus andrewsii,R (R+S-),n,nil,e,,scl,w,y
Eucalyptus eugenoides,R (R+S-),n,nil,e,,scl,w,n
