Family,Genera,Species,Sex ('D'ioecious/'N'on-'D'ioecious),Growth Form,Binary GF,Pollination,pollination_new,Binary Pollination,Seed dispersal,seed_dispersal_new,Binary Seed Dispersal,Growth Form Reference,Pollination Reference,Seed Dispersal Reference,dispersal_syndrome,dispersers,dispersal_unit,latitude (deg),longitude (deg),Sex,Height (cm),Diameter (cm),Site,Date,replicates
Acanthaceae,Dipteracanthus,Dipteracanthus australasicus,ND,Perennial,Non-woody,Insects (ref for genus),insect,Biotic,Passive (ref for other genera in family),passive,Abiotic,Flora of Western Australia Online,https://florabase.dpaw.wa.gov.au/browse/profile/22084,"Labhane NM, Dongarwar NM (2014) Embryological characters to study the Justicia-Rungia complex (Acanthaceae). Journal of Plant Development 21, 33 - 39.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthaceae,Rostellularia,Rostellularia adscendens,ND,Shrub,Woody,Insects (ref for genus),insect,Biotic,Passive (ref for other genera in family),passive,Abiotic,Flora of South Australia Online 4th Edition,https://florabase.dpaw.wa.gov.au/browse/profile/22091,"Labhane NM, Dongarwar NM (2014) Embryological characters to study the Justicia-Rungia complex (Acanthaceae). Journal of Plant Development 21, 33 - 39.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthaceae,Xerothamnella,Xerothamnella parvifolia,ND,Shrub,Woody,"Insects (likely, ref for species in genus)",insect,Biotic,Passive (seed morphology for species),passive,Abiotic,Flora of South Australia Online 4th Edition,"Lamont RW, Conroy G (2016) A genetic, demographic and habitat evaluation of an endangered ephemeral species Xerothamnella herbacea from Australia. Australian Journal of Botany 65, 38 - 57.",https://spapps.environment.sa.gov.au/SeedsOfSA/scientificresults.html?family=&genus=Xerothamnella&species=&sortby=genus&synonyms=true,barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adoxaceae,Sambucus,Sambucus gaudichaudiana,ND,Shrub,Woody,Insects (ref for other species in genus),insect,Biotic,Ingestion (ref for species),ingest,Biotic,Flora of New South Wales Online,"Scott-Brown AS, Arnold SEJ, Kite GC, Farrell IW, Farman DL, Collins DW, Stevenson PC (2019) Mechanisms in mutualisms: a chemically mediated thrips pollination strategy in common elder. Planta 250, 367 - 379.","French K (1992) Phenology of fleshy fruits in a wet sclerophyll forest in Southeastern Australia: Are birds an important influence? Oecologia 90, 366 - 373.",endozoochory,vertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Carpobrotus,Carpobrotus modestus,ND,Shrub,Woody,Insect (ref for other species in genus),insect,Biotic,Ingestion by birds (ref for species in),ingest bird,Biotic,Flora of South Australia Online 4th Edition,"Moragues E, Traveset A (2005) Effect of Carpobrotus spp. on the pollination success of native plants species of the Balearic Islands. Biological Conservation 122(4), 611 - 619","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin. Parsons (1997) Carpobrotus modestus (Aizoaceae), a post-fire pioneer in semi-arid southern Australia. Journal of Arid Environments 37, 453–459.",endozoochory zoochory,vertebrates birds,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Carpobrotus,Carpobrotus rossii,ND,Shrub,Woody,Insect (ref for other species in genus),insect,Biotic,Ingestion by birds (ref for species in),ingest bird,Biotic,Flora of South Australia Online 4th Edition,"Moragues E, Traveset A (2005) Effect of Carpobrotus spp. on the pollination success of native plants species of the Balearic Islands. Biological Conservation 122(4), 611 - 619","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin. Parsons (1997) Carpobrotus modestus (Aizoaceae), a post-fire pioneer in semi-arid southern Australia. Journal of Arid Environments 37, 453–459.",endozoochory zoochory,vertebrates birds,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Carpobrotus,Carpobrotus virescens,ND,Perennial,Woody,Insect (refs for other species in genus),insect,Biotic,Ingestion by birds (ref for species in),ingest bird,Biotic,Flora of South Australia Online 4th Edition,"Jakobsson A, Pardon B, Traveset A (2008) Pollen transfer from invasive Carpobrotus sp. To natives - A study of pollinator behaviour and reproduction success. Biological Conservation 141(1), 136 - 145.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin. Parsons (1997) Carpobrotus modestus (Aizoaceae), a post-fire pioneer in semi-arid southern Australia. Journal of Arid Environments 37, 453–459.",endozoochory zoochory,vertebrates birds,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Disphyma,Disphyma crassifolium,ND,Shrub,Woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,https://florabase.dpaw.wa.gov.au/browse/profile/22394,"Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Glinus,Glinis oppositifolius,ND,Perennial,Non-woody,"Insect (refs for species, family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Sulakshana M, Raju AJS (2018) Floral biology and polliantion of carpet weeds, Glinus lotoides L. and Glinus oppositifolius (L.) Aug. DC. (Molluginaceae). Anales de Biologia 40, 103 - 114.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Glinus,Glinus lotoides,ND,Perennial,Non-woody,"Insect (refs for species, family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Sulakshana M, Raju AJS (2018) Floral biology and polliantion of carpet weeds, Glinus lotoides L. and Glinus oppositifolius (L.) Aug. DC. (Molluginaceae). Anales de Biologia 40, 103 - 114.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Glinus,Glinus orygioides,ND,Perennial,Non-woody,"Insect (refs for species, family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Sulakshana M, Raju AJS (2018) Floral biology and polliantion of carpet weeds, Glinus lotoides L. and Glinus oppositifolius (L.) Aug. DC. (Molluginaceae). Anales de Biologia 40, 103 - 114.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Gunniopsis,Gunniopsis calcarea,ND,Perennial,Non-woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Gunniopsis,Gunniopsis calva,ND,Perennial,Non-woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Gunniopsis,Gunniopsis kochii,ND,Perennial,Non-woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
