Location,Vegetation Class,plant_growth_form,Key Indicator Species,Fire Response,Juvenile Period (years)
Avon Wheatbelt 1,Woodland,Tree,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus capillosa,OS/RS?,?
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus corrugata,RS?,?
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus erythronema,RS?,?
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus longicornis,OS/RS?,?
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus salmonophloia,OS/RS ep,5
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus salubris,OS/RS ep?,?
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus sheathiana,RS?,?
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus transcontinentalis,OS/RS?,?
Avon Wheatbelt 1,Woodland,Tree,Eucalyptus wandoo,OS/RS ep,4
Avon Wheatbelt 1,Woodland,Shrub,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 1,Woodland,Shrub,Acacia lasiocalyx,SS?,?
Avon Wheatbelt 1,Woodland,Shrub,Acacia microbotrya,SS,4
Avon Wheatbelt 1,Woodland,Shrub,Allocasuarina campestris,OS,5
Avon Wheatbelt 1,Woodland,Shrub,Callitris columellaris,OS?,?
Avon Wheatbelt 1,Woodland,Shrub,Eremophila clarkei,?,2
Avon Wheatbelt 1,Woodland,Shrub,Eremophila drummondii,?,?
Avon Wheatbelt 1,Woodland,Shrub,Eremophila scoparia,?,?
Avon Wheatbelt 1,Woodland,Shrub,Gastrolobium crassifolium,SS,?
Avon Wheatbelt 1,Woodland,Shrub,Grevillea acuaria,?,?
Avon Wheatbelt 1,Woodland,Shrub,Hakea preissii,OS?,?
Avon Wheatbelt 1,Woodland,Shrub,Lepidosperma drummondii,RS bs,6
Avon Wheatbelt 1,Woodland,Shrub,Leptospermum erubescens,RS bs,4
Avon Wheatbelt 1,Woodland,Shrub,Melaleuca acuminata,OS,4
Avon Wheatbelt 1,Woodland,Shrub,Melaleuca lateriflora,OS/RS?,?
Avon Wheatbelt 1,Woodland,Shrub,Melaleuca laxiflora,OS/RS?,6
Avon Wheatbelt 1,Woodland,Shrub,Melaleuca pungens,OS/RS?,6
Avon Wheatbelt 1,Woodland,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 1,Woodland,Shrub,Santalum acuminatum,SS,8
Avon Wheatbelt 1,Woodland,Shrub,Santalum spicatum,SS,?
Avon Wheatbelt 1,Low Woodland,Tree,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 1,Low Woodland,Tree,Acacia lasiocalyx,SS?,?
Avon Wheatbelt 1,Low Woodland,Tree,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 1,Low Woodland,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 1,Low Woodland,Shrub,Acacia microbotrya,SS,4
Avon Wheatbelt 1,Low Woodland,Shrub,Allocasuarina campestris,OS,5
Avon Wheatbelt 1,Low Woodland,Shrub,Dryandra sessilis,OS,2
Avon Wheatbelt 1,Low Woodland,Shrub,Hakea decurva,OS?,?
Avon Wheatbelt 1,Low Woodland,Shrub,Leptospermum erubescens,RS bs,4
Avon Wheatbelt 1,Mallee Shrubland,Mallee,Eucalyptus eremophila,RS bs,?
Avon Wheatbelt 1,Mallee Shrubland,Mallee,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 1,Mallee Shrubland,Mallee,Eucalyptus redunca,RS bs,?
Avon Wheatbelt 1,Mallee Shrubland,Mallee,Eucalyptus sheathiana,RS?,?
Avon Wheatbelt 1,Mallee Shrubland,Mallee,Eucalyptus transcontinentalis,OS/RS?,?
Avon Wheatbelt 1,Mallee Shrubland,Shrub,Allocasuarina acutivalvis,OS?,?
Avon Wheatbelt 1,Mallee Shrubland,Shrub,Banksia media,OS,4
Avon Wheatbelt 1,Mallee Shrubland,Shrub,Callitris columellaris,OS?,?
Avon Wheatbelt 1,Mallee Shrubland,Shrub,Calothamnus gilesii,OS/RS?,4
Avon Wheatbelt 1,Mallee Shrubland,Shrub,Hakea multilineata,OS,5
Avon Wheatbelt 1,Mallee Shrubland,Shrub,Melaleuca hamulosa,RS bs,?
Avon Wheatbelt 1,Mallee Shrubland,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 1,Shrubland,Mallee,Eucalyptus burracoppinensis,RS?,?
Avon Wheatbelt 1,Shrubland,Mallee,Eucalyptus gardneri,RS?,5
Avon Wheatbelt 1,Shrubland,Mallee,Eucalyptus gracilis,RS?,?
Avon Wheatbelt 1,Shrubland,Mallee,Eucalyptus leptopoda,RS?,?
Avon Wheatbelt 1,Shrubland,Mallee,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 1,Shrubland,Mallee,Eucalyptus sheathiana,RS?,?
Avon Wheatbelt 1,Shrubland,Mallee,Eucalyptus wandoo,OS/RS ep,4
Avon Wheatbelt 1,Shrubland,Shrub,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 1,Shrubland,Shrub,Acacia beauverdiana,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Acacia neurophylla,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Actinostrobus arenarius,?,?
