Plant Genus,Plant Species,Pollinator Order/Family,Pollinator Genus,Pollinator Species,Morphospecies,Region,Publication,POLLINATOR TRAIT,METHOD,POLLINATION EVIDENCE,Location
Banksia,menziesii,Meliphagidae,Anthochaera,carunculata,Red Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Highview Park, 32 06′28″S, 115 52′ 01″E"
Banksia,menziesii,Meliphagidae,Anthochaera,lunulata,Western Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Highview Park, 32 06′28″S, 115 52′ 01″E"
Banksia,menziesii,Meliphagidae,Phylidonyris ,nigra,White-cheeked Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Hepburn Park, 31 49′09″S, 115 52′ 29″E"
Banksia,menziesii,Meliphagidae,Phylidonyris ,novaehollandiae,New Holland Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,menziesii,Meliphagidae,Lichmera,indistincta,Brown Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,menziesii,Meliphagidae,Lichenostomus,virescens,Singing Honeyeater,Perth Metropolitan,Frick et al. 2014,pollination_vector_known,Observation,observed pollen transfer,"Sand quarry, 31°45'05.1""S 115°56'48.7""E"
Banksia,menziesii,Meliphagidae,Acanthorhynchus,superciliosus,Western Spinebill,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,menziesii,Zosterops,Zosterops, lateralis,Silvereye,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_possible,Observation,"probing inflorescence, contact with stigma, contact with anthers","Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,menziesii,Psittaculidae,Trichoglossus,haematodus,Rainbow Lorikeet,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",flower_visitor,Observation,probing inflorescence,"Jandakot, 32°06'18.0""S 115°52'07.0""E"
Banksia,menziesii,Psittaculidae,Barnardius,zonarius subsp. semitorquatus,Australian Ringneck,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",flower_visitor,Observation,probing inflorescence,"Jandakot, 32°06'18.0""S 115°52'07.0""E"
