site_name,trait_name,unit,value,notes
Frodshams Pass,longitude,deg,146.4,
Frodshams Pass,latitude,deg,-42.8,
Mt_Read,longitude,deg,145.6,
Mt_Read,latitude,deg,-41.8,
wet_scler_UTAS,longitude,deg,147.3,
wet_scler_UTAS,latitude,deg,-42.9,
