name_original,metadata_id,primary_source,raw_trait_value,trait,units
Caesalpinia scortechinii,11,10,663.48,seed mass,mg
Caesalpinia subtropica,11,10,403.652,seed mass,mg
Callerya megasperma,11,10,242.548,seed mass,mg
Cassytha phaeolasia (pubescens),11,10,58.127,seed mass,mg
Cayratia clematidea,11,10,27.923,seed mass,mg
Cayratia eurynema,11,10,27.923,seed mass,mg
Cissus sterculiifolia,11,10,225.561,seed mass,mg
Cynanchum carnosum,11,10,10.155,seed mass,mg
Cynanchum elegans,11,10,10.155,seed mass,mg
Dioscorea transversa,11,10,21.307,seed mass,mg
Hibbertia dentata,11,10,6.89,seed mass,mg
Hibbertia dentata var calva,11,10,6.89,seed mass,mg
Hibbertia dentata var dentata,11,10,6.89,seed mass,mg
Ipomoea aculeata,11,10,8.189,seed mass,mg
Marsdenia flavescens,11,10,28.97,seed mass,mg
Marsdenia fraseri,11,10,30.651,seed mass,mg
Marsdenia liisae,11,10,30.651,seed mass,mg
Marsdenia lloydii,11,10,28.97,seed mass,mg
Marsdenia longiloba,11,10,30.651,seed mass,mg
Marsdenia pleiadenia,11,10,30.651,seed mass,mg
Rubus nebulosus,11,10,3.94,seed mass,mg
Stictocardia tiliifolia,11,10,175.26,seed mass,mg
Tinospora tinosporoides,11,10,122.835,seed mass,mg
Uvaria concava,11,10,85.634,seed mass,mg
