Species,longitude,latitude
Millotia_tenuifolia,117.1554361,-34.61917222
Podolepis_aristata,117.687625,-34.40362778
Waitzia_acuminata,114.6921583,-27.60539444
Senecio_anethifolius,138.5795583,-30.76085556
Arrhenechthites_mixtus,150.2511944,-33.31101111
oxalis_glabra,115.9135667,-32.33731944
rhodanthe_citrina,115.9023917,-32.34424722
blumea_tenella,118.2258333,-22.63587778
Pentalepis_ecliptoides,125.2955611,-17.23796944
gilruthia_osbornei,114.6921583,-27.60539444
senecio_picridioides,138.6790056,-35.08308056
Rytidosperma_pilosum,138.78705,-34.88775556
microseris_lanceolata,138.78705,-34.88775556
Ixodia_achillaeoides,138.7082603,-34.88076551
cyperus_nervulosus,133.6845444,-18.08004167
senecio_dolichocephalus,138.646998,-34.97365
gilruthia_osbornei,114.6921583,-27.60539444
calotis_breviradiata,127.6902083,-30.01226389
gnephosis_arachnoidea,141.6973686,-31.08023472
quinetia_urvillei,117.687625,-34.40362778
dodonaea_physocarpa,137.011625,-17.89590833
acacia_thomsonii,137.0692639,-18.90550556
senecio_phelleus,138.78705,-34.88775556
millotia_myosotidifolia,114.6921583,-27.60539444
goodenia_triodiophila,120.2171194,-23.30198611
acacia_phlebocarpa,137.0723639,-17.89570556
pluchea_dentex,118.268075,-22.72358889
euphorbia_boophthona,118.268075,-22.72358889
actinobole_condensatum,114.6921583,-27.60539444
cotula_australis,140.7584778,-34.08334167
alternanthera_angustifolia,133.1845722,-24.54153611
minuria_rigida,136.6299222,-27.83496111
hemigenia_purpurea,151.1349611,-33.67334444
senecio_gregorii,133.4084889,-23.95909444
myoporum_parvifolium,140.7576028,-34.08430278
rhodanthe_microglossa,141.6973686,-31.08023472
acacia_hilliana,136.8470722,-18.77869167
schoenus_sublateralis,117.1554361,-34.61917222
tribulopis_pentandra,133.4238944,-17.28296944
calocephalus_beardii,119.6314389,-22.76692778
chthonocephalus_pseudevax,114.6921583,-27.60539444
coronidium_scorpioides,150.0272222,-33.22035
calocephalus_platycephalus,133.4679222,-24.12430278
isoetopsis_graminifolia,145.6993694,-33.19214722
pycnosorus_pleiocephalus,130.4504778,-29.34649167
corchorus_sidoides,137.1006028,-17.89627778
Rytidosperma_setaceum,141.6973686,-31.08023472
astroloma_conostephioides,138.8613444,-34.60900833
rhodanthe_haigii,127.6902083,-30.01226389
aristida_perniciosa,137.0723639,-17.89570556
kunzea_glabrescens,115.9023917,-32.34424722
poa_clelandii,138.78705,-34.88775556
gnephosis_eriocarpa,138.8491778,-29.75528333
acacia_effusifolia,120.9661222,-28.143125
jacksonia_odontoclada,135.8300389,-16.82389444
rhodanthe_corymbiflora,141.6973686,-31.08023472
brachyscome_dentata,141.6973686,-31.08023472
scleranthus_pungens,138.5673306,-31.32773611
cyanthillium_cinereum,133.0477889,-14.90864444
petalostigma_pubescens,132.2700917,-13.55729167
austrostipa_trichophylla,138.7031889,-34.50430556
tribulopis_angustifolia,133.6350222,-18.07249722
erigeron_bonariense,141.4337544,-31.89335056
