Sources 
"Besnard, G., Muasya, A. M., Russier, F., Roalson, E. H., Salamin, N., & Christin, P. A. (2009). Phylogenomics of C4 photosynthesis in sedges (Cyperaceae): multiple appearances and genetic convergence. Molecular Biology and Evolution, 26(8), 1909-1919."
"Bohley K, Joosa O, Hartmann H, Saged R, Liede-Schumann S, Kadereit G. (2015) Phylogeny of Sesuvioideae (Aizoaceae) – Biogeography, leaf anatomy and the evolution of C4 photosynthesis. Perspectives in Plant Ecology, Evolution and Systematics Vol 17. 116-130"
"Bruhl, Jeremy J., and Karen L. Wilson. ""Towards a comprehensive survey of C3 and C4 photosynthetic pathways in Cyperaceae."" Aliso: A Journal of System2:26atic and Evolutionary Botany 23.1 (2007): 99-148."
"Carolin R, Jacobs SWL, Vesk M (1982) The Chlorenchyma of Some Members of the Salicornieae (Chenopodiaceae) Aust. J. Bot. 30:387-392"
"Elena V. Voznesenskaya, Hossein Akhani, Nuria K. Koteyeva, Simon D. X. Chuong, Eric H. Roalson, Olavi Kiirats, Vincent R. Franceschi, and Gerald E. Edwards (2008) Structural, biochemical, and physiological characterization of photosynthesis in two C4 subspecies of Tecticornia indica and the C3 species Tecticornia pergranulata (Chenopodiaceae). Journal of Experimental Botany, Vol. 59, 1715–1734."
"Feodorova, T.A., Voznesenskaya, E.V.,  Edwards, G.E., and  Roalson, E.H. (2010) Biogeographic Patterns of Diversification and the Origins of C4 in Cleome
(Cleomaceae). The American Society of Plant Taxonomists Vol 35:811-826"
"Guillaume, K., Huard, M., Gignoux, J., Mariotti, A., & Abbadie, L. (2001). Does the timing of litter inputs determine natural abundance of 13 C in soil organic matter? Insights from an African tiger bush ecosystem. Oecologia, 127(2), 295-304."
"Hancock LP, Holtum JAM, Edwards EJ (2019) The Evolution of CAM Photosynthesis in Australian Calandrinia Reveals Lability in C3+CAM Phenotypes and a Possible Constraint to the Evolution of Strong CAM Integrative and Comparative Biology, icz089"
"Holtum, J. A., Hancock, L. P., Edwards, E. J., Crisp, M. D., Crayn, D. M., Sage, R., & Winter, K. (2016). Australia lacks stem succulents but is it depauperate in plants with crassulacean acid metabolism (CAM)?. Current Opinion in Plant Biology, 31, 109-117."
James R. Ehleringer and Russell K. Monson Evolutionary and Ecological Aspects of Photosynthetic Pathway Variation 1993 Annual Review of Ecology and Systematics 411-493
"Kadereit, G., Borsch, T., Weising, K., & Freitag, H. (2003). Phylogeny of Amaranthaceae and Chenopodiaceae and the evolution of C4 photosynthesis. International journal of plant sciences, 164(6), 959-986."
"L. Watson and M. J. Dallwitz (1992 onwards). The Families of Flowering Plants: Descriptions, Illustrations, Identification, and Information Retrieval. Version: 14th December 2000. http://biodiversity.uno.edu/delta/’"
"Llano, C. (2009). Photosynthetic pathways, spatial distribution, isotopic ecology, and implications for pre?Hispanic human diets in central?western Argentina. International Journal of Osteoarchaeology, 19(2), 130-143."
"Markovsak YK, Dimitrov DS (2001) The Effect of Leaf Age on Gas Exchange and Malate Accumulation in C3-CAM Plant Marrubium Frivaldszkyanum (Lamiaceae) 39:191-195"
"Metcalfe, CR. 1960. Anatomy of the monocotyledons. I. Gramineae. Oxford, UK: Clarendon Press."
"Osborne, Colin P., Anna Salomaa, Thomas A. Kluyver, Vernon Visser, Elizabeth A. Kellogg, Osvaldo Morrone, Maria S. Vorontsova, W. Derek Clayton, and David A. Simpson. ""A global database of C 4 photosynthesis in grasses."" New Phytologist 204, no. 3 (2014): 441-446."
"Rao, I. M., Swamy, P. M., & Das, V. S. R. (1979). Some characteristics of Crassulacean acid metabolism in five nonsucculent scrub species under natural semiarid conditions. Zeitschrift für Pflanzenphysiologie, 94(3), 201-210."
"Sage, R. F. (2016). A portrait of the C4 photosynthetic family on the 50th anniversary of its discovery: species number, evolutionary lineages, and Hall of Fame. Journal of experimental botany, 68(2), e11-e28."
"Sage, R. F., Sage, T. L., Pearcy, R. W., & Borsch, T. (2007). The taxonomic distribution of C4 photosynthesis in Amaranthaceae sensu stricto. American Journal of Botany, 94(12), 1992-2003."
"Taylor SH, Stephen P. Hulme, Rees M, Ripley BS, Woodward FI, Osborne CP (2010) Ecophysiological traits in C3 and C4 grasses: a phylogenetically controlled screening experiment New Phytologist 185:780-791"
"Thiede, J.; Eggli, a. U. (2007). ""Crassulaceae"". In The Families and Genera of Vascular Plants. Ed Kubitzki, K.  pp. 83–118."
Ting IP (1989) Photosynthesis of Arid and Subtropical Succulent Plants  Aliso: A Journal of Systematic and Evolutionary Botany Vol 387-406
"Winter K (2019) Ecophysiology of constitutive and facultative CAM photosynthesis. Journal of Experimental Botany, erz002"
"Winter K, Wallace BJ,  Stocker GF, Roksandic  Z (1983) Crassulacean acid metabolism in australian vascular epiphytes and some related species Vol 57:129-141"
