taxon_name,page,notes,advanced_seedlings,fire intensity,trait_name,value
Adiantum aethiopicum (s.lat.),NA,NA,NA,NA,fire_response_LCR,resprouts
Adiantum aethiopicum (s.lat.),NA,NA,NA,NA,fire_response_NL,resprouts
Adiantum aethiopicum (s.lat.),NA,NA,NA,NA,first_fruiting_resp,50
Adiantum aethiopicum (s.lat.),NA,NA,NA,NA,secondary_juvenile_period,1
Adiantum hispidulum,15,NA,NA,NA,fire_response_LCR,resprouts
Adiantum hispidulum,15,NA,NA,NA,first_fruiting_resp,41
Adiantum hispidulum,15,NA,NA,NA,secondary_juvenile_period,41
Asplenium australasicum,15,NA,NA,NA,fire_response_LCR,fire_killed
Asplenium flabellifolium,15,NA,NA,NA,fire_response_LCR,resprouts
Asplenium flabellifolium,15,NA,NA,NA,fire_response_NL,resprouts
Asplenium flabellifolium,15,NA,NA,NA,first_fruiting_resp,26
Asplenium flabellifolium,15,NA,NA,NA,secondary_juvenile_period,26
Blechnum ambiguum,15,NA,NA,NA,fire_response_LCR,resprouts
Blechnum ambiguum,15,NA,NA,NA,fire_response_NL,resprouts
Blechnum ambiguum,15,NA,NA,NA,first_fruiting_resp,50
Blechnum ambiguum,15,NA,NA,NA,secondary_juvenile_period,63
Blechnum camfieldii,15,NA,NA,NA,fire_response_NL,resprouts
Blechnum camfieldii,15,NA,NA,NA,first_fruiting_resp,38
Blechnum camfieldii,15,NA,NA,NA,secondary_juvenile_period,38
Blechnum cartilagineum,15,NA,NA,NA,fire_response_LCR,resprouts
Blechnum cartilagineum,15,NA,NA,NA,fire_response_NL,resprouts
Blechnum cartilagineum,15,NA,NA,NA,first_fruiting_resp,10
Blechnum cartilagineum,15,NA,NA,NA,secondary_juvenile_period,10
Blechnum indicum,15,NA,NA,NA,fire_response_LCR,resprouts
Blechnum indicum,15,NA,NA,NA,fire_response_NL,resprouts
Blechnum indicum,15,NA,NA,NA,first_fruiting_resp,10
Blechnum indicum,15,NA,NA,NA,secondary_juvenile_period,10
Blechnum nudum,15,NA,NA,NA,fire_response_LCR,resprouts
Blechnum nudum,15,NA,NA,NA,first_fruiting_resp,33
Blechnum nudum,15,NA,NA,NA,secondary_juvenile_period,33
Doodia aspera,15,NA,NA,NA,fire_response_LCR,resprouts
Doodia aspera,15,NA,NA,NA,fire_response_NL,resprouts
Doodia aspera,15,NA,NA,NA,first_fruiting_resp,23
Doodia aspera,15,NA,NA,NA,secondary_juvenile_period,23
Doodia caudata,15,NA,NA,NA,fire_response_LCR,resprouts
Doodia caudata,15,NA,NA,NA,first_fruiting_resp,23
Doodia caudata,15,NA,NA,NA,secondary_juvenile_period,23
Doodia linearis,15,NA,NA,NA,fire_response_LCR,resprouts
Doodia linearis,15,NA,NA,NA,first_fruiting_resp,15
Doodia linearis,15,NA,NA,NA,secondary_juvenile_period,29
Cyathea australis,15,NA,NA,NA,fire_response_LCR,resprouts
Cyathea australis,15,NA,NA,NA,first_fruiting_resp,49
Cyathea australis,15,NA,NA,NA,secondary_juvenile_period,1
Davallia solida var. pyxidata,15,NA,NA,NA,fire_response_LCR,fire_killed
Davallia solida var. pyxidata,15,NA,NA,NA,fire_response_NL,fire_killed
*Nephrolepis cordifolia,15,NA,NA,NA,fire_response_LCR,resprouts
*Nephrolepis cordifolia,15,NA,NA,NA,fire_response_NL,resprouts
Histiopteris incisa,15,NA,NA,NA,fire_response_LCR,resprouts
Histiopteris incisa,15,NA,NA,NA,fire_response_NL,resprouts
Hypolepis muelleri,16,NA,NA,NA,fire_response_LCR,resprouts
Hypolepis muelleri,16,NA,NA,NA,first_fruiting_resp,44
Pteridium esculentum,16,NA,NA,NA,fire_response_LCR,resprouts
Pteridium esculentum,16,NA,NA,NA,fire_response_NL,resprouts
Pteridium esculentum,16,NA,NA,NA,first_fruiting_resp,10
