original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Melaleuca nesophila.adj,Melaleuca nesophila.adj,Melaleuca nesophila,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-07),match_05a_fuzzy_accepted_canonical_name
Podotheca gnaphaloides,Podotheca gnaphaloides,Podotheca gnaphalioides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-07),match_05a_fuzzy_accepted_canonical_name
Haloragis erecta,Haloragis erecta,Haloragis elata,APC,species,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-09-07),match_05b_fuzzy_synonym_canonical_name
Brassica napus,Brassica napus,Brassica x napus,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-09-07),match_10a_binomial_exact_accepted
Cicer reticulatum,Cicer reticulatum,Cicer sp. [Cicer reticulatum; Sevenello_2026_2],APC,genus,Exact match of the first word of the taxon name to an APC-accepted genus (2026-09-07),match_12a_genus_exact_accepted
Cucumis hystrix,Cucumis hystrix,Cucumis sp. [Cucumis hystrix; Sevenello_2026_2],APC,genus,Exact match of the first word of the taxon name to an APC-accepted genus (2026-09-07),match_12a_genus_exact_accepted
Mirbelia,Mirbelia,Mirbelia sp. [Mirbelia; Sevenello_2026_2],APC,genus,Exact match of the first word of the taxon name to an APC-accepted genus (2026-09-07),match_12a_genus_exact_accepted
Ornithopus isthmocarpus,Ornithopus isthmocarpus,Ornithopus sp. [Ornithopus isthmocarpus; Sevenello_2026_2],APC,genus,Exact match of the first word of the taxon name to an APC-accepted genus (2026-09-07),match_12a_genus_exact_accepted
Solanum pimpinellifolium,Solanum pimpinellifolium,Solanum sp. [Solanum pimpinellifolium; Sevenello_2026_2],APC,genus,Exact match of the first word of the taxon name to an APC-accepted genus (2026-09-07),match_12a_genus_exact_accepted
