Taxa,Family,Species,Pollinator trait,Sample size,Acacia acuminata,Acacia beauverdiana,Arctotheca calendula,Baeckea linifolia,Brachyscome iberidifolia,Brassica napus,Brunonia australis,Callistemon viminalis,Cephalipterum drummondii,Cicer reticulatum,Citrullus lanatus,Coringia orientalis,Cucumis hystrix,Cucumis myriocarpus, Daucus glochidiatus,Echium plantagineum,Eremophila rotundifolia,Erodium brachycarpum,Eucalyptus articulata,Eucalyptus conglobata,Eucalyptus dundasii,Eucalyptus glomerosa,Eucalyptus grossa,Eucalyptus loxophleba,Eucalyptus salmonophloia,Eucalyptus sessilis,Eucalyptus xanthonema,Goodenia rosea,Goodenia berardiana,Haloragis erecta,Hakea lissocarpha,Lawrencella davenportii,Lawrencella rosea,Lupinus angustifolius,Melaleuca armillaris,Melaleuca glomerata,Melaleuca nesophila.adj,Mirbelia,Opercularia vaginata,Ornithopus isthmocarpus,Parentucellia latifolia,Pimelea argentea,Podolepis aristata,Podolepis gracilis,Podolepis lessonii,Podotheca gnaphaloides,Ptilotus exaltatus,Rhodanthe chlorocephala,Rhodanthe spicata,Schoenia cassiniana,Senna charlesiana,Solanum pimpinellifolium,Thysanotus manglesianus,Trymalium odoratissimum,Verticordia monadelpha,Waitzia acuminata
bee,Apidae,Apis mellifera,pollination_vector_possible ,26,0,X,X,X,X,X,X,0,0,0,0,X,0,X,0,X,X,X,0,0,0,X,X,0,0,X,0,X,0,X,0,0,0,X,X,X,X,X,0,0,X,0,X,0,X,X,0,0,0,0,0,0,0,0,0,0
bee,Halicitidae,Lasioglossum sp.,pollination_vector_possible ,16,0,X,X,0,0,X,X,0,0,0,0,X,X,X,0,0,0,0,0,0,0,0,0,X,0,X,X,X,0,0,0,0,0,0,X,0,X,0,0,0,0,0,X,X,X,X,0,0,0,0,0,0,0,0,0,X
bee,Colletidae,Leioproctus sp.,pollination_vector_possible ,4,0,0,X,0,0,X,0,0,0,0,0,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0
beetle,Liparetrus,Liparetrus lepidopygus,pollination_vector_possible ,1,0,0,X,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0
fly,Calliphoridae,Calliphora sp.,pollination_vector_possible ,1,0,0,X,0,0,X,0,0,0,X,X,X,0,0,0,0,0,0,X,0,X,0,0,X,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0
fly,Culicidae,Culicidae sp.,pollination_vector_possible ,4,0,0,X,0,X,X,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,X,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,0,X,X,0,0,0,0,0,0,0,0,0,0
fly,Syrphidae,Melangyna collatus complex,pollination_vector_possible ,11,0,X,X,X,X,X,X,X,0,0,0,X,X,X,0,X,0,0,0,X,0,0,0,X,0,0,0,X,0,0,0,0,0,0,X,0,0,0,0,0,0,X,X,0,X,X,0,0,0,0,0,X,0,0,0,0
fly,Muscidae,Muscidae sp.,pollination_vector_possible ,2,0,0,X,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,X,0,0,X,0,0,0,0,0,0,0,X,0,0
fly,Calliphoridae,Rhiniiae sp.,pollination_vector_possible ,5,X,0,X,0,0,X,0,0,0,0,0,X,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,X,X,0,0,0,0,0,X,0,X,X,0,0,0,0,0,X,0,0,0,0
wasp,Vespidae,Vespidae sp.,pollination_vector_possible ,1,0,0,0,0,0,X,0,0,0,0,0,X,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfly,Nymphalidae,Junonia villida,Flower_visitor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
