genus,spp,binomial,longevity,growth form ,min height (m),max height (m),leaf length min (mm) ,leaf length max (mm) ,leaf width min (mm) ,leaf width max (mm) ,seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end
Micromyrtus,arenicola,Micromyrtus arenicola,p,s,0.7,1.4,2.2,4,0.8,1.4,1.7,1.7,0.75,0.75,4,9
Micromyrtus,collina,Micromyrtus collina,p,s,0.3,1.5,5,8.5,0.7,1,1.6,2,0.7,0.7,7,9
Micromyrtus,greeniana,Micromyrtus greeniana,p,s,0.4,1.7,5,6,0.5,0.8,1.8,1.8,0.6,0.6,8,10
Micromyrtus,mucronulata,Micromyrtus mucronulata,p,s,0.5,1.5,3.5,5.5,0.5,0.8,1.5,2.3,0.6,0.8,4,11
Micromyrtus,prochytes,Micromyrtus prochytes,p,s,0.5,2,2.5,3.5,0.6,1,2,2.5,0.8,0.9,5,9
Micromyrtus,racemosa,Micromyrtus racemosa,p,s,0.7,3,1.8,4,0.5,0.8,1.4,1.8,0.6,0.8,2,11
Micromyrtus,rubricalyx,Micromyrtus rubricalyx,p,s,1,1.8,3,6,1.1,1.3,1.6,1.6,0.6,0.6,6,9
Micromyrtus,trudgenii,Micromyrtus trudgenii,p,s,,1,4,5.5,0.8,1.2,1.7,1.7,0.65,0.65,6,10
