Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O,photosynthetic_rate_per_area_saturated,WUE_intrinsic,STRL_m_per_g,Seed location,context
1,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,12.13,0.101,0.28,15.03,26.86,2.02,13.38,23.55,16,1.1,1.56686626746507,0.09792914171656687,12.74,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
2,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,9.73,0.086,0.24,16.34,24.97,2.21,15.48,115.35,54,1.13,7.059363525091799,0.13072895416836663,9.38,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
3,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,12.13,0.12,0.21,15.04,25.1,1.49,14.06,169.4,69,1.17,11.263297872340427,0.163236201048412,12.37,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
4,Acacia aulacocarpa,1,Nh,G0,Australia,Humid,Evergreen,10.12,0.08,0.3,18.45,27.42,1.83,12.93,165.17,71,1.13,8.95230352303523,0.1260887820145807,4.48,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
6,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,5.31,0.206,0.12,11.68,10.18,0.75,6.66,82.79,64,1.11,7.08818493150685,0.11075288955479454,9.08,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
7,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,11.64,0.199,0.21,10.96,15.72,0.99,8.75,33.87,45,1.07,3.090328467153284,0.06867396593673965,7.68,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
8,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,5.54,0.08,0.18,15.48,19.24,1.29,11.88,56.72,34,1.11,3.6640826873385013,0.1077671378628971,15.5,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
10,Acacia aulacocarpa,1,Nl,G0,Australia,Humid,Evergreen,9.88,0.198,0.14,13.97,11.84,1.86,9.67,51.3,116,1.03,3.6721546170365063,0.03165650531928023,12.35,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
11,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,73.02,0.41,0.34,9.44,9.24,1.34,5.94,43.49,58,1.08,4.606991525423729,0.07943088836937465,4.61,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
12,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,44.38,0.159,0.3,10.68,13.11,2.83,7.28,70.42,255,1.03,6.593632958801498,0.025857384152162738,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
13,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,47.07,0.192,0.37,10.93,12.86,2.21,5.07,81.89,163,1.05,7.492223238792315,0.045964559747192116,5.48,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
14,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,32.94,0.092,0.35,13.56,17.63,3.43,10.8,NA,NA,NA,NA,NA,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
15,Acacia aulacocarpa,2,Nh,G0,Australia,Humid,Evergreen,43.41,0.131,0.47,12.93,14.03,1.87,7.11,91.49,273,1.03,7.075792730085073,0.02591865468895631,14.88,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
16,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,8.41,0.12,0.19,13.92,15.1,0.96,10.3,91.45,180,1.04,6.5696839080459775,0.03649824393358876,16.39,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
17,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,7.24,0.211,0.18,12.28,17.18,1.4,11.62,36.61,77,1.04,2.981270358306189,0.03871779686111934,13.32,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
18,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,23.17,0.161,0.3,8.69,7.84,0.89,4.26,61.8,197,1.04,7.11162255466053,0.03609960687644939,3.84,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
19,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,10.16,0.109,0.17,13.41,17.26,1.16,6.62,149.86,239,1.05,11.175242356450411,0.04675833621945779,12.11,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
20,Acacia aulacocarpa,2,Nl,G0,Australia,Humid,Evergreen,13.07,0.159,0.29,11.47,11.33,1.02,5.57,75.56,81,1.08,6.587619877942458,0.08132864046842542,18.29,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
21,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.66,0.013,NA,23.47,23.61,1.86,16.86,139.92,50.63,1.12,5.9616531742650185,0.11774942078342916,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
22,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,2.02,0.057,NA,14.79,25.93,1.7,8.91,114.87,41,1.19,7.766734279918865,0.18943254341265522,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
23,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.61,0.055,NA,25.42,28.85,2.8,20.28,1,20.28,1,0.03933910306845004,0.0019397979816789957,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
24,Acacia aulacocarpa,1,Nh,G1,Australia,Humid,Evergreen,0.89,0.051,NA,23.56,27.11,2.02,15.25,6.13,17.35,1.01,0.2601867572156197,0.014996354882744648,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
25,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,1.25,0.052,NA,22.37,22.04,1.08,13.07,155.35,120,1.06,6.944568618685739,0.0578714051557145,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
26,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,0.61,0.045,NA,27,22.63,1.21,16.79,NA,NA,NA,NA,NA,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
29,Acacia aulacocarpa,1,Nl,G1,Australia,Humid,Evergreen,0.96,0.134,NA,18.15,24.61,1.41,14.11,40.94,19,1.12,2.25564738292011,0.11871828331158474,NA,Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
30,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,1.24,0.097,NA,19.26,22.56,1.51,8.73,37.6,45,1.04,1.9522326064382138,0.04338294680973809,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
31,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,1.25,0.069,NA,23.05,16.66,1.9,9.6,146.22,111,1.06,6.343600867678958,0.0571495573664771,NA,Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
