"","plot","lat","long","stage","dune","epoch","age","geology","date","don","nh4","no3","nh4incub","no3incub","totalPicp","totalPign","resinP","totalCa","totalK","totalMg","totalMn","co3est","moisture","orgC"
"1","B.HR.2",-30.29508764,115.1876421,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0013-06-20,8.07,3.258,0.609,-0.407,0,4.119,4.391,0.374,0.392,0.049,0.043,3.815,NA,3.861,0.605
"2","B.HR.5",-30.29423939,115.1849383,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0012-06-20,12.353,3.443,0.476,-0.162,0.025,1.112,3.523,0.383,0.117,0.022,0.016,0.759,NA,3.225,0.556
"3","B.L.10",-30.16000162,115.1205556,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0016-06-20,9.794,1.426,1.372,0.03,0.058,11.827,8.915,0.397,0.289,0.047,0.038,4.403,NA,4.44,0.729
"4","B.L.14",-30.18089997,115.1288,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0014-06-20,7.983,2.889,2.479,0.069,-0.016,2.248,1.412,0.468,0.178,0.019,0.015,1.374,NA,4.215,0.535
"5","B.L.4",-30.18674819,115.109051,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0014-06-20,7.538,1.469,1.843,0.051,0.029,4.525,6.123,0.591,0.212,0.037,0.03,3.047,NA,3.5,0.837
"6","B.L.5",-30.16432626,115.122627,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0014-06-20,9.459,3.23,1.18,0.028,0.046,1.681,4.824,0.537,0.17,0.017,0.02,1.126,NA,3.17,0.828
"7","B.L.6",-30.17140528,115.1090639,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0014-06-20,9.731,3.596,3.204,-0.069,0.003,7.676,7.53,0.484,0.46,0.041,0.049,4.907,NA,3.981,0.677
"8","B.L.9",-30.16818361,115.1057057,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0014-06-20,8.487,2.786,0.681,0.166,0.007,3.524,11.263,0.588,0.304,0.015,0.04,7.464,NA,4.258,0.902
"9","B.NL.1",-30.12958998,115.1074556,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0013-06-20,7.465,2.089,0.368,-0.124,0.079,6.378,5.677,0.523,0.244,0.027,0.03,1.893,NA,3.17,0.347
"10","B.NL.3",-30.12666,115.10631,"6","Bassendean","Early Pleistocene","2000000","Bassendean Sand",0016-06-20,8.657,2.993,0.937,-0.017,0.047,5.796,6.117,0.354,0.466,0.03,0.045,1.948,NA,1.865,0.291
"11","Q.M.18",-30.05979898,114.983038,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0012-06-20,15.314,7.786,5.838,-0.667,0.135,436.743,409.508,3.377,333.161,0.108,16.935,8.471,83.29,10.905,0.57
