"","plot","species","fresh","dry","count","area","sla","lma","ldmc","N_mature","P_mature","K_mature","C_mature","d15N","d13C","Ca_mature","Cu_mature","Fe_mature","Mg_mature","Mn_mature","Mo_mature","Na_mature","S_mature","Zn_mature","N_senesced","P_senesced","K_senesced","family","genus","growthform","strategy"
"11","B.L.6","Banksia menziesii (Firewood Banksia)",5.8922,2.9736,5,10919.94345,3.672297365,272.3091026,504.6671871,7400.116,211.253395238095,3894.49657619048,50.11542399,2.2056128,-27.06803672,4605.48728095238,1.99947714809524,89.9225773604762,3337.6490047619,196.884683815714,0.12369927952381,3438.56356190476,1196.90943333333,2.37944569761905,4033.3585,18.8276875,1431.2737,"Proteaceae","Banksia","tree","Cluster roots"
"12","B.L.6","Hibbertia hypericoides (Yellow Buttercups)",0.3318,0.1229,50,760.4647642,6.187670987,161.6116956,370.4038577,11216.194,221.275995238095,4394.05737619048,44.16306378,1.1259808,-28.83490297,17442.7490809524,1.98247387809524,108.545810820476,5230.7264047619,66.1417266957143,0,942.843461904762,3594.71723333333,3.22522901761905,11152.7446,130.3551875,613.449,"Dilleniaceae","Hibbertia","shrub","AM"
"13","B.L.6","Jacksonia floribunda (Holly Pea)",5.0709,2.1019,10,6655.870661,3.166597203,315.7964009,414.5023566,14523.62788,255.330295238095,8216.79637619048,48.5642231,0.744058565,-27.2700098,13307.9316809524,1.25650479809524,65.9662342404762,2230.7438047619,41.6072515657143,0,4134.57046190476,1298.83323333333,2.29027372761905,10965.4293,87.5988875,4335.2752,"Fabaceae","Jacksonia","shrub","AM, Ectomycorrhizal, Nitrogen fixer"
"14","B.L.6","Melaleuca leuropoma",0.0851,0.0401,20,219.5210616,5.474340688,182.6703994,471.2103408,10662.548,296.264295238095,3273.80427619048,49.1178972,1.5496416,-28.16738071,15642.5408809524,1.58203989809524,75.9044975204762,4536.7616047619,60.5735403857143,0.29539305952381,5801.37246190476,3719.99023333333,6.68578215761905,8562.4144,88.3100875,1070.6846,"Myrtaceae","Melaleuca","shrub","AM, Ectomycorrhizal"
"15","B.L.9","Banksia attenuata (Slender Banksia)",3.2185,1.806,10,7404.729828,4.100071887,243.8981627,561.1309616,7176.144,196.745995238095,2899.05427619048,48.59695911,-1.3114873,-27.18967373,4990.51938095238,2.27027351809524,76.1621910804762,1395.2201047619,446.835296875714,0.29891750952381,3960.43056190476,850.488733333333,2.38478200761905,3670.7147,12.4628875,764.4327,"Proteaceae","Banksia","tree","Cluster roots"
"16","B.L.9","Hibbertia hypericoides (Yellow Buttercups)",0.1878,0.0718,50,527.936715,7.352879039,136.0011493,382.3216187,11322.819,247.721895238095,6763.29587619048,46.66357491,1.5959344,-27.70967137,7842.69718095238,1.55634316809524,101.155561880476,2627.4626047619,79.5710545157143,0.17314189952381,2490.49666190476,3226.70653333333,3.15771825761905,8963.0485,88.2523875,917.0357,"Dilleniaceae","Hibbertia","shrub","AM"
"17","B.L.9","Jacksonia floribunda (Holly Pea)",3.4686,1.4983,10,4380.08373,2.923368971,342.0710864,431.9610217,15032.50155,345.623895238095,8018.42767619048,48.08558942,0.765239903,-26.84919232,10124.3405809524,1.85039310809524,73.8015568204762,2180.70010476191,58.9820475157143,0.679472799523809,6339.00066190476,1375.61973333333,3.52971337761905,10750.8976,28.5427875,3389.4522,"Fabaceae","Jacksonia","shrub","AM, Ectomycorrhizal, Nitrogen fixer"
"18","B.L.9","Mesomelaena pseudostygia",0.1254,0.0612,20,233.9960862,3.823465461,261.542836,488.0382775,8348.21,116.4853875,3050.3032,44.70460533,3.098672,-28.33643709,3830.1661,1.3541375,24.186,631.753175,248.76735,0.138728571428571,805.345625,1273.4127875,7.1304,5995.5258,40.8726875,167.6164,"Cyperaceae","Mesomelaena","sedge","AM"
"19","B.NL.1","Acacia pulchella",0.155,0.0731,10,605.5247203,8.283511906,120.7217436,471.6129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Acacia","shrub","AM, Ectomycorrhizal, Nitrogen fixer"
"20","B.NL.1","Acacia pulchella",0.2171,0.0914,10,651.8606503,7.131954599,140.2140165,421.0041456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabaceae","Acacia","shrub","AM, Ectomycorrhizal, Nitrogen fixer"
"21","B.NL.1","Alexgeorgea nitens",0.576,0.3227,45,732.599081,2.270217171,440.4864931,560.2430556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restionaceae","Alexgeorgea","rush","AM, Sand-binding, Dauciform"
"22","B.NL.1","Alexgeorgea nitens",0.7322,0.4022,60,929.9662939,2.312198642,432.488793,549.303469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restionaceae","Alexgeorgea","rush","AM, Sand-binding, Dauciform"
"23","B.NL.1","Amphipogon turbinatus",0.411,0.1976,10,823.0247543,4.165105032,240.0899839,480.7785888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poaceae","Amphipogon","grass","AM"
