genus,species,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm),flowering month begin,flowering month end,seed breadth min (mm),seed breadth max (mm)
Daviesia,triflora,Daviesia triflora,p,s,,0.6,leafless,leafless,leafless,leafless,4,4,2.25,2.25,5,9,1.25,1.25
Daviesia,hakeoides,Daviesia hakeoides,p,s,,,1,1,1,1,,,,,,,,
Daviesia,podophylla,Daviesia podophylla,p,s,,1,,,,,3,3,3,3,6,8,3,3
Daviesia,inflata,Daviesia inflata,p,s,,1,5,80,0.5,1.5,5,5,2.5,2.5,9,10,2.25,2.25
