species_name,photosynthetic pathway,flowering time,growth habit,longevity
Acrachne racemosa,NA,NA,tufted,annual
Agrostis australiensis,NA,NA,NA,NA
Agrostis bettyae,NA,NA,NA,NA
Agrostis boormanii,NA,NA,tufted,NA
Agrostis diemenica,NA,NA,NA,perennial
Agrostis joyceae,NA,NA,tufted,NA
Agrostis muelleriana,NA,NA,tufted,NA
Agrostis parviflora,NA,NA,tufted,NA
Agrostis propinqua,NA,NA,tufted,NA
Agrostis thompsoniae,NA,NA,tufted,NA
Agrostis venusta,NA,NA,tufted,NA
Alexfloydia repens,NA,NA,stoloniferous,NA
Alloteropsis cimicina,?c4,NA,NA,NA
Alloteropsis semialata,?c4,NA,rhizomatous,perennial
Amphibromus archeri,C3,NA,tufted/rhizatomous,perennial
Amphibromus fluitans,C3,NA,tufted/rhizatomous,perennial
Amphibromus macrorhinus,C3,NA,tufted,perennial
Amphibromus neesii,C3,NA,tufted,NA
Amphibromus nervosus,C3,NA,tufted,NA
Amphibromus pithogastrus,C3,NA,tufted,NA
Amphibromus recurvatus,C3,summer,NA,NA
Amphibromus sinuatus,C3,NA,stoloniferous,NA
Amphibromus vickeryae,C3,NA,NA,perennial
Amphibromus whitei,C3,NA,NA,perennial
Amphipogon amphipogonoides,C3,NA,tufted,perennial
Amphipogon avenaceus,C3,NA,tufted,perennial
Amphipogon caricinus,C3,NA,tufted,perennial
Amphipogon caricinus var. caricinus,C3,NA,tufted,perennial
Amphipogon caricinus var. scaber,C3,NA,tufted,perennial
Amphipogon debilis,C3,NA,tufted,perennial
Amphipogon laguroides,C3,NA,tufted,perennial
Amphipogon laguroides subsp. havelii,C3,NA,tufted,perennial
Amphipogon laguroides subsp. laguroides,C3,NA,tufted,perennial
Amphipogon sericeus,C3,NA,tufted,perennial
Amphipogon setaceus,C3,NA,tufted,NA
Amphipogon strictus,C3,NA,tufted,perennial
Amphipogon turbinatus,C3,NA,tufted,perennial
Ancistrachne maidenii,C3,summer-autumn,tufted,perennial
Ancistrachne uncinulata,C3,NA,tufted,perennial
Anisopogon avenaceus,c3,NA,NA,NA
Apluda mutica,c4,NA,NA,perennial
Aristida acuta,c4,NA,tufted,NA
Aristida annua,c4,autumn,tufted,NA
Aristida anthoxanthoides,c4,NA,tufted,NA
Aristida arida,c4,NA,tufted,perennial
Aristida australis,c4,NA,tufted,perennial
Aristida behriana,c4,all year,tufted,NA
Aristida benthamii,c4,NA,tufted,perennial
Aristida benthamii var. benthamii,c4,NA,tufted,perennial
Aristida benthamii var. spinulifera,c4,NA,tufted,perennial
Aristida biglandulosa,c4,dec-oct,tufted,perennial
Aristida blakei,c4,all year,tufted,perennial
Aristida burbidgeae,c4,feb-aug,tufted,perennial
Aristida burraensis,c4,jul,tufted,perennial
Aristida calycina,c4,NA,tufted,perennial
Aristida calycina var. calycina,c4,NA,tufted,NA
Aristida calycina var. filifolia,c4,NA,tufted,NA
Aristida calycina var. praealta,c4,NA,tufted,NA
Aristida capillifolia,c4,all year,tufted,NA
Aristida caput-medusae,c4,NA,tufted,NA
Aristida contorta,c4,NA,tufted,NA
Aristida dominii,c4,may-aug,tufted,annual
Aristida echinata,c4,aug-jul,tufted,perennial
Aristida exserta,c4,jan-sep,tufted,perennial
Aristida forsteri,c4,NA,tufted,perennial
Aristida gracilipes,c4,all year,tufted,NA
Aristida granitica,c4,NA,tufted,perennial
Aristida helicophylla,c4,mar-oct,tufted,NA
Aristida holathera,c4,ephemeral,tufted,NA
Aristida holathera var. holathera,c4,NA,tufted,NA
Aristida holathera var. latifolia,c4,NA,tufted,perennial
Aristida hygrometrica,c4,jan-nov,tufted,perennial
Aristida inaequiglumis,c4,all year,tufted,perennial
Aristida ingrata,c4,all year,tufted,perennial
Aristida jerichoensis,c4,NA,tufted,NA
Aristida jerichoensis var. jerichoensis,c4,NA,tufted,NA
Aristida jerichoensis var. subspinulifera,c4,NA,tufted,NA
Aristida kimberleyensis,c4,jan-mar,tufted,perennial
Aristida latifolia,c4,NA,tufted,NA
Aristida latzii,c4,jan-oct,tufted,perennial
Aristida lazaridis,c4,feb-aug,tufted,perennial
Aristida leichhardtiana,c4,NA,tufted,NA
Aristida leptopoda,c4,NA,tufted,NA
Aristida lignosa,c4,NA,tufted,NA
Aristida longicollis,c4,NA,tufted,NA
Aristida macroclada,c4,NA,tufted,perennial
Aristida macroclada subsp. macroclada,c4,NA,tufted,perennial
Aristida macroclada subsp. queenslandica,c4,NA,tufted,perennial
Aristida muricata,c4,NA,tufted,NA
Aristida nitidula,c4,NA,tufted,NA
Aristida obscura,c4,NA,tufted,NA
Aristida perniciosa,c4,jan-jul,tufted,perennial
Aristida personata,c4,NA,tufted,NA
Aristida platychaeta,c4,NA,tufted,NA
Aristida polyclados,c4,jan-jul,tufted,perennial
Aristida pruinosa,c4,all year,tufted,perennial
Aristida psammophila,c4,NA,tufted,perennial
Aristida queenslandica,c4,NA,tufted,perennial
Aristida queenslandica var. dissimilis,c4,NA,tufted,perennial
Aristida queenslandica var. queenslandica,c4,NA,tufted,perennial
Aristida ramosa,c4,all year,tufted,perennial
Aristida schultzii,c4,jan-sep,tufted,perennial
Aristida sciuroides,c4,nov-sep,tufted,perennial
Aristida sp.,c4,NA,tufted,NA
Aristida sp. 2,c4,NA,tufted,NA
Aristida spuria,c4,NA,tufted,perennial
Aristida strigosa,c4,NA,tufted,perennial
Aristida superpendens,c4,jan-aug,tufted,perennial
Aristida thompsonii,c4,aug,tufted,perennial
Aristida utilis,c4,NA,tufted,perennial
Aristida utilis var. grandiflora,c4,NA,tufted,perennial
Aristida utilis var. utilis,c4,NA,tufted,perennial
Aristida vagans,c4,NA,rhizatomous/tufted,NA
Aristida vickeryae,c4,NA,tufted,NA
Aristida warburgii,c4,NA,tufted,NA
Arthragrostis aristispicula,c4,NA,tufted,annual
Arthragrostis brassiana,c4,NA,tufted,annual
Arthragrostis brassiana var. brassiana,c4,NA,tufted,annual
Arthragrostis brassiana var. minutiflora,c4,NA,tufted,annual
Arthragrostis clarksoniana,c4,NA,tufted,annual
Arthragrostis deschampsioides,c4,NA,tufted,annual
Arthraxon castratu,c4,jul,tufted,perennial
Arthraxon hispidus,c4,NA,tufted,annual
Arundinella grevillensis,c3,NA,rhizomatous,perennial
Arundinella montana,c3,NA,rhizomatous,perennial
Arundinella nepalensis,c3,NA,rhizomatous,perennial
Arundinella setosa,c3,jan-aug,rhizomatous,perennial
Astrebla elymoides,c4,NA,tufted,perennial
Astrebla lappacea,c4,NA,rhizatomous/tufted,perennial
Astrebla pectinata,c4,NA,rhizomatous,perennial
Astrebla squarrosa,c4,NA,tufted,perennial
Australopyrum pectinatum,C3,NA,tufted,perennial
Australopyrum retrofractum,C3,NA,tufted,NA
Australopyrum velutinum,NA,NA,tufted,NA
Austrochloris dichanthioides,NA,NA,NA,perennial
Austrofestuca littoralis,NA,NA,NA,perennial
Austrostipa aquarii,NA,NA,NA,perennial
Austrostipa aristiglumis,NA,NA,NA,perennial
Austrostipa bigeniculata,NA,NA,NA,perennial
Austrostipa blackii,NA,NA,tufted,perennial
Austrostipa blakei,NA,NA,NA,perennial
Austrostipa breviglumis,NA,NA,NA,perennial
Austrostipa campylachne,NA,NA,NA,perennial
Austrostipa centralis,NA,NA,NA,perennial
Austrostipa compressa,NA,NA,NA,perennial
Austrostipa crinita,NA,NA,NA,perennial
Austrostipa curticoma,NA,NA,NA,perennial
Austrostipa densiflora,NA,NA,tufted,perennial
Austrostipa dongicola,NA,NA,NA,perennial
Austrostipa drummondii,NA,NA,tufted,perennial
Austrostipa echinata,NA,NA,NA,perennial
Austrostipa elegantissima,NA,NA,tufted,perennial
Austrostipa eremophila,NA,NA,tufted,perennial
Austrostipa exilis,NA,NA,NA,perennial
Austrostipa feresetacea,NA,NA,NA,perennial
Austrostipa flavescens,NA,NA,tufted,perennial
Austrostipa geoffreyi,NA,NA,NA,perennial
