species_name,maximum height,maximum leaf length,maximum leaf width,maximum seed length,minimum height,minimum leaf length,minimum leaf width,minimum seed length
Acrachne racemosa,1,750,12,1.1,NA,130,3,1.1
Agrostis australiensis,NA,50,1.4,2,NA,10,0.4,2
Agrostis bettyae,NA,NA,4,2,NA,NA,1.5,2
Agrostis boormanii,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis diemenica,NA,120,2,NA,NA,120,2,NA
Agrostis joyceae,NA,NA,1.5,NA,NA,NA,1.5,NA
Agrostis muelleriana,NA,100,5,NA,NA,30,1,NA
Agrostis parviflora,NA,100,1,NA,NA,10,0.25,NA
Agrostis propinqua,NA,150,4,NA,NA,150,1.5,NA
Agrostis thompsoniae,NA,130,2.5,NA,NA,130,2.5,NA
Agrostis venusta,NA,80,1.5,NA,NA,20,0.3,NA
Alexfloydia repens,NA,NA,2,NA,NA,NA,1,NA
Alloteropsis cimicina,1.2,150,20,NA,NA,15,4,NA
Alloteropsis semialata,1.5,500,10,NA,NA,100,1,NA
Amphibromus archeri,NA,NA,NA,NA,NA,NA,NA,NA
Amphibromus fluitans,0.75,250,4.5,NA,NA,100,2,NA
Amphibromus macrorhinus,NA,300,4,NA,NA,150,1.5,NA
Amphibromus neesii,NA,370,4,NA,NA,150,2,NA
Amphibromus nervosus,NA,300,3.5,NA,NA,150,1.5,NA
Amphibromus pithogastrus,NA,200,5,NA,NA,100,1.5,NA
Amphibromus recurvatus,1.5,300,3.5,NA,NA,150,2,NA
Amphibromus sinuatus,0.7,170,4,NA,NA,80,1,NA
Amphibromus vickeryae,1,350,4,1.9,NA,150,3,1.9
Amphibromus whitei,0.35,150,1.8,1.3,NA,70,1,1.3
Amphipogon amphipogonoides,0.4,150,2,NA,NA,50,1,NA
Amphipogon avenaceus,0.35,150,2,NA,NA,50,1,NA
Amphipogon caricinus,NA,150,3,NA,NA,100,2,NA
Amphipogon caricinus var. caricinus,NA,NA,NA,NA,NA,NA,NA,NA
Amphipogon caricinus var. scaber,NA,NA,NA,NA,NA,NA,NA,NA
Amphipogon debilis,0.2,120,2,NA,NA,10,1,NA
Amphipogon laguroides,0.3,200,3,NA,NA,100,2,NA
Amphipogon laguroides subsp. havelii,NA,NA,NA,NA,NA,NA,NA,NA
Amphipogon laguroides subsp. laguroides,NA,NA,NA,NA,NA,NA,NA,NA
Amphipogon sericeus,NA,NA,NA,NA,NA,NA,NA,NA
Amphipogon setaceus,NA,200,1,NA,NA,150,1,NA
Amphipogon strictus,NA,150,2,NA,NA,10,2,NA
Amphipogon turbinatus,0.5,150,3,NA,NA,100,2,NA
Ancistrachne maidenii,1,40,8,NA,NA,10,1,NA
Ancistrachne uncinulata,2,170,8,NA,NA,10,1,NA
Anisopogon avenaceus,NA,NA,NA,NA,NA,NA,NA,NA
Apluda mutica,3,250,10,NA,NA,30,1.5,NA
Aristida acuta,NA,130,10,NA,NA,70,1,NA
Aristida annua,0.5,150,1.5,NA,NA,70,1,NA
Aristida anthoxanthoides,NA,90,1.5,NA,NA,40,1.5,NA
Aristida arida,0.8,200,2,NA,NA,100,1,NA
Aristida australis,0.65,100,3,NA,NA,50,2,NA
Aristida behriana,NA,250,3,NA,NA,100,2,NA
Aristida benthamii,NA,250,3,NA,NA,200,3,NA
Aristida benthamii var. benthamii,NA,NA,NA,NA,NA,NA,NA,NA
Aristida benthamii var. spinulifera,NA,NA,3,NA,NA,NA,1,NA
Aristida biglandulosa,1.2,300,5,NA,NA,150,3,5
Aristida blakei,NA,200,1.5,NA,NA,110,1,NA
Aristida burbidgeae,0.45,100,1,NA,NA,50,1,NA
Aristida burraensis,0.8,140,1,NA,NA,70,1,NA
Aristida calycina,NA,250,4,5,NA,200,1,3
Aristida calycina var. calycina,NA,NA,NA,NA,NA,NA,NA,NA
Aristida calycina var. filifolia,NA,NA,NA,NA,NA,NA,NA,NA
Aristida calycina var. praealta,NA,NA,NA,NA,NA,NA,NA,NA
Aristida capillifolia,0.8,100,1.1,NA,NA,30,0.5,4
Aristida caput-medusae,NA,40,1,6.1,NA,20,0.5,4
Aristida contorta,NA,100,1,4.5,NA,30,1,3
Aristida dominii,0.5,160,0.5,5.5,NA,80,0.5,4.5
Aristida echinata,NA,120,2.5,8,NA,60,1,5
Aristida exserta,0.75,80,0.5,6,NA,40,0.5,5
Aristida forsteri,0.5,140,1,2,NA,70,1,2
Aristida gracilipes,NA,80,1.5,8,NA,40,1.5,6
Aristida granitica,0.75,210,0.5,NA,NA,100,0.5,NA
Aristida helicophylla,NA,210,3,3,NA,100,2,3
Aristida holathera,NA,250,4,7.9,NA,100,2,4.8
Aristida holathera var. holathera,NA,NA,2,NA,NA,NA,1,NA
Aristida holathera var. latifolia,NA,NA,NA,NA,NA,NA,NA,NA
Aristida hygrometrica,0.85,270,1.2,NA,NA,110,0.8,6.6
Aristida inaequiglumis,1.5,300,4.5,NA,NA,150,2.3,3.1
Aristida ingrata,1.5,230,4,NA,NA,100,3,NA
Aristida jerichoensis,NA,180,2,4.5,NA,160,2,3.5
Aristida jerichoensis var. jerichoensis,NA,NA,1.5,NA,NA,NA,1,NA
Aristida jerichoensis var. subspinulifera,NA,NA,1.5,NA,NA,NA,1,NA
Aristida kimberleyensis,1,200,2,NA,NA,100,2,NA
Aristida latifolia,NA,700,4.5,NA,NA,350,2,NA
Aristida latzii,0.9,200,1,5.5,NA,100,1,5.5
Aristida lazaridis,1.4,200,3,8.5,NA,100,2,5
Aristida leichhardtiana,NA,120,1.5,6.5,NA,60,1,6.5
Aristida leptopoda,NA,300,3.5,10.5,NA,150,3.5,8
Aristida lignosa,NA,200,4,6,NA,150,2,6
Aristida longicollis,NA,180,3,6.5,NA,90,2,4
Aristida macroclada,1,300,2.3,8,NA,150,1,5
Aristida macroclada subsp. macroclada,NA,NA,NA,NA,NA,NA,NA,NA
Aristida macroclada subsp. queenslandica,NA,NA,NA,NA,NA,NA,NA,NA
Aristida muricata,NA,190,2,NA,NA,90,1,NA
Aristida nitidula,NA,170,1,6,NA,120,0.7,4.6
Aristida obscura,NA,250,3,10,NA,100,2,6
Aristida perniciosa,1.4,200,3,NA,NA,100,2,5.4
Aristida personata,NA,160,2.5,8.5,NA,80,1,6
Aristida platychaeta,NA,80,1.5,3,NA,40,1,3
Aristida polyclados,0.4,110,1.8,5.6,NA,80,0.5,3.7
Aristida pruinosa,1.5,400,4.5,NA,NA,200,2,5
Aristida psammophila,1.2,150,1.5,5.3,NA,70,1,4.8
Aristida queenslandica,1.1,400,2,NA,NA,200,2,3.6
Aristida queenslandica var. dissimilis,1.1,NA,NA,NA,NA,NA,NA,NA
Aristida queenslandica var. queenslandica,1.1,NA,2,NA,NA,NA,1,NA
Aristida ramosa,NA,120,2,NA,NA,60,0.6,5
Aristida schultzii,0.65,250,2,8,NA,100,1,7
Aristida sciuroides,2,210,2,9,NA,100,2,7.5
Aristida sp.,NA,NA,NA,NA,NA,NA,NA,NA
Aristida sp. 2,NA,NA,NA,NA,NA,NA,NA,NA
Aristida spuria,NA,120,0.5,8,NA,80,0.5,4.8
Aristida strigosa,NA,180,3,NA,NA,90,2,5
Aristida superpendens,1.2,270,1.2,NA,NA,150,0.6,5.6
Aristida thompsonii,0.4,250,0.7,4.5,NA,100,0.5,4.5
Aristida utilis,1.3,210,2,NA,NA,100,1.5,NA
Aristida utilis var. grandiflora,1.3,210,2,NA,NA,100,1.5,NA
Aristida utilis var. utilis,1.3,210,2,NA,NA,100,1.5,NA
Aristida vagans,NA,120,4,9,NA,50,3,6
Aristida vickeryae,NA,160,0.5,NA,NA,40,0.5,NA
Aristida warburgii,NA,160,1,7,NA,80,1,6
Arthragrostis aristispicula,0.6,100,5.5,NA,NA,20,1,NA
