Genus Authority,Photosynthetic types,Species sampled,References,Notes
Anthephora Schreb.,C4,"Anthephora acuminata (Rendle) Stapf & Hubbard, Anthephora pubescens Nees",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Anthochloa Nees & Meyen,C3,Anthochloa lepidula Nees & Meyen,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Anthoxanthum L.,C3,Anthoxanthum odoratum L,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Antinoria Parl.,C3,Antinoria agrostidea (DC.) Parl.,Watson & Dallwitz (1992 onwards),
Apera Adanson,C3,Apera spica-venti (L.) Beauv.,Watson & Dallwitz (1992 onwards),
Aphanelytrum Hack.,C3,Aphanelytrum procumbens,Watson & Dallwitz (1992 onwards),
Apluda L.,C4,Apluda mutica L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Apochiton C.E.Hubbard,C4,Apochiton burttii Hubbard,Watson & Dallwitz (1992 onwards),
Apoclada McClure,C3,Apoclada cannavierira (Alvarado de Silviera) McClure,Watson & Dallwitz (1992 onwards),
Apocopis Nees,C4,"Apocopis courtallumensis (Steud.) Henr., Apocopis mangalorensis (Hochst.) Henr.",Watson & Dallwitz (1992 onwards),
Arberella Sod. & Cald.,C3,Arberella dressleri Soderstrom & Calderon,Watson & Dallwitz (1992 onwards),
Arctagrostis Griseb.,C3,Arctagrostis latifolia (R. Br.) Griseb.,Watson & Dallwitz (1992 onwards),
Arctophila Anders.,C3,Arctophila fulva (Trin.) N.J. Anderss.,Watson & Dallwitz (1992 onwards),
Aristida L.,C4 & C3,"Aristida adscensionis L., Aristida aemulans Melderis, Aristida brainii Melderis, Aristida congesta Roem. & Schult., Aristida caput-medusae Domin, Aristida hordeacea Kunth, Aristida kenyensis Henr., Aristida longifolia Trin., Aristida meridionalis Henr., Aristida ramosa R. Br., Aristida rhiniochloa Hochst., Aristida scabrivalvis Hack., Aristida setacea Retz., Aristida sieberiana Trin. (=Aristida longiflora Schumach. & Thonn.), Aristida stipitata Hack., Aristida vestita Thunb., Aristida pungens Desf. (Stipagrostis)",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Cerros-Tlatilpa & Columbus (2009),A. longifolia: has non-Kranz leaf anatomy; Metcalfe (1960) lists broad surveys of the genus in the older literature.
Arrhenatherum Beauv.,C3,Arrhenatherum elatius (L.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Arthragrostis Lazarides,C4,"Arthragrostis aristispicula B.K. Simon, Arthragrostis deschampsioides (Domin) Lazarides",Watson & Dallwitz (1992 onwards),
Arthraxon Beauv.,C4,Arthraxon hispidus (Thunb.) Makino,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Arthropogon Nees,C4,Arthropogon villosus Nees,Filgueiras (1982); Watson & Dallwitz (1992 onwards),
Arthrostylidium Rupr.,C3,"Arthrostylidium farctum (Aubl.) Soderstr. & Lourteig (=Arthrostylidium capillifolium Griseb.), Arthrostylidium pubescens Rupr.",Metcalfe (1960),
Arundinaria Michaux,C3,"Arundinaria alpina K. Schuman, Arundinaria sp.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Arundinella Raddi,C4,"Arundinella metzii Hochst. ex Miq., Arundinella nepalensis Trin, Arundinella villosa Arn. ex Steud.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Arundo L.,C3,Arundo donax L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Arundoclaytonia Davidse & Ellis,C3,Arundoclaytonia dissimilis Davidse & Ellis,Davidse and Ellis (1987),
Asthenochloa Buse,C4,Asthenochloa tenera Buse,Watson & Dallwitz (1992 onwards),Watson and Dallwitz (1992 onwards) note that this is based on observations of a very poor specimen
