Genus Authority,Photosynthetic types,Species sampled,References,Notes
Danthonia DC.,C3,"Danthonia aff. alpicola Vickery (= Notodanthonia), Danthonia caespitosa Gaudich. (= Notodanthonia), Danthonia carphoides F. Muell. ex Benth. (= Notodanthonia), Danthonia dimidiata Vickery (= Rytidosperma), Danthonia linkii Kunth (= Notodanthonia), Danthonia nivicola Vickery (= Rytidosperma), Danthonia nudiflora Morris (= Rytidosperma), Danthonia procera Vickery (= Rytidosperma?), Danthonia ‘robusta’ (= Joycea pallida), Danthonia setacea R. Br. (= Notodanthonia), Danthonia alpina Vest  (=Danthonia calycina (Vill.) Rchb.), Danthonia compressa Austin, Danthonia decumbens (L.) DC., Danthonia spicata (L.) Roem. & Schult., Danthonia australis (Buchanan) Buchanan (Chionochloa), Danthonia bromoides Hook.f (Chionochloa), Danthonia buchananii Hook.f. (Rytidosperma), Danthonia crassiuscula Kirk (Chionochloa), Danthonia flavescens Hook.f. (Chionochloa), Danthonia oreophila Petrie (Chionochloa), Danthonia pilosa R.Br. (Rytidosperma), Danthonia planifolia Petrie (Chionochloa), Danthonia semiannularis (Labill.) R.Br. (Rytidosperma), Danthonia teretifolia Petrie (Chionochloa), Danthonia cunninghamii Hook.f. (Chionochloa), Danthonia pungens Cheeseman (Chionochloa), Danthonia rigida Raoul (Chionochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Danthonidium C.E.Hubbard,C3,Danthonidium gammiei C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Danthoniopsis Stapf,C4,"Danthoniopsis barbata (Nees) C.E. Hubb., Danthoniopsis dinteri (Pilg.) C.E.Hubb., Danthoniopsis occidentalis Jac.-Fél., Danthoniopsis pruinosa C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos of D. dinteri and D. pruinosa provided by R.P. Ellis,
Dasypyrum Dur.,C3,Dasypyrum villosum (Coss. & Dur.) Dur.,Watson & Dallwitz (1992 onwards),
Davidsea Soderstrom & Ellis,C3, -,BEP clade,
Decaryella A.Camus,C4,Decaryella madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),
Decaryochloa A. Camus,C3,Decaryochloa diadelpha A. Camus,Watson & Dallwitz (1992 onwards),
Dendrocalamus Nees,C3,"Dendrocalamus gigantus Munro, Dendrocalamus brandisii (Munro) Kurz",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Deschampsia Beauv.,C3,"Deschampsia caespitosa (L.) Beauv., Deschampsia flexuosa (L.) Trin.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Desmazeria Dumort.,C3,Desmazeria marina (L.) Druce (Catapodium),Watson & Dallwitz (1992 onwards),
Desmostachya Stapf,C4,Desmostachya bipinnata (L.) Stapf,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Diandrolyra Stapf,C3,-,BEP clade,
Diarrhena Beauv.,C3,"Diarrhena americana P. Beauv., Diarrhena japonica Franch. & Savat., Diarrhena mandshurica Maxim. (= Neomolinia)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Dichaetaria Steud.,C3,Dichaetaria wightii Nees,Watson & Dallwitz (1992 onwards),
Dichanthium Willemet,C4,"Dichanthium annulatum (Forssk.) Stapf, Dichanthium aristatum (Poir.) C.E.Hubb., Dichanthium sericeum (R.Br.) A.Camus, Dichanthium polyptychum (Steud.) A.Camus (Andropogon)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Dichelachne Endl.,C3,"Dichelachne micrantha (Cav.) Domin, Dichelachne crinita (L.f.) Hook.f.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
"Didymogonyx (L.G. Clark & Londoño) C.D. Tyrrell, L.G. Clark & Londoño",C3,,BEP clade,
Dielsiochloa Pilger,C3,Dielsiochloa floribunda (Pilg.) Pilg.,Watson & Dallwitz (1992 onwards),
Digitaria Hall.,C4,"Digitaria aequiglumis (Hackel ex Arechav.) Parodi, Digitaria ammophila (F. Muell.) Hughes, Digitaria bicornis (Lam.) Roem. & Schult., Digitaria breviglumis (Domin) Henr., Digitaria brownii (Roemer & Schultes) Hughes, Digitaria coenicola (F. Muell.) Hughes, Digitaria divaricatissima (R. Br.) Hughes, Digitaria milanjiana (Rendle) Stapf, Digitaria parviflora (R. Br.) Hughes, Digitaria sanguinalis (L.) Scop., Digitaria nuda Schumach.  (=Digitaria borbonica Desv.), Digitaria brazzae (Franch.) Stapf, Digitaria horizontalis Willd., Digitaria wallichiana (Steud.) Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Dignathia Stapf,C4,Dignathia villosa Hubbard,Watson & Dallwitz (1992 onwards),
Diheteropogon Stapf,C4,"Diheteropogon amplectens (Nees) Clayton, Diheteropogon filifolius (Nees) Clayton",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Dilophotriche Jacq.-Fel.,C4,"Dilophotriche pobeguinii Jac.-Fél., Dilophotriche occidentalis Jac.-Fél., Dilophotriche tristachyoides (Trin.) Jacq.-Fél.",Jacques-Félix (1962); Watson & Dallwitz (1992 onwards),
Dimeria R.Br.,C4,"Dimeria sp., Dimeria thwaitesii Hack.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Dinebra Jacq.,C4,Dinebra retroflexa (Vahl) Panzer,Watson & Dallwitz (1992 onwards),
Dinochloa Buse,C3,"Dinochloa pubiramea Gamble, Dinochloa macclellandii (Munro) Kurz",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Dissanthelium Trin.,C3,Dissanthelium minimum Pilger,Watson & Dallwitz (1992 onwards),
Dissochondrus Kuntze,C4,Dissochondrus biflorus Kuntze,Watson & Dallwitz (1992 onwards),
Distichlis Raf.,C4,Distichlis distichophylla (Labill.) Fassett,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Drake-Brockmania Stapf,C4,Drake-Brockmania somalensis Stapf,Watson & Dallwitz (1992 onwards),
Dregeochloa Conert,C3 (& C3-C4?),"Dregeochloa calviniensis Conert, Dregeochloa pumila (Nees) Conert",Watson & Dallwitz (1992 onwards),"Watson & Dallwitz (1992, onwards) note - C3 in D. pumila, but but the anatomy of D. calvinensis is equivocal: most mesophyll cells are no more than one cell distant, and the only seeming exceptions are at the tops of the adaxial ribs. A candidate for intermediacy. Photos of D. pumila provided by R.P. Ellis"
Drepanostachyum Keng f.,C3, -,BEP clade,
Dryopoa Vickery,C3,Dryopoa dives Vickery,Watson & Dallwitz (1992 onwards),
Dupoa Cayouette & Derbyshire,C3, -,BEP clade,
Dupontia R.Br.,C3,Dupontia pilosantha Rupr.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Duthiea Hack.,C3,Duthiea bromoides Hack.,Watson & Dallwitz (1992 onwards),
Eccoptocarpha Launert,C4,Eccoptocarpha obconiciventris Launert,Watson & Dallwitz (1992 onwards),
Echinaria Desf.,C3,Echinaria capitata (L.) Desf.,Watson & Dallwitz (1992 onwards),
Echinochloa Beauv.,C4,"Echinochloa colona (L.) Link, Echinochloa crus-galli (L.) Beauv.",Watson & Dallwitz (1992 onwards),
Echinolaena Desv.,C3,"Echinolaena gracilis Swallen, Echinolaena inflexa Chase",Watson & Dallwitz (1992 onwards),
Echinopogon Beauv.,C3,"Echinopogon cheelii Hubbard, Echinopogon ovatus (Forst.) Beauv.",Watson & Dallwitz (1992 onwards),
Ectrosia R.Br.,C4,"Ectrosia agrostoides Benth., Ectrosia eragrostoides Domin (= E. lasioclada (Merr.) S.T. Blake), Ectrosia leporina R. Br.",Watson & Dallwitz (1992 onwards),
Ehrharta Thunb.,C3,"Ehrharta barbinodis Nees ex Trin., Ehrharta brevifolia Schrad. var brevifolia, Ehrharta capensis Thunb., Ehrharta calycina J.C. Sm., Ehrharta dura Nees ex Trin., Ehrharta delicatula (Nees) Stapf, Ehrharta erecta Lam. subsp. natalensis, Ehrharta longiflora Smith, Ehrharta melicoides Thunb., Ehrharta pusilla Nees ex Trin., Ehrharta ramosa Thunb., Ehrharta rehmannii Stapf, Ehrharta rehmanii Stapf var. filiformis, Ehrharta rupestris Nees ex Trin., Ehrharta setacea Nees ex Trin., Ehrharta subspicata Stapf, Ehrharta uniflora Burch. ex Stapf, Ehrharta triandra Nees ex Trin., Ehrharta villosa Schult.","Ellis (1987a, 1987b); Watson & Dallwitz (1992 onwards)",
Ekmanochloa Hitchc.,C3,Ekmanochloa aristata Ekman,Watson & Dallwitz (1992 onwards); Zuloaga et al. (1993),
Eleusine Gaertn.,C4,"Eleusine indica (L.) Gaertn., Eleusine coracana (L.) Gaertn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Elionurus Kunth ex Willd.,C4,"Elionurus citreus (R. Br.) Munro ex Benth., Elionurus muticus (Spreng.) Kuntze  (=Elionurus chevalieri Stapf), Elionurus hirtifolius Hack.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Ellisochloa P.M. Peterson & N.P. Barker,C3,"Ellisochloa papposa (Nees) P.M. Peterson & N.P. Barker, Ellisochloa rangei (Pilg.) P.M. Peterson & N.P. Barker",Peterson et al. (2011),
Elymandra Stapf,C4,"Elymandra androphila (Stapf) Stapf, Elymandra archaelymandra (Jac.-Fél.) W.D. Clayton, Elymandra grallata (Stapf) Clayton, Elymandra subulata Jac.-Fél.",Watson & Dallwitz (1992 onwards),"Most of the material seen poor (Watson & Dallwitz, 1992 onwards)"
Elymus L.,C3,"Elymus scabrus (R.Br.) Á.Löve (=Agropyron scabrum (R.Br.) P.Beauv.), Elymus caninus (L.) L. (=Agropyron caninum (L.) P.Beauv.), Elymus elongatus (Host) Runemark (=Agropyron elongatum (Host) P.Beauv.), Elymus × littoreus (Schumach.) Lambinon (=Agropyron × laxum (Fr.) Tutin), Elymus hispidus (Opiz) Melderis (=Agropyron intermedium (Host) P. Beauv.), Elymus canadensis L., Elymus interruptus Buckley, Elymus virginicus L., Elymus arenarius L. (Leymus), Elymus caput-medusae L. (Taeniatherum), Elymus condensatus J.Presl (Leymus)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Elytrophorus Beauv.,C3,Elytrophorus spicatus (Willd.) A. Camus,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Elytrostachys McClure,C3,Elytrostachys clavigera McClure,Watson & Dallwitz (1992 onwards),
Enneapogon Beauv.,C4,"Enneapogon avenaceus (Lindl.) C.E. Hubb., Enneapogon brachystachyus (Jaub. & Spach.) Stapf, Enneapogon caerulescens (Gaudich.) N.T. Burbidge, Enneapogon cenchroides (Roem. & Schult.) C.E. Hubb., Enneapogon clelandii N.T. Burbidge, Enneapogon cylindricus N.T. Burbidge, Enneapogon desvauxii Beauv., Enneapogon elegans (Nees) Stapf, Enneapogon glaber N.T. Burbidge, Enneapogon gracilis (R. Br.) Beauv., Enneapogon nigricans (R. Br.) Beauv., Enneapogon oblongus N.T. Burbidge, Enneapogon planifolius N.T. Burbidge, Enneapogon polyphyllus (Domin) N.T. Burbidge, Enneapogon purpurascens (R. Br.) N.T. Burbidge, Enneapogon scoparius Stapf, Enneapogon scaber Lehm",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Enteropogon Nees,C4,Enteropogon acicularis (Lindl.) Lazarides,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Entolasia Stapf,C3,"Entolasia imbricata Stapf, Entolasia marginata (R. Br.) Hughes, Entolasia olivacea Stapf, Entolasia stricta (R. Br.) Hughes, Entolasia whiteana C.E. Hubb.",Watson & Dallwitz (1992 onwards),
Entoplocamia Stapf,C4,Entoplocamia aristulata Stapf,Watson & Dallwitz (1992 onwards); Photos of E. africana provided by R.P. Ellis,
Eragrostiella Bor,C4,Eragrostiella bifaria (Vahl) Bor,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Eragrostis Wolf,"C4 (and C3, but see main text for explanation)","Eragrostis advena (Stapf) S.M.Phillips, Eragrostis amabilis (L.) Wight & Arn. (=Eragrostis tenella (L.) Roem. & Schult.), Eragrostis aspera (Jacq.) Nees, Eragrostis australasica (Steud.) C.E.Hubb., Eragrostis barrelieri Daveau, Eragrostis basedowii Jedwabn., Eragrostis benthamii Mattei, Eragrostis cassa Lazarides, Eragrostis chloromelas Steudel, Eragrostis cilianensis (All.) Janch., Eragrostis concinna (R.Br.) Steud., Eragrostis confertiflora J.M. Black (= Diandrochloa), Eragrostis cumingii Steud., Eragrostis curvula (Schrad.) Nees, Eragrostis desertorum Domin, Eragrostis dielsii Pilg., Eragrostis ecarinata Lazarides, Eragrostis elongata (Willd.) Jacq., Eragrostis eriopoda Benth., Eragrostis falcata (Gaudich.) Steud., Eragrostis fallax Lazarides, Eragrostis filicaulis Lazarides, Eragrostis frankii Steud., Eragrostis gangetica (Roxb.) Steud. (inc. Eragrostis brownii (Kunth) Nees ex Steud.), Eragrostis hirticaulis Lazarides, Eragrostis infecunda J.M.Black, Eragrostis interrupta P.Beauv., Eragrostis japonica (Thunb.) Trin. (=Eragrostis diplachnoides Steud.), Eragrostis kennedyae F. Turner, Eragrostis lacunaria F.Muell., Eragrostis lanicaulis Lazarides, Eragrostis laniflora Benth., Eragrostis lanipes C.E.Hubb., Eragrostis leptocarpa Benth., Eragrostis leptostachya (R.Br.) Steud. (inc. Eragrostis molybdea Vickery), Eragrostis longipedicellata B.K.Simon, Eragrostis megalosperma F.Muell. ex Benth., Eragrostis mexicana (Hornem.) Link (=Eragrostis neomexicana Vasey), Eragrostis microcarpa Vickery, Eragrostis minor Host, Eragrostis nindensis Fical. & Hiern, Eragrostis olida Lazarides, Eragrostis pallens Hack., Eragrostis paniciformis (R.Br.) Steud., Eragrostis parviflora (R. Br.) Trin., Eragrostis patula (Kunth) Steud. (=Eragrostis tenuifolia (A.Rich.) Hochst. ex Steud.), Eragrostis pergracilis S.T.Blake, Eragrostis petraea Lazarides, Eragrostis pilosa (L.) P.Beauv., Eragrostis potamophila Lazarides, Eragrostis pubescens (R.Br.) Steud., Eragrostis reptans (Michx.) Nees, Eragrostis rigidiuscula Domin, Eragrostis schultzii Benth., Eragrostis secundiflora J.Presl (=Eragrostis oxylepis (Torr.) Torr.), Eragrostis setifolia Nees, Eragrostis sororia Domin, Eragrostis spartinoides Steud., Eragrostis speciosa (Roem. & Schult.) Steud., Eragrostis stagnalis Lazarides, Eragrostis stenostachya (R.Br.) Steud., Eragrostis sterilis Domin, Eragrostis subtilis Lazarides, Eragrostis superba Peyr., Eragrostis tef (Zucc.) Trotter, Eragrostis tenellula (Kunth) Steud., Eragrostis trachycarpa (Benth.) Domin, Eragrostis triquetra Lazarides, Eragrostis unioloides (Retz.) Nees ex Steud., Eragrostis xerophila Domin, Eragrostis walteri Pilg.",Metcalfe (1960); Prendergast et al. (1986); Van den Borre & Watson (1994); Schulze et al. (1996); Watson & Dallwitz (1992 onwards); Ingram et al. (2011),"The only C3 member of this genus is E. walteri Pilg. However, phylogenetics show that this species is a member of the wholly C3 Arundinoideae lineage, and is misplaced as Eragrostis (see Ingram et al., 2011). Its taxonomy is under revision."
Eremitis Doell,C3,-,BEP clade,
Eremocaulon Sod. & Lond.,C3, -,BEP clade,
Eremochloa Buse,C4,Eremochloa bimaculata Hackel,Watson & Dallwitz (1992 onwards),
Eremopoa Roshev.,C3,Eremopoa altaica (Trin.) Roshev.,Watson & Dallwitz (1992 onwards),
Eremopyrum Jaub. & Spach,C3,"Eremopyrum bonaepartis (Spreng.) Nevski, Eremopyrum distans (C. Koch) Nevski, Eremopyrum orientale (L.) Jaub. & Spach, Eremopyrum triticeum (Gaertn.) Nevski",Watson & Dallwitz (1992 onwards),
Eriachne R.Br.,C4,"Eriachne anomala Hartley, Eriachne aristidea F. Muell., Eriachne glabrata (Maiden) Hartley, Eriachne mucronata R. Br., Eriachne nervosa Ewart & Cookson, Eriachne obtusa R. Br., Eriachne ovata Nees, Eriachne pulchella Domin, Eriachne pallescens R.Br.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Erianthecium Parodi,C3,Erianthecium bulbosum Parodi,Watson & Dallwitz (1992 onwards),
Eriochloa Kunth,C4,"Eriochloa australiensis Stapf ex Thell., Eriochloa crebra S.T. Blake, Eriochloa decumbens Bailey, Eriochloa procera (Retz.) C.E. Hubb., Eriochloa pseudoacrotricha (Stapf ex Thell.) Black",Watson & Dallwitz (1992 onwards),
Eriochrysis Beauv.,C4,Eriochrysis cayennensis Beauv.,Watson & Dallwitz (1992 onwards),
Erioneuron Nash,C4,"Erioneuron pilosum (Buckley) Nash, Erioneuron avenaceum var. grandiflorum (Vasey) Gould (=Tridens grandiflorus (Vasey) Wooton & Stand.)",Watson & Dallwitz (1992 onwards),
Euclasta Franch.,C4,Euclasta condylotricha (Steud.) Stapf,Metcalfe (1960),
Eulalia Kunth,C4,"Eulalia fulva (R. Br.) Kuntze, Eulalia aurea (Bory) Kunth  (=Eulalia geniculata Stapf), Eulalia phaeothrix (Hack.) Kuntze",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Eulaliopsis Honda,C4,Eulaliopsis binata (Retz.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Eustachys Desv.,C4,"Eustachys distichophylla (Lag.) Nees, Eustachys uliginosa (Hack.) Herter (=Chloris uliginosa Hack.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Exotheca Anderss.,C4,Exotheca abyssinica (A. Rich.) Anderss.,Watson & Dallwitz (1992 onwards),
Fargesia Franch.,C3, -,BEP clade,
Farrago D.Clayton,C4,Farrago racemosa Clayton,Van den Borre (1994),
Ferrocalamus Hsueh & Keng,C3, -,BEP clade,
Festuca L.,C3,"Festuca arundinacea Schreb., Festuca asperula Vickery, Festuca hookeriana F. Muell. ex Hook. f. (= Hookerochloa), Festuca leptopogon Stapf, Festuca littoralis Labill. (= Austrofestuca), Festuca rubra L., Festuca glauca Vill., Festuca heterophylla Lam., Festuca punctoria Sm",Metcalfe (1960); Aiken et al. (1985); Watson & Dallwitz (1992 onwards),
Filgueirasia Guala,C3, -,BEP clade,
Fimbribambusa Widjaja,C3, -,BEP clade,
Fingerhuthia Nees,C4,Fingerhuthia africana Lehm.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Froesiochloa G.A.Black,C3, -,BEP clade,
"Gaoligongshania Li, Hsueh & Xia",C3, -,BEP clade,
Garnotia Brongn.,C4,"Garnotia stricta Brongn., Garnotia courtallensis (Arn. & Nees) Thwaites",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Gastridium Beauv.,C3,Gastridium ventricosum (Gouan) Schinz & Thell.,Watson & Dallwitz (1992 onwards),
Gaudinia Beauv.,C3,"Gaudinia fragilis (L.) Beauv., Gaudinia maroccana Trab. ex Pitard",Watson & Dallwitz (1992 onwards),
Gelidocalamus Wen,C3, -,BEP clade,
Geochloa H. P. Linder & N. P. Barker,C3,"Geochloa decora (Nees) H. P. Linder & N. P. Barker, Geochloa lupulina (L. f.) H. P. Linder & N. P. Barker, Geochloa rufa (Nees) N.P.Barker & H.P.Linder",Ellis (1983); Linder et al. (2010),
Germainia Bal. & Poitr.,C4,Germainia truncatiglumis (Muell. ex Benth.) Chaianan,Watson & Dallwitz (1992 onwards),
"Gerritea Zuloaga, Morrone & Killeen",C3,"Gerritea pseudopetiolata Zuloaga, Morrone & Killeen",Zuloaga et al. (1993),
Gigantochloa Munro,C3, -,BEP clade,
Gilgiochloa Pilger,C4,Gilgiochloa indurata Pilger,Watson & Dallwitz (1992 onwards),
Glaziophyton Franch.,C3, -,BEP clade,
Glyceria R.Br.,C3,"Glyceria australis C.E. Hubb., Glyceria septentionalis Hitchc., Glyceria fluitans (L.) R.Br., Glyceria maxima (Hartm.) Holmb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Glyphochloa D.Clayton,C4,Glyphochloa forficulata (C.E.C.Fisch.) Clayton,Renvoize (1982),
Gouinia Benth.,C4,"Gouinia guatemalensis (Hack.) Swallen (= G. latifolia (Griseb.) Vasey var.guatemalensis (Hack.) Ortiz), Gouinia longiramea Swallen (= G. virgata (Presl.) Scribn.)",Watson & Dallwitz (1992 onwards),
Graphephorum Desv.,C3, -,BEP clade,
Greslania Balansa,C3,Greslania rivularis Balansa,Metcalfe (1960),
Griffithsochloa Pierce,C4,Griffithsochloa multifida (Griffiths) G.J. Pierce,Pierce (1978),
Guadua Kunth,C3, -,BEP clade,
Guaduella Franch.,C3,"Guaduella foliosa Pilg., Guaduella marantifolia Franch., Guaduella zenkeri Pilg., Guaduella oblonga Hutch. ex Clayton",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Gymnopogon Beauv.,C4,"Gymnopogon foliosus (Willd.) Nees, Gymnopogon ambiguus (Michx.) Britton, Stern & Poggenb, Gymnopogon delicatulus (C.B.Clarke) Bor, Gymnopogon spicatus (Spreng.) Kuntze",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Gynerium Humb. & Bonpl.,C3,Gynerium sagittatum (Aubl.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Habrochloa C.E.Hubbard,C3,Habrochloa bullocki C.E. Hubb.,Watson & Dallwitz (1992 onwards),Watson & Dallwitz (1992 onwards) note - almost certainly C3 (though the material seen was poor)
Hackelochloa Kuntze,C4,Hackelochloa granularis (L.) Kuntze,Watson & Dallwitz (1992 onwards),
Hainardia Greuter,C3,Hainardia cylindrica (Willd.) Greuter,Watson & Dallwitz (1992 onwards),
Hakonechloa Honda,C3,Hakonechloa macra (Monro) Makino,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Halopyrum Stapf,C4,Halopyrum mucronatum (L.) Stapf,Watson & Dallwitz (1992 onwards),
Harpachne A.Rich.,C4,Harpachne schimperi A. Rich.,Watson & Dallwitz (1992 onwards),
Harpochloa Kunth,C4,Harpochloa fallax (L.f.) Kuntze,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Helictotrichon Schult.,C3,"Helictotrichon pubescens (Huds.) Pilger, Helictotrichon marginatum (Lowe) Röser  (=Helictotrichon albinerve (Boiss.) Potztal), Helictotrichon planiculme (Schrad.) Pilg.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hemarthria R.Br.,C4,"Hemarthria uncinata R. Br., Hemarthria altissima (Poir.) Stapf & C.E.Hubb.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hemisorghum C.E.Hubbard,C4,Hemisorghum venustum (Thwaites) Clayton,Renvoize (1982),
Henrardia C.E.Hubbard,C3,Henrardia persica (Boiss.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Heterachne Benth.,C4,Heterachne abortiva (R. Br.) Druce,Watson & Dallwitz (1992 onwards),
Heteranthelium Jaub. & Spach,C3,Heteranthelium piliferum (Banks and Soland.) Hochst.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Heteranthoecia Stapf,C3,Heteranthoecia guineensis (Franch.) Robyns,Metcalfe (1960),
Heteropholis C.E.Hubbard,C4,Heteropholis nigrescens (Yhw.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Heteropogon Pers.,C4,"Heteropogon triticeus (R. Br.) Stapf, Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hickelia A. Camus,C3, -,BEP clade,
Hierochloe R.Br.,C3,"Hierochloë rariflora Hook. f., Hierochloë redolens (Vahl) Roemer & Schultes, Hierochloe odorata (L.) P.Beauv.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hilaria Kunth,C4,Hilaria jamesii Torr.,Watson & Dallwitz (1992 onwards),
Himalayacalamus Keng f.,C3, -,BEP clade,
Hitchcockella A.Camus,C3, - ,BEP clade,
Holcolemma Stapf & Hubbard,C3,Holcolemma canaliculatum (Steud.) Stapf & Hubbard,Watson & Dallwitz (1992 onwards),
Holcus L.,C3,Holcus lanatus L.,Watson & Dallwitz (1992 onwards),
Holttumochloa Wong,C3, -,BEP clade,
Homolepis Chase,C3 (& C3-C4?),"Homolepis aturensis Chase, Homolepis glutinosa (Swartz) Zuloaga & Soderstrom, Homolepis isocalycia (Meyer) Chase, Homolepis longispicula (Doell) Chase, Homolepis villaricensis (Mez) F.O. Zuloaga & T.R. Soderstrom",Watson & Dallwitz (1992 onwards); Christin et al. (2013); this study,"H. aturensis is characterised by large bundle sheath cells containing a high concentration of chloroplasts, a trait combination often associated with C3-C4 intermediates (Christin et al., 2013)"
Homopholis C.E.Hubbard,C3,Homopholis proluta (F. Muell.) R. Webster,Watson & Dallwitz (1992 onwards),
Homozeugos Stapf,C4,Homozeugos eylesii C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Hordelymus Harz,C3,Hordelymus europaeus (L.) Hartz,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hordeum L.,C3,"Hordeum glaucum Steud., Hordeum leporinum Link, Hordeum vulgare L., Hordeum spontaneum K.Koch (=Hordeum agriocrithon Åberg), Hordeum jubatum L., Hordeum murinum L., Hordeum bulbosum L.  (=Hordeum nodosum L.), Hordeum stenostachys Godr.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hubbardia Bor,C3,Hubbardia heptaneuron Bor. (Hallberg & McCann),Clifford (1967),
Hubbardochloa Auquier,C4,Hubbardochloa gracilis Auquier,Watson & Dallwitz (1992 onwards),
Humbertochloa A.Camus & Stapf,C3,Humbertochloa greenwayi C.E. Hubbard,Watson & Dallwitz (1992 onwards),
Hydrothauma C.E.Hubbard,C3,Hydrothauma manicatum C.E. Hubbard,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hygrochloa Lazarides,C4,"Hygrochloa aquatica Lazarides, Hygrochloa craveni Lazarides",Watson & Dallwitz (1992 onwards),
Hygroryza Nees,C3,Hygroryza aristata (Retz.) Nees,Watson & Dallwitz (1992 onwards),
Hylebates Chippindall,C3,Hylebates cordatus Chippindall,Watson & Dallwitz (1992 onwards),
Hymenachne Beauv.,C3,"Hymenachne amplexicaulis (Rudge) Nees, Hymenachne grumosa (Nees) Zuloaga, Hymenachne pernambucensis (Spreng.) Zuloaga",Brown (1977); Watson & Dallwitz (1992 onwards),
Hyparrhenia Fourn.,C4,"Hyparrhenia filipendula (Hochst.) Stapf, Hyparrhenia dissoluta (Nees ex Steud.) C.E.Hubb. (Hypseochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Hyperthelia D.Clayton,C4,Hyperthelia dissoluta (Steud.) Clayton =-,Watson & Dallwitz (1992 onwards),
Hypseochloa C.E.Hubbard,C3,Hypseochloa cameroonensis C.E. Hubb. (=Hyparrhenia dissoluta (Nees ex Steud.) C.E.Hubb.),Watson & Dallwitz (1992 onwards),
Ichnanthus Beauv.,C3,Ichnanthus vicinus (F.M. Bailey) Merr.,Watson & Dallwitz (1992 onwards),
Imperata Cyr.,C4,Imperata cylindrica (L.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Indocalamus Nakai,C3,Indocalamus debilis (Thwait.) Alston,Watson & Dallwitz (1992 onwards),
Indopoa Bor,C4,Indopoa pauperculus (Stapf) Bor,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Indosasa McClure,C3, -,BEP clade,
Isachne R.Br.,C3,"Isachne confusa Ohwi, Isachne globosa (Thunb.) Kuntze (=Isachne australis R.Br.), Isachne pulchella Roth. ex R. & S., Isachne kunthiana (Wight & Arn. ex Steud.) Miq., Isachne mauritiana Kunth, Isachne walkeri (Arn. ex Steud.) Wight & Arn. ex Thwaites",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Ischaemum L.,C4,"Ischaemum fragile R. Br., Ischaemum commutatum Hack., Ischaemum santapaui Bor",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
