species_name,Authority,Pathway,k=Kranz n=non-Kranz,d13C value,Other evidence,Reference
Panicum aciculare,Desv.,C3,n,-27,,Brown & Smith (1975); Zuloaga (1986)
Panicum acicularifolium,S.A. Renvoize & F. Zuloaga,C3,n,,,Aliscioni et al. (2003)
Panicum acrotrichum,Hook. f.,C3,,-27.7,,This study
Panicum acuminatum,Sw.,C3,n,-25.2,,Brown & Smith (1975); Zuloaga (1986)
Panicum adenophorum,K. Schum.,C3,n,-22.4,,Brown (1977)
Panicum adenorhachis,F. Zuloaga & O. Morrone,C3,n,,,Aliscioni et al. (2003)
Panicum aequinerve,Nees,C3,n,-26.7,,Brown (1977); Ellis (1977)
Panicum aequivaginatum,Swallen,C3,n,,,Zuloaga (1986)
Panicum afzelii,Sw.,C4,k,,,Brown (1977)
Panicum alatum,F.O. Zuloaga & O. Morrone,C4,k,,,Aliscioni et al. (2003)
Panicum aldabrense,Renvoize,C4,k,,,Hnatiuk (1980)
Panicum altum,Hitchcock & Chase,C4,k,,,Brown (1977)
Panicum amarum,Ell.,C4,k,-13.4,,Bender (1971); Brown (1977)
Panicum ambongense,A. Camus,unknown,,,,NA
Panicum ambositrense,A.Camus,C3,,-29.4,,This study
Panicum amoenum,Balansa,unknown,,,,NA
Panicum anabaptistum  ,Steud.,C4,,-13.2,,This study
Panicum anceps,Michx.,C4,k,-12.4,low compensation point,Downton (1971); Brown (1977)
Panicum andreanum,Mez,C3,n,,,Zuloaga (1986)
Panicum andringitrense,A.Camus,C3,n,,,Brown (1977)
Panicum animarum,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum ankarense,A. Camus,unknown,,,,NA
Panicum antidotale,Retz.,C4,k,-14.1,low compensation point,Downton (1971); Brown (1977)
Panicum aquarum,F.O. Zuloaga & O. Morrone,C4,k,,,Aliscioni et al. (2003)
Panicum aquaticum,Poir.,C4,k,-12.2,,Brown (1977)
Panicum arbusculum,Mez,C4,k,-13,,Brown (1977); Schulze et al. (1996)
Panicum arctum,Swallen,C3,n,,,Zuloaga (1986)
Panicum arcurameum,Stapf,C4,k,-12.8,,Brown (1977); Schulze at al. (1996)
Panicum aristellum,Doell,C3,n,,,Zuloaga (1986)
Panicum arundinariae,Fourn.,C3,n,,,Brown (1977)
Panicum assumptionis,Stapf,unknown,,,,NA
Panicum assurgens,S.A. Renvoize,C3,n,,,Zuloaga (1986)
Panicum atrosanguineum,Hochst. ex A.Rich.,C4,k,,,Brown (1977)
