species_name_edited,species_name_current,speices with edited genus,photosynthetic_pathway
Cynochloris macivorii,Cynochloris macivorii,,
Cynochloris reynoldensis,Cynochloris reynoldensis,,
Deyeuxia acuminata,Deyeuxia acuminata,,
Deyeuxia affinis,Deyeuxia affinis,,
Deyeuxia angustifolia,Deyeuxia angustifolia,,
Deyeuxia appressa,Deyeuxia appressa,,
Deyeuxia apsleyensis,Deyeuxia apsleyensis,,
Deyeuxia boormanii,Deyeuxia boormanii,,
Deyeuxia brachyathera,Deyeuxia brachyathera,,
Deyeuxia breviglumis,Deyeuxia breviglumis,,
Deyeuxia carinata,Deyeuxia carinata,,
Deyeuxia contracta,Deyeuxia contracta,,
Deyeuxia crassiuscula,Deyeuxia crassiuscula,,
Deyeuxia decipiens,Deyeuxia decipiens,,
Deyeuxia densa,Deyeuxia densa,,
Deyeuxia drummondii,Deyeuxia drummondii,,
Deyeuxia frigida,Deyeuxia frigida,,
Deyeuxia gunniana,Deyeuxia gunniana,,
Deyeuxia imbricata,Deyeuxia imbricata,,
Deyeuxia inaequalis,Deyeuxia inaequalis,,
Deyeuxia innominata,Deyeuxia innominata,,
Deyeuxia lawrencei,Deyeuxia lawrencei,,
Deyeuxia mckiei,Deyeuxia mckiei,,
Deyeuxia mesathera,Deyeuxia mesathera,,
Deyeuxia microseta,Deyeuxia microseta,,
Deyeuxia minor,Deyeuxia minor,,
Deyeuxia monticola,Deyeuxia monticola,,
Deyeuxia nudiflora,Deyeuxia nudiflora,,
Deyeuxia parviseta,Deyeuxia parviseta,,
Deyeuxia parviseta var. boormanii,Deyeuxia parviseta var. boormanii,,
Deyeuxia parviseta var. parviseta,Deyeuxia parviseta var. parviseta,,
Deyeuxia pungens,Deyeuxia pungens,,
Deyeuxia quadriseta,Deyeuxia quadriseta,,
Deyeuxia ramosa,Deyeuxia ramosa,,
Deyeuxia reflexa,Deyeuxia reflexa,,
Deyeuxia rodwayi,Deyeuxia rodwayi,,
Deyeuxia scaberula,Deyeuxia scaberula,,
Deyeuxia talariata,Deyeuxia talariata,,
Deyeuxia valida,Deyeuxia valida,,
Tetrarrhena acuminata,Tetrarrhena acuminata,,
Tetrarrhena distichophylla,Tetrarrhena distichophylla,,
Tetrarrhena juncea,Tetrarrhena juncea,,
Tetrarrhena laevis,Tetrarrhena laevis,,
Tetrarrhena oreophila,Tetrarrhena oreophila,,
Tetrarrhena oreophila var. minor,Tetrarrhena oreophila var. minor,,
Tetrarrhena oreophila var. oreophila,Tetrarrhena oreophila var. oreophila,,
Tetrarrhena turfosa,Tetrarrhena turfosa,,
Walwhalleya pungens,Walwhalleya pungens,,
Agropyron velutinum,Australopyrum velutinum,edited genus,C3
Stipa aquarii,Austrostipa aquarii,edited genus,C3
Stipa aristiglumis,Austrostipa aristiglumis,edited genus,C3
Stipa bigeniculata,Austrostipa bigeniculata,edited genus,C3
Stipa blackii,Austrostipa blackii,edited genus,C3
Stipa blakei,Austrostipa blakei,edited genus,C3
Stipa breviglumis,Austrostipa breviglumis,edited genus,C3
Stipa campylachne,Austrostipa campylachne,edited genus,C3
Stipa centralis,Austrostipa centralis,edited genus,C3
Stipa compressa,Austrostipa compressa,edited genus,C3
Stipa crinita,Austrostipa crinita,edited genus,C3
Stipa curticoma,Austrostipa curticoma,edited genus,C3
Stipa densiflora,Austrostipa densiflora,edited genus,C3
Stipa dongicola,Austrostipa dongicola,edited genus,C3
Stipa drummondii,Austrostipa drummondii,edited genus,C3
Stipa echinata,Austrostipa echinata,edited genus,C3
Stipa elegantissima,Austrostipa elegantissima,edited genus,C3
Stipa eremophila,Austrostipa eremophila,edited genus,C3
Stipa exilis,Austrostipa exilis,edited genus,C3
Stipa feresetacea,Austrostipa feresetacea,edited genus,C3
Stipa flavescens,Austrostipa flavescens,edited genus,C3
Stipa geoffreyi,Austrostipa geoffreyi,edited genus,C3
Stipa gibbosa,Austrostipa gibbosa,edited genus,C3
Stipa hemipogon,Austrostipa hemipogon,edited genus,C3
Stipa juncifolia,Austrostipa juncifolia,edited genus,C3
Stipa juncifolia subsp. Southern,Austrostipa juncifolia subsp. Southern,edited genus,C3
Stipa lanata,Austrostipa lanata,edited genus,C3
Stipa macalpinei,Austrostipa macalpinei,edited genus,C3
Stipa metatoris,Austrostipa metatoris,edited genus,C3
Stipa mollis,Austrostipa mollis,edited genus,C3
Stipa muelleri,Austrostipa muelleri,edited genus,C3
Stipa multispiculis,Austrostipa multispiculis,edited genus,C3
Stipa mundula,Austrostipa mundula,edited genus,C3
Stipa nitida,Austrostipa nitida,edited genus,C3
Stipa nivicola,Austrostipa nivicola,edited genus,C3
Stipa nodosa,Austrostipa nodosa,edited genus,C3
Stipa nullanulla,Austrostipa nullanulla,edited genus,C3
Stipa nullarborensis,Austrostipa nullarborensis,edited genus,C3
Stipa oligostachya,Austrostipa oligostachya,edited genus,C3
Stipa petraea,Austrostipa petraea,edited genus,C3
Stipa pilata,Austrostipa pilata,edited genus,C3
Stipa platychaeta,Austrostipa platychaeta,edited genus,C3
Stipa plumigera,Austrostipa plumigera,edited genus,C3
Stipa puberula,Austrostipa puberula,edited genus,C3
Stipa pubescens,Austrostipa pubescens,edited genus,C3
Stipa pubinodis,Austrostipa pubinodis,edited genus,C3
Stipa pycnostachya,Austrostipa pycnostachya,edited genus,C3
Stipa ramosissima,Austrostipa ramosissima,edited genus,C3
