Genus Authority,Photosynthetic types,Species sampled,References,Notes,genus_name
Aciachne Benth.,C3,Aciachne pulvinata Benth,Watson & Dallwitz (1992 onwards),NA,Aciachne
Acidosasa Chu & Chao,C3,-,BEP clade,NA,Acidosasa
Acostia Swallen,C4,-,This study,"A. gracilis: Kranz anatomy (Morrone, pers. comm.); C4 isotope value = -12.9",Acostia
Acrachne Chiov.,C4,"Acrachne racemosa Ohwi, Acrachne verticillata Wight & Arn.",Watson & Dallwitz (1992 onwards),NA,Acrachne
Acritochaete Pilger,C3,Acritochaete volkensii Pilger,Watson & Dallwitz (1992 onwards),NA,Acritochaete
Acroceras Stapf,C3,"Acroceras macrum Stapf, Acroceras munroanum (Balansa) Henrard, Acroceras tonkinense (Balansa) C.E.Hubb. ex Bor, Acroceras zizanioides (Humb., Bonpl. & Kunth) Dandy",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Acroceras
Actinocladum Soderstrom,C3,Actinocladum verticillatum (Nees),Watson & Dallwitz (1992 onwards),NA,Actinocladum
Aegilops L.,C3,"Aegilops crassa Boiss., Aegilops cylindrica Host, Aegilops triaristata Willd., Aegilops ventricosa Tausch",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Aegilops
Aegopogon Willd.,C4,Aegopogon cenchroides Willd.,Watson & Dallwitz (1992 onwards),NA,Aegopogon
Aeluropus Trin.,C4,Aeluropus littoralis (Gouan) Parl.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Aeluropus
Afrotrichloris Chiov.,C4,Afrotrichloris martinii Chiov.,Watson & Dallwitz (1992 onwards),NA,Afrotrichloris
Agenium Nees,C4,Agenium villosum Nees,Watson & Dallwitz (1992 onwards),NA,Agenium
Agnesia Zuolaga & Jud.,C3,-,BEP clade,NA,Agnesia
Agropogon Fourn.,C3,-,BEP clade,NA,Agropogon
Agropyron Gaertn.,C3,"Agropyron cristatum (L.) J. Gaertner, Agropyron × laxum (Fr.) Tutin (Elymus), Agropyron caninum (L.) P.Beauv (Elymus), Agropyron elongatum (Host) P.Beauv. (Elymus), Agropyron intermedium (Host) P. Beauv. (Elymus), Agropyron scabrum (R.Br.) P.Beauv. (Elymus)",Watson & Dallwitz (1992 onwards),NA,Agropyron
Agropyropsis A.Camus,C3,Agropyropsis lolium (Batt. & Trab.) A. Camus,Watson & Dallwitz (1992 onwards),NA,Agropyropsis
Agrostis L.,C3,"Agrostis aemula R. Br., Agrostis australiensis Mez, Agrostis avenacea Gmelin, Agrostis billardieri R.Br., Agrostis stolonifera L. (=Agrostis stolonifera var. palustris (Huds.) Farw.), Agrostis tenuis Sibth. (= A. capillaris L.), Agrostis semiverticillata (Forssk.) C.Chr. (Polypogon)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Agrostis
"Agrostopoa Davidse, Soreng & P. M. Peterson",C3,"Agrostopoa barclayae Davidse, Soreng & P. M. Peterson, Agrostopoa woodii Soreng, P. M. Peterson & Davidse",Davidse et al. (2009),NA,Agrostopoa
Aira L.,C3,"Aira cupiana Guss., Aira elegans Willd.",Watson & Dallwitz (1992 onwards),NA,Aira
Airopsis Desv.,C3,Airopsis tenella (Cav.) Ascherson & Graebner,Watson & Dallwitz (1992 onwards),NA,Airopsis
Alexfloydia Simon,C4,Alexfloydia repens B.K. Simon,Watson & Dallwitz (1992 onwards),NA,Alexfloydia
Alloeochaete C.E.Hubbard,C3,Alloeochaete geniculata (Rendle) C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Alloeochaete
Allolepis Sod. & Deck.,C4,Allolepis texana (Vasey) Soderstrom & Decker,Watson & Dallwitz (1992 onwards),NA,Allolepis
Alloteropsis Presl,C4 & C3,"Alloteropsis cimicina (L.) Stapf, Alloteropsis semialata (R.Br.) Hitchc.",Metcalfe (1960); Ellis (1974); Hattersley et al. (1977); Watson & Dallwitz (1992 onwards),NA,Alloteropsis
Alopecurus L.,C3,"Alopecurus geniculatus L., Alopecurus myosuroides Huds, Alopecurus pratensis L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Alopecurus
"Altoparadisium T.S. Filgueiras, G. Davidse, F.O. Zuloaga & O. Morrone",C4,"Altoparadisium chapadense T.S. Filgueiras, G. Davidse, F.O. Zuloaga & O. Morrone",Filgueras et al. (2001),NA,Altoparadisium
"Alvimia Cald., Sod. & Lond.",C3,Alvimia auriculata Soderstrom & Londoño,Watson & Dallwitz (1992 onwards),NA,Alvimia
Ammocalamagrostis Fourn.,C3,-,BEP clade,NA,Ammocalamagrostis
Ammochloa Boiss.,C3,"Ammochloa involucrata Murbeck, Ammochloa palestina Boiss.",Watson & Dallwitz (1992 onwards),NA,Ammochloa
Ammophila Host,C3,Ammophila arenaria (L.) Link,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Ammophila
"Ampelocalamus Chen, Wen & Sheng",C3,-,BEP clade,NA,Ampelocalamus
Ampelodesmos Link,C3,Ampelodesmos mauritanicus (Poir.) Dur. & Schinz.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Ampelodesmos
Amphicarpum Kunth,C3,Amphicarpum muhlenbergianum (Schult.) Hitchc.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Amphicarpum
Amphipogon R. Br.,C3,"Amphipogon amphipogonoides (Steud) Vickery, Amphipogon avenaceus R. Br., Amphipogon caricinus F. Muell., Amphipogon debilis R. Br., Amphipogon laguroides R. Br., Amphipogon strictus R. Br., Amphipogon turbinatus R. Br.",Watson & Dallwitz (1992 onwards),NA,Amphipogon
Anadelphia Hack.,C4,"Anadelphia bigeniculata W.D. Clayton, Anadelphia leptocoma Pilger, Anadelphia pumila Jac.-Fél., ‘Anadelphia scyphofera’ W.D. Clayton, Anadelphia trepidaria (Stapf) Stapf",Watson & Dallwitz (1992 onwards),NA,Anadelphia
Ancistrachne S.T.Blake,C3,Ancistrachne uncinulata (R. Br.) Blake,Watson & Dallwitz (1992 onwards),NA,Ancistrachne
Ancistragrostis S.T.Blake,C3,Ancistragrostis uncinioides S.T. Blake,Watson & Dallwitz (1992 onwards),NA,Ancistragrostis
