var_name,character,unit
TRAIT: area leaf UNITS: cm2,leaf area,cm2
TRAITS: SLA UNITS: cm2,specific leaf area,g/cm2
TRAIT: leaf N content UNITS: %,% leaf N,%
TRAIT: leaf P content UNITS: %,% leaf P,%
TRAITS: leaf N content UNITS: area,leaf N,
TRAITS: leaf P content UNITS: area,leaf P,
