Species,Site abbreviation,Latitude (S),Longitude (E),LAI,Seed mass (g),Light Treatment,Light Treatment (Categorical),Replicate,Total Seeds,Total Germinated,Proportion Germinated,Number Inviable,lat_lon_combined,park,description,Site
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,12/12,control,3,10,0,0,2, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,18/6,long,1,10,0,0,2, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,18/6,long,2,10,0,0,1, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,18/6,long,3,10,0,0,2, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,6/18,short,1,10,0,0,1, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,6/18,short,2,10,0,0,0, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Aciphylla glacialis,K.N.P.A,-36.4916,148.2852,1.566650987,0.003394,6/18,short,3,10,0,0,0, (site_at_-36.4916_S_and_148.2852_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4916_S_and_148.2852_E)
Acradenia euodiiformis,D.N.P,-30.3658,152.7304,4.433289051,0.004476,12/12,control,1,6,0,0,6, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Acradenia euodiiformis,D.N.P,-30.3658,152.7304,4.433289051,0.004476,18/6,long,1,6,0,0,6, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Acradenia euodiiformis,D.N.P,-30.3658,152.7304,4.433289051,0.004476,6/18,short,1,6,0,0,6, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Acronychia crassipetala,Q.L.D,-17.464,145.4787,5.233281136,0.008958,12/12,control,1,8,2,0.25,5, (site_at_-17.4640_S_and_145.4787_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4640_S_and_145.4787_E)
Acronychia crassipetala,Q.L.D,-17.464,145.4787,5.233281136,0.008958,18/6,long,1,8,1,0.125,6, (site_at_-17.4640_S_and_145.4787_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4640_S_and_145.4787_E)
Acronychia crassipetala,Q.L.D,-17.464,145.4787,5.233281136,0.008958,6/18,short,1,8,0,0,5, (site_at_-17.4640_S_and_145.4787_E),Queensland Rainforest,rainforest,Queensland Rainforest (site_at_-17.4640_S_and_145.4787_E)
Acronychia oblongifolia,D.N.P,-30.3658,152.7304,4.433289051,0.008243,12/12,control,1,13,6,0.461538462,7, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Acronychia oblongifolia,D.N.P,-30.3658,152.7304,4.433289051,0.008243,18/6,long,1,13,0,0,13, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Acronychia oblongifolia,D.N.P,-30.3658,152.7304,4.433289051,0.008243,6/18,short,1,13,4,0.307692308,9, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Acrothamnus hookeri,K.N.P,-36.344,148.5382,2.466641903,0.0087,12/12,control,1,47,1,0.021276596,46, (site_at_-36.3440_S_and_148.5382_E),Kosciuszko National Park,<=1500m Above Sea Level,Kosciuszko National Park (site_at_-36.3440_S_and_148.5382_E)
Acrothamnus hookeri,K.N.P,-36.344,148.5382,2.466641903,0.0087,18/6,long,1,47,0,0,47, (site_at_-36.3440_S_and_148.5382_E),Kosciuszko National Park,<=1500m Above Sea Level,Kosciuszko National Park (site_at_-36.3440_S_and_148.5382_E)
Acrothamnus hookeri,K.N.P,-36.344,148.5382,2.466641903,0.0087,6/18,short,1,47,0,0,47, (site_at_-36.3440_S_and_148.5382_E),Kosciuszko National Park,<=1500m Above Sea Level,Kosciuszko National Park (site_at_-36.3440_S_and_148.5382_E)
Alchornea ilicifolia,M.N.P,-29.8988,152.7406,2.266644001,0.011248,12/12,control,1,15,0,0,14, (site_at_-29.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-29.8988_S_and_152.7406_E)
Alchornea ilicifolia,M.N.P,-29.8988,152.7406,2.266644001,0.011248,12/12,control,2,15,0,0,12, (site_at_-29.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-29.8988_S_and_152.7406_E)
Alchornea ilicifolia,M.N.P,-29.8988,152.7406,2.266644001,0.011248,18/6,long,1,15,0,0,13, (site_at_-29.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-29.8988_S_and_152.7406_E)
Alchornea ilicifolia,M.N.P,-29.8988,152.7406,2.266644001,0.011248,18/6,long,2,15,0,0,14, (site_at_-29.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-29.8988_S_and_152.7406_E)
Alchornea ilicifolia,M.N.P,-29.8988,152.7406,2.266644001,0.011248,6/18,short,1,15,1,0.066666667,12, (site_at_-29.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-29.8988_S_and_152.7406_E)
