Species,Site abbreviation,Latitude (S),Longitude (E),LAI,Seed mass (g),Light Treatment,Light Treatment (Categorical),Replicate,Total Seeds,Total Germinated,Proportion Germinated,Number Inviable,lat_lon_combined,park,description,Site
Callistemon sieberi,K.N.P,-36.3513,148.5181,2.233310938,0.000036,6/18,short,1,33,25,0.757575758,0, (site_at_-36.3513_S_and_148.5181_E),Kosciuszko National Park,<=1500m Above Sea Level,Kosciuszko National Park (site_at_-36.3513_S_and_148.5181_E)
Callitris intratropica,Q.L.D.W,-17.3913,148.3758,1.366652966,0.007,12/12,control,1,22,0,0,22, (site_at_-17.3913_S_and_148.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_148.3758_E)
Callitris intratropica,Q.L.D.W,-17.3913,148.3758,1.366652966,0.007,18/6,long,1,22,0,0,22, (site_at_-17.3913_S_and_148.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_148.3758_E)
Callitris intratropica,Q.L.D.W,-17.3913,148.3758,1.366652966,0.007,6/18,short,1,22,0,0,22, (site_at_-17.3913_S_and_148.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_148.3758_E)
Carpha nivicola,K.N.P.A,-36.4377,148.3198,2.133311987,0.001506,12/12,control,1,25,0,0,23, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Carpha nivicola,K.N.P.A,-36.4377,148.3198,2.133311987,0.001506,18/6,long,1,25,1,0.04,24, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Carpha nivicola,K.N.P.A,-36.4377,148.3198,2.133311987,0.001506,6/18,short,1,25,0,0,24, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Celmisia longifolia,K.N.P.A,-36.4377,148.3198,2.133311987,0.003198,12/12,control,1,15,11,0.733333333,4, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Celmisia longifolia,K.N.P.A,-36.4377,148.3198,2.133311987,0.003198,12/12,control,2,15,13,0.866666667,1, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Celmisia longifolia,K.N.P.A,-36.4377,148.3198,2.133311987,0.003198,18/6,long,1,15,12,0.8,3, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Celmisia longifolia,K.N.P.A,-36.4377,148.3198,2.133311987,0.003198,18/6,long,2,15,13,0.866666667,2, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Celmisia longifolia,K.N.P.A,-36.4377,148.3198,2.133311987,0.003198,6/18,short,1,15,11,0.733333333,4, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Celmisia longifolia,K.N.P.A,-36.4377,148.3198,2.133311987,0.003198,6/18,short,2,15,14,0.933333333,1, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Chamaecrista concinna,Q.L.D.W,-17.3913,145.3758,1.366652966,0.002306,12/12,control,1,33,4,0.121212121,29, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Chamaecrista concinna,Q.L.D.W,-17.3913,145.3758,1.366652966,0.002306,18/6,long,1,33,18,0.545454545,15, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Chamaecrista concinna,Q.L.D.W,-17.3913,145.3758,1.366652966,0.002306,6/18,short,1,33,14,0.424242424,19, (site_at_-17.3913_S_and_145.3758_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3913_S_and_145.3758_E)
Chionochloa frigida ,K.N.P.A,-36.4378,148.3197,2.133311987,0.000981,12/12,control,1,16,7,0.4375,8, (site_at_-36.4378_S_and_148.3197_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4378_S_and_148.3197_E)
Chionochloa frigida ,K.N.P.A,-36.4378,148.3197,2.133311987,0.000981,18/6,long,1,16,4,0.25,11, (site_at_-36.4378_S_and_148.3197_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4378_S_and_148.3197_E)
Chionochloa frigida ,K.N.P.A,-36.4378,148.3197,2.133311987,0.000981,6/18,short,1,16,4,0.25,11, (site_at_-36.4378_S_and_148.3197_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4378_S_and_148.3197_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,12/12,control,1,8,0,0,1, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,12/12,control,2,8,0,0,0, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,12/12,control,3,8,0,0,0, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,18/6,long,1,8,0,0,1, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,18/6,long,2,8,0,0,1, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,18/6,long,3,8,0,0,1, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,6/18,short,1,8,0,0,0, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,6/18,short,2,8,0,0,1, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus antarctica,T.N.P,-28.5207,152.7479,5.499945164,0.06374,6/18,short,3,8,0,0,0, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,12/12,control,1,11,0,0,0, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,12/12,control,2,11,0,0,1, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,12/12,control,3,11,0,0,0, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,18/6,long,1,11,0,0,0, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,18/6,long,2,11,0,0,1, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,18/6,long,3,11,1,0.090909091,0, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,6/18,short,1,11,0,0,0, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,6/18,short,2,11,0,0,0, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.M,M.N.P,-28.8988,152.7406,4.999949932,0.097924,6/18,short,3,11,1,0.090909091,0, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cissus hypoglauca.D,D.N.P,-30.3658,152.7304,4.433289051,0.035226,12/12,control,1,20,2,0.1,1, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cissus hypoglauca.D,D.N.P,-30.3658,152.7304,4.433289051,0.035226,12/12,control,2,20,1,0.05,0, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cissus hypoglauca.D,D.N.P,-30.3658,152.7304,4.433289051,0.035226,18/6,long,1,20,1,0.05,2, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cissus hypoglauca.D,D.N.P,-30.3658,152.7304,4.433289051,0.035226,18/6,long,2,20,3,0.15,0, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cissus hypoglauca.D,D.N.P,-30.3658,152.7304,4.433289051,0.035226,6/18,short,1,20,8,0.4,1, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cissus hypoglauca.D,D.N.P,-30.3658,152.7304,4.433289051,0.035226,6/18,short,2,20,2,0.1,1, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,12/12,control,1,10,0,0,9, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,12/12,control,2,10,0,0,10, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,12/12,control,3,10,0,0,10, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,18/6,long,1,10,0,0,8, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,18/6,long,2,10,0,0,10, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,18/6,long,3,10,0,0,10, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,6/18,short,1,10,0,0,10, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,6/18,short,2,10,0,0,10, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cissus hypoglauca.B,B.R.N.P,-28.3827,153.0607,4.999949932,0.02284,6/18,short,3,10,0,0,10, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cordyline petiolaris ,T.N.P,-28.5207,152.7479,5.499945164,0.007778,12/12,control,1,16,0,0,13, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cordyline petiolaris ,T.N.P,-28.5207,152.7479,5.499945164,0.007778,12/12,control,2,16,0,0,15, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cordyline petiolaris ,T.N.P,-28.5207,152.7479,5.499945164,0.007778,18/6,long,1,16,0,0,13, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cordyline petiolaris ,T.N.P,-28.5207,152.7479,5.499945164,0.007778,18/6,long,2,16,0,0,12, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cordyline petiolaris ,T.N.P,-28.5207,152.7479,5.499945164,0.007778,6/18,short,1,16,0,0,13, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Cordyline petiolaris ,T.N.P,-28.5207,152.7479,5.499945164,0.007778,6/18,short,2,16,0,0,14, (site_at_-28.5207_S_and_152.7479_E),Toonumber National Park,NA,Toonumber National Park (site_at_-28.5207_S_and_152.7479_E)
Coronidium boormanii,B.Rock,-28.8527,152.0401,1.533318043,0.000532,12/12,control,1,15,14,0.933333333,1, (site_at_-28.8527_S_and_152.0401_E),Bald Rock National Park,NA,Bald Rock National Park (site_at_-28.8527_S_and_152.0401_E)
Coronidium boormanii,B.Rock,-28.8527,152.0401,1.533318043,0.000532,12/12,control,2,15,7,0.466666667,8, (site_at_-28.8527_S_and_152.0401_E),Bald Rock National Park,NA,Bald Rock National Park (site_at_-28.8527_S_and_152.0401_E)
Coronidium boormanii,B.Rock,-28.8527,152.0401,1.533318043,0.000532,18/6,long,1,15,11,0.733333333,4, (site_at_-28.8527_S_and_152.0401_E),Bald Rock National Park,NA,Bald Rock National Park (site_at_-28.8527_S_and_152.0401_E)
Coronidium boormanii,B.Rock,-28.8527,152.0401,1.533318043,0.000532,18/6,long,2,15,10,0.666666667,5, (site_at_-28.8527_S_and_152.0401_E),Bald Rock National Park,NA,Bald Rock National Park (site_at_-28.8527_S_and_152.0401_E)
Coronidium boormanii,B.Rock,-28.8527,152.0401,1.533318043,0.000532,6/18,short,1,15,8,0.533333333,7, (site_at_-28.8527_S_and_152.0401_E),Bald Rock National Park,NA,Bald Rock National Park (site_at_-28.8527_S_and_152.0401_E)
Coronidium boormanii,B.Rock,-28.8527,152.0401,1.533318043,0.000532,6/18,short,2,15,14,0.933333333,1, (site_at_-28.8527_S_and_152.0401_E),Bald Rock National Park,NA,Bald Rock National Park (site_at_-28.8527_S_and_152.0401_E)
Coronidium scorpiodes,K.N.P.A,-36.4377,148.3198,2.133311987,0.000136,12/12,control,1,30,19,0.633333333,11, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Coronidium scorpiodes,K.N.P.A,-36.4377,148.3198,2.133311987,0.000136,18/6,long,1,30,22,0.733333333,8, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Coronidium scorpiodes,K.N.P.A,-36.4377,148.3198,2.133311987,0.000136,6/18,short,1,30,16,0.533333333,8, (site_at_-36.4377_S_and_148.3198_E),Kosciuszko National Park Alpine area,alpine (>=1500m Above Sea Level),Kosciuszko National Park Alpine area (site_at_-36.4377_S_and_148.3198_E)
Croton insularis,M.N.P,-28.8988,152.7406,4.999949932,0.010638,12/12,control,1,11,5,0.454545455,6, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Croton insularis,M.N.P,-28.8988,152.7406,4.999949932,0.010638,18/6,long,1,11,6,0.545454545,5, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Croton insularis,M.N.P,-28.8988,152.7406,4.999949932,0.010638,6/18,short,1,11,6,0.545454545,5, (site_at_-28.8988_S_and_152.7406_E),Mallanganee National Park,NA,Mallanganee National Park (site_at_-28.8988_S_and_152.7406_E)
Cryptocarya microneura,D.N.P,-30.3658,152.7304,4.433289051,0.04752,12/12,control,1,5,0,0,5, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cryptocarya microneura,D.N.P,-30.3658,152.7304,4.433289051,0.04752,18/6,long,1,5,0,0,5, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cryptocarya microneura,D.N.P,-30.3658,152.7304,4.433289051,0.04752,6/18,short,1,5,0,0,4, (site_at_-30.3658_S_and_152.7304_E),Dorrigo National Park,NA,Dorrigo National Park (site_at_-30.3658_S_and_152.7304_E)
Cupaniopsis flagelliformis,B.R.N.P,-28.3827,153.0607,4.999949932,1.116663,12/12,control,1,6,6,1,0, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cupaniopsis flagelliformis,B.R.N.P,-28.3827,153.0607,4.999949932,1.116663,18/6,long,1,6,6,1,0, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Cupaniopsis flagelliformis,B.R.N.P,-28.3827,153.0607,4.999949932,1.116663,6/18,short,1,6,4,0.666666667,2, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Ehretia acuminata,B.R.N.P,-28.3827,153.0607,4.999949932,0.026646,12/12,control,1,20,1,0.05,19, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Ehretia acuminata,B.R.N.P,-28.3827,153.0607,4.999949932,0.026646,12/12,control,2,20,0,0,20, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Ehretia acuminata,B.R.N.P,-28.3827,153.0607,4.999949932,0.026646,18/6,long,1,20,1,0.05,19, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Ehretia acuminata,B.R.N.P,-28.3827,153.0607,4.999949932,0.026646,18/6,long,2,20,0,0,20, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Ehretia acuminata,B.R.N.P,-28.3827,153.0607,4.999949932,0.026646,6/18,short,1,20,0,0,20, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Ehretia acuminata,B.R.N.P,-28.3827,153.0607,4.999949932,0.026646,6/18,short,2,20,0,0,20, (site_at_-28.3827_S_and_153.0607_E),Border Ranges National Park,NA,Border Ranges National Park (site_at_-28.3827_S_and_153.0607_E)
Einadia nutans,A.B.G,-34.0659,150.769,1.466652036,0.0007,12/12,control,1,30,1,0.033333333,27, (site_at_-34.0659_S_and_150.7690_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7690_E)
Einadia nutans,A.B.G,-34.0659,150.769,1.466652036,0.0007,18/6,long,1,30,8,0.266666667,20, (site_at_-34.0659_S_and_150.7690_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7690_E)
Einadia nutans,A.B.G,-34.0659,150.769,1.466652036,0.0007,6/18,short,1,30,1,0.033333333,28, (site_at_-34.0659_S_and_150.7690_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7690_E)
Epacris microphylla,C.W,-34.0954,151.1601,1.366652966,0.000044,12/12,control,1,30,0,0,30, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Epacris microphylla,C.W,-34.0954,151.1601,1.366652966,0.000044,18/6,long,1,30,0,0,30, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Epacris microphylla,C.W,-34.0954,151.1601,1.366652966,0.000044,6/18,short,1,30,0,0,30, (site_at_-34.0954_S_and_151.1601_E),Royal National Park (Coast Walk),heathland,Royal National Park (Coast Walk) (site_at_-34.0954_S_and_151.1601_E)
Eucalyptus cloeziana,Q.L.D.W,-17.382,145.2577,1.299986959,0.001422,12/12,control,1,30,4,0.133333333,26, (site_at_-17.3820_S_and_145.2577_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3820_S_and_145.2577_E)
Eucalyptus cloeziana,Q.L.D.W,-17.382,145.2577,1.299986959,0.001422,18/6,long,1,30,4,0.133333333,26, (site_at_-17.3820_S_and_145.2577_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3820_S_and_145.2577_E)
Eucalyptus cloeziana,Q.L.D.W,-17.382,145.2577,1.299986959,0.001422,6/18,short,1,30,2,0.066666667,28, (site_at_-17.3820_S_and_145.2577_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3820_S_and_145.2577_E)
Eucalyptus dalrympleana,T.S,-30.5013,152.3859,4.133292198,0.0002,12/12,control,1,30,29,0.966666667,1, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus dalrympleana,T.S,-30.5013,152.3859,4.133292198,0.0002,18/6,long,1,30,30,1,0, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus dalrympleana,T.S,-30.5013,152.3859,4.133292198,0.0002,6/18,short,1,30,29,0.966666667,1, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus ebbaneoensis subsp. Ebbanoensis,A.B.G,-34.0659,150.769,1.466652036,0.001644,12/12,control,1,40,38,0.95,2, (site_at_-34.0659_S_and_150.7690_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7690_E)
Eucalyptus ebbaneoensis subsp. Ebbanoensis,A.B.G,-34.0659,150.769,1.466652036,0.001644,18/6,long,1,40,38,0.95,2, (site_at_-34.0659_S_and_150.7690_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7690_E)
Eucalyptus ebbaneoensis subsp. Ebbanoensis,A.B.G,-34.0659,150.769,1.466652036,0.001644,6/18,short,1,40,40,1,0, (site_at_-34.0659_S_and_150.7690_E),The Australian Botanic Garden,Cumberland Plain Woodland,The Australian Botanic Garden (site_at_-34.0659_S_and_150.7690_E)
Eucalyptus lockyeri,Q.L.D.W,-17.383,145.3787,1.49998498,0.000314,12/12,control,1,41,32,0.780487805,6, (site_at_-17.3830_S_and_145.3787_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3830_S_and_145.3787_E)
Eucalyptus lockyeri,Q.L.D.W,-17.383,145.3787,1.49998498,0.000314,18/6,long,1,41,32,0.780487805,6, (site_at_-17.3830_S_and_145.3787_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3830_S_and_145.3787_E)
Eucalyptus lockyeri,Q.L.D.W,-17.383,145.3787,1.49998498,0.000314,6/18,short,1,41,35,0.853658537,4, (site_at_-17.3830_S_and_145.3787_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3830_S_and_145.3787_E)
Eucalyptus pauciflora,T.S,-30.5013,152.3859,4.133292198,0.00118,12/12,control,1,15,5,0.333333333,8, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus pauciflora,T.S,-30.5013,152.3859,4.133292198,0.00118,12/12,control,2,15,5,0.333333333,10, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus pauciflora,T.S,-30.5013,152.3859,4.133292198,0.00118,18/6,long,1,15,1,0.066666667,13, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus pauciflora,T.S,-30.5013,152.3859,4.133292198,0.00118,18/6,long,2,15,1,0.066666667,13, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus pauciflora,T.S,-30.5013,152.3859,4.133292198,0.00118,6/18,short,1,15,1,0.066666667,14, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus pauciflora,T.S,-30.5013,152.3859,4.133292198,0.00118,6/18,short,2,15,2,0.133333333,13, (site_at_-30.5013_S_and_152.3859_E),Thungutti Swamp,NA,Thungutti Swamp (site_at_-30.5013_S_and_152.3859_E)
Eucalyptus shirleyi,Q.L.D.W,-17.383,145.3787,1.49998498,0.000795,12/12,control,1,7,5,0.714285714,2, (site_at_-17.3830_S_and_145.3787_E),Queensland Woodland,woodland,Queensland Woodland (site_at_-17.3830_S_and_145.3787_E)
