Species,family,Leaf_area_(mm2),SLA,presence_of_hair_ on_mature_leaves,latitude,longitude,site_name
Leucopogon microphyllus,Epacridaceae,2.7,9.11,no,-33.661111,151.233056,heath
Philotheca salsolifolia,Rutaceae,6.1,4.36,no,-33.661111,151.233056,heath
Tetratheca ericifolia,Tremandraceae,7.1,6.45,no,-33.661111,151.233056,heath
Darwinia fascicularis,Myrtaceae,8.9,7.79,no,-33.661111,151.233056,heath
Banksia ericifolia,Proteaceae,14.3,5.23,yes,-33.661111,151.233056,heath
Pultenea elliptica,Fabaceae,21.3,10.69,yes,-33.661111,151.233056,heath
Hibbertia linearis,Dilleniaceae,30.8,6.82,no,-33.661111,151.233056,heath
Epacris tubiflora,Epacridaceae,42.6,8.13,no,-33.661111,151.233056,heath
Leucopogon esquamatus,Epacridaceae,43.5,8.16,no,-33.661111,151.233056,heath
Zieria lae6igata,Rutaceae,62.8,5.31,no,-33.661111,151.233056,heath
Hakea teretifolia,Proteaceae,70.2,2.45,no,-33.661111,151.233056,heath
Boronia ledifolia,Rutaceae,77.4,5.08,yes,-33.661111,151.233056,heath
Gre6illea sericea,Proteaceae,78.6,6.09,yes,-33.661111,151.233056,heath
Gre6illea speciosa,Proteaceae,111.6,6.16,yes,-33.661111,151.233056,heath
Eriostemon australasius,Rutaceae,212.7,7.26,no,-33.661111,151.233056,heath
Isopogon anethifolius,Proteaceae,658.2,5.74,no,-33.661111,151.233056,heath
Banksia serrata,Proteaceae,1721.1,2.84,yes,-33.661111,151.233056,heath
Eucalyptus haemastoma,Myrtaceae,2121,5.4,no,-33.661111,151.233056,heath
Angophora hispida,Myrtaceae,2334.4,3.63,no,-33.661111,151.233056,heath
Pultenea flexillis,Fabaceae,36.1,13.61,yes,-33.663889,151.245833,terrace
Pimelea linifolia,Thymelaeaceae,37.5,13.59,no,-33.663889,151.245833,terrace
Hibbertia obtusifolia,Dilleniaceae,43.9,9.95,no,-33.663889,151.245833,terrace
Gre6illea buxifolia,Proteaceae,71.6,8.78,yes,-33.663889,151.245833,terrace
Hakea gibbosa,Proteaceae,83.6,3.71,yes,-33.663889,151.245833,terrace
Gre6illea sericea,Proteaceae,89.1,7.04,yes,-33.663889,151.245833,terrace
Zieria pilosa,Rutaceae,162.2,10.3,no,-33.663889,151.245833,terrace
Xanthosia pilosa,Apiaceae,198.5,13.35,yes,-33.663889,151.245833,terrace
Crowea saligna,Rutaceae,213.4,10.74,no,-33.663889,151.245833,terrace
Hakea dactyloides,Proteceae,852.5,6.82,no,-33.663889,151.245833,terrace
Ceratopetalum gummiferum,Cunoniaceae,898.3,9.79,no,-33.663889,151.245833,terrace
Dodonea triquetra,Sapindaceae,1510.2,11.8,no,-33.663889,151.245833,terrace
Callicoma serratifolia,Cunoniaceae,2001.4,6.83,no,-33.663889,151.245833,terrace
Pomaderris lanigera,Rhamnaceae,2964.6,8.61,yes,-33.663889,151.245833,terrace
Banksia serrata,Proteaceae,1721.1,2.84,yes,-33.663889,151.245833,terrace
Banksia oblongifolia,Proteaceae,1783.5,3.48,yes,-33.663889,151.245833,terrace
Acacia terminallis,Fabaceae,5267.9,6.19,no,-33.663889,151.245833,terrace
Prostanthera denticulata,Lamiaceae,13.4,19.41,yes,-33.564722,151.293056,diatreme
Pultenea flexillis,Fabaceae,49,15.88,yes,-33.564722,151.293056,diatreme
Pultenea daphnoides,Fabaceae,134.3,8.64,no,-33.564722,151.293056,diatreme
Acacia floribunda,Fabaceae,150.1,8.45,no,-33.564722,151.293056,diatreme
Pomaderris ferruginea,Rhamnaceae,718.9,10.22,yes,-33.564722,151.293056,diatreme
Hardenbergia violacea,Fabaceae,808.7,8.96,no,-33.564722,151.293056,diatreme
Hibbertia dentata,Dilleniaceae,1153,11.41,yes,-33.564722,151.293056,diatreme
Glycine tabacina,Fabaceae,1313,16.44,yes,-33.564722,151.293056,diatreme
Lasiopetalum ferrugineum,Sterculiaceae,1470,8.67,no,-33.564722,151.293056,diatreme
Pandorea pandorana,Bignoniaceae,2995.4,13.33,no,-33.564722,151.293056,diatreme
Xylomelum pyriforme,Proteceae,3262.4,5.82,no,-33.564722,151.293056,diatreme
Syncarpia glomulifera,Myrtaceae,3270.9,5.94,yes,-33.564722,151.293056,diatreme
Eucalyptus umbra,Myrtaceae,5283.6,3.54,no,-33.564722,151.293056,diatreme
Cissus hypoglauca,Vitaceae,8706.1,11.11,no,-33.564722,151.293056,diatreme
Synoum glandulosum,Meliaceae,10604.6,9.91,no,-33.564722,151.293056,diatreme
