species,naming_authority,site,edaphic_preference,fire_response,juvenile_period,juvenile_period_value_type,flowering_time,flowering_notes,other_notes
Laxmannia sp. Aff. sessiliflora,,Northern Sandplain shrublands,,Seed,,,,,
Thysanotus glaucus,Endl.,Northern Sandplain shrublands,Sand,Seed,,,nnnnnnnnnnyy,,
Thysanotus multiflorus,R.Br.,Northern Sandplain shrublands,Sand,Seed,≤2,bin,nnnnnnnnnnyy,,
Diuris longifolia,R.Br.,Northern Sandplain shrublands,Laterite,Sprout,1,mean,nnnnnnynnnnn,,
Glossodia brunonsis,(Endl.) A.S.George,Northern Sandplain shrublands,Laterite,Sprout,,,nnnnnnnnnynn,,
Prasophyllum parviflorum,Lindl.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnnnyynnnn,,
Pterostylis nana,R.Br.,Northern Sandplain shrublands,,Sprout,,,,,
Thelymitra sp. Aff. variegata,Lindl.,Northern Sandplain shrublands,Laterite,Sprout,,,,,
Neurachne alopecuroides,R.Br.,Northern Sandplain shrublands,,Sprout,,,,,
Alexgeorgia arenicola,Carlquist,Northern Sandplain shrublands,Generalist,Sprout,,,,,
Anarthria laevis,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,,,,,
Ecdeiocolea monostachya,F.Muell.,Northern Sandplain shrublands,Generalist,Sprout,,,,,
Hypolaena exsulca,R.Br.,Northern Sandplain shrublands,Sand,Sprout,,,,,
Lyginea barbata,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,,,,,
Calectasia cyanea,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,<2,bin,nnnnnnyyyyyy,,
Dasypogon bromeliifolius,R.Br.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,nnnnnnnnyynn,Flowering mainly restricted to period 1 or 2 years following fire,
Kingia australis,R.Br.,Northern Sandplain shrublands,Laterite,Sprout,<2,bin,,Flowering mainly restricted to period 1 or 2 years following fire,
Xanthorrhoea reflexa,Herbert.,Northern Sandplain shrublands,Laterite,Sprout,<2,bin,,Flowering mainly restricted to period 1 or 2 years following fire,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
