Plant_name,location_txt,Lat,Long,date,Poll_order,Poll_Fam,Poll_Sp,Method,Poll_type,Poll_evidence,Pollinator_to_use,Publication
Banksia aemula,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,01/05/1996,Aves,Psittacidae,Rainbow Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia aemula,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,01/05/1996,Aves,Psittacidae,Scaly-breasted Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,,Brown Thornbill,Observation,flower_visitor,nectar_thief,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,21/4/1997,Aves,Meliphagidae,Brown-headed Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,20/4/1997,Aves,Psittacidae,Crimson Rosella,Observation,flower_visitor,flower_predator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,24/7/1996,Aves,Psittacidae,Eastern Rosella,Observation,flower_visitor,flower_predator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,22/4/1997,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Banksia integrifolia,Eurobodalla National Park,-35.93333333,150.1666667,30/6/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
