genus,species,binomial,longevity,growth form,height min (m),height (m),leaf type,leaf shape,leaf length min (cm),leaf length max (cm),leaf width min (cm),leaf width max (cm),flowering time,leaf longevity,seed length (mm),seed width (mm),seed breadth (mm),seed shape
Abelmoschus,moschatus,Abelmoschus moschatus,perennial,herb,,1.5,simple,lobed,4,10,4,8.5,dec-mar,,,,,
Abrus,precatorius,Abrus precatorius,perennial,vine,,10,compound,ovate,1,2,0,0,jan-may,deciduous,,,,
Abutilon,indicum,Abutilon indicum,perennial,shrub,,2,simple,orbicular,4,23,3,20,mar-aug,,,,,
Acanthus,ebracteatus,Acanthus ebracteatus,perennial,shrub,,2,simple,ovate,7.7,16.5,2.5,5.5,sep-feb,,,,,
Acanthus,ilicifolius,Acanthus ilicifolius,perennial,shrub,,1.5,simple,ovate,5,15,2,6,may-nov,,,10,10,flat
Adansonia,gregorii,Adansonia gregorii,perennial,tree,,15,simple,ovate,5,13,2,3.5,oct-dec,deciduous,,,,
Adenanthera,pavonina,Adenanthera pavonina,perennial,tree,,10,compound,ovate,1.7,4,0.8,2,nov-feb,semi-deciduous,,,,
Aegialitis,annulata,Aegialitis annulata,perennial,shrub,,1.5,simple,ovate,6,8,4.5,6,sep-jan,,,,,
Aegiceras,corniculatum,Aegiceras corniculatum,perennial,tree,,5,simple,ovate,4,8,1.8,3.4,may-oct,,,,,
Aglaia,rufa,Aglaia rufa,perennial,tree,,7,compound,ovate,7,15,3.2,6.5,apr-jun,,,,,
Aidia,cochinchinensis,Aidia cochinchinensis,perennial,tree,,15,simple,ovate,7,18,2.5,6.5,aug-dec,,,,,
Albizia,lebbeck,Albizia lebbeck,perennial,tree,,15,compound,ovate,2.5,5,1,2.5,sep-oct,deciduous,,,,
Allophylus,cobbe,Allophylus cobbe,perennial,tree,,6,compound,ovate,4,13.5,2,7.5,nov-feb,,,,,
Allosyncarpia,ternata,Allosyncarpia ternata,perennial,tree,,30,simple,ovate,7.5,13,1.2,4,oct-dec,,,,,
Alphitonia,excelsa,Alphitonia excelsa,perennial,tree,,15,compound,ovate,7,20,3.5,7.5,jan-apr,,,,,
Alstonia,actinophylla,Alstonia actinophylla,perennial,tree,,20,simple,ovate,5,10,2,4,aug-oct,,,,,
