Taxa,Tree,Forb,Gram,Terrestrial,Tda,Tdr,Amphibious,Native nonweed,Native,Native weed,Exotic,Perennial,Biennial,Annual,clonality,stolons,rhizomes,prostrate/decumbent,plant height min (m),Plant height max (m),Seed mass (g),Dispersal,dispersal 2,dispersal 3,Leaf size (cm^2),SLA (mm2/mg),Mass per leaf (g)
Acacia mearnsii,1,,,1,,1,,,1,1,,1,,,,,,,3,10,13.2,Animal,,,,7.072581697,
Acaena xanserovina,,1,,1,,1,,1,1,,,1,,,1,1,,,0.2,0.4,1.26,animal,,,4.212666667,14.04222222,0.03
Alternanthera denticulata,,1,,1,1,,,1,1,,,,,1,,,,,,0.4,0.23,,,,2.096,18.71428571,0.0112
Amphibromus neesii,,,1,,,,1,1,1,,,1,,,1,,1,,1.2,1.5,1.165,,,,,,
Anthoxanthum odaratum,,,1,1,,1,,,,,1,1,,,0,,,,,1,0.53,,,,,,
Arenaria serpyllifolia subsp. serpyllifolia,,1,,1,,1,,,,,1,,,1,0,,,,,0.3,0.07,,,,,,
Aster novi-belgii,,1,,1,1,,,1,1,,,1,,,1,,1,,0.2,1.4,0.4,,,,10.68266667,16.53663571,
Austrodanthonia sp. 1,,,1,1,,1,,1,1,,,1,,,0,,,,0.4,1,0.324,animal??,,,,13.3899411,
Austrodanthonia sp. 2 var. a,,,1,1,,1,,1,1,,,1,,,0,,,,0.4,1,0.324,animal??,,,1.270588235,9.6,
Austrodanthonia sp. 2 var. b,,,1,1,,1,,1,1,,,1,,,0,,,,0.4,1,0.324,animal??,,,0.51375,12.84375,
Austrodanthonia sp. 3,,,1,1,,1,,1,1,,,1,,,0,,,,0.4,1,0.324,animal??,,,,11.22,
Austrodanthonia sp. 3 var. b,,,1,1,,1,,1,1,,,1,,,0,,,,0.4,1,0.324,animal??,,,,11.22,
Austrodanthonia sp. 4,,,1,1,,1,,1,1,,,1,,,0,,,,0.4,1,0.324,animal??,,,,11.22,
Avena fatua,,,1,1,,1,,,,,1,,,1,0,,,,,1.6,12,Animal,,,4.664,18.50793651,0.0252
Avena sativa cf,,,1,1,,1,,,,,1,,,1,0,,,,,1.5,31.5,Animal,,,,18.50793651,
Azolla filiculoides,,1,,,,,1,,1,1,,,,,1,,1,,,0,,,,,,,
Azolla pinnata,,1,,,,,1,,1,1,,,,,1,,1,,,0,,,,,,,
Briza minor,,,1,1,,1,,,,,1,,,1,0,,,,,0.6,0.32,wind,,,,,
Callitriche stagnalis,,1,,,,,1,,,,1,,,,0,,,1,,0.1,0.06,,,,,,
Calystegia sepium,,1,,1,1,,,1,1,,,1,,,0,,,1,2,4,25.58,,,,,,
