Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment
1224241,CANB 651161.2,Pothos longipes,National Seed Bank,"Wilson River, Willi Willi National Park.",-31.0267,152.4322,,,,,,,,5/9/2004,,NSB,"Murray, W.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
1466878,CANB 868147.2,Ottelia ovalifolia,National Seed Bank,"Canberra Nature Park, Farrer Ridge Reserve. Dam 100 m S of Erindale Drive gate.",-35.3903,149.1064,,,16.693,0.1066,,,-20,1/25/2013,3/5/2021,NSB,"North, T.G.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
1437288,,Pothos longipes,National Seed Bank,"Wilson River, Willi Willi National Park.",-31.0267,152.4322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376302,CBG 8005571.2,Caldesia oligococca var. oligococca,National Seed Bank,2 km from South Alligator River crossing on Arnhem Highway towards Jabiru.,-12.65,132.5333,,9,,0.2555,,100,-20,8/17/1980,7/1/1980,NSB,"Telford, I.R.",,,seed,W,,,"xray:  7 seeds,  full - 5,  empty - 2",,,,,,,,,,,,,,,,,,
1650664,CANB 897932.6,Epipremnum amplissimum,National Seed Bank,Kakadu National Park. Along stream banks at the day use car park of Ferny Gully.,-13.5592,132.2961,,1025,,4.6532,,100,-20,5/15/2017,6/15/2021,NSB,"McAuliffe, J.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
1137330,CBG 9410006.2,Pittosporum multiflorum,National Seed Bank,"Lamington National Park, Binna Burra, Border Ranges Trail, 0.5-0.6 km from carpark.",-28.2,153.3333,,,0.998,34.85,,,-20,10/3/1994,11/24/1999,NSB,"Cayzer, L.W.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
1162763,CANB 609883.1,Billardiera cymosa,National Seed Bank,Claypan on Gluepot-Calperum fence line.,-33.7633,140.3492,,,1.308,,,,-20,8/21/1997,3/23/2000,NSB,"Donaldson, S.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
1337648,CBG 9519575.2,Billardiera drummondii,National Seed Bank,"Stirling Ranges, Bluff Knoll track, 150 m from start.",-34.3667,118.3333,,,0.057,0.8294,,,-20,10/10/1995,3/7/2000,NSB,"Cayzer, L.W.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
1321346,CANB 782496.2,Diplaspis nivis,National Seed Bank,Kosciuszko National Park: North of Seaman's Hut (Waypoint 007); 467 m north-west from Seaman's Hut carpark - straight line GPS.,-36.4461,148.2808,,,0.15,0.743,,,-20,1/29/2009,7/7/2009,NSB,"Fethers, S.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
1337060,CANB 792164.2,Gingidia algens,National Seed Bank,Kosciuszko National Park; Spencers Creek.,-36.4269,148.3547,,,2.054,2.5372,,,-20,2/16/2010,10/7/2010,NSB,"Sweet, H.| Hoyle, G.",,,seed,W,,,,,,,,,,,,,,,,,,,,,
