name_original,Wood density (g/cm^3),metadata_id,primary_source_id,secondary_ref
Hopea iriana,0.852,46,44,Bolza_1975
Hopea papuana,0.603,46,44,Bolza_1975
Hopea parvifolia,0.852,46,44,Bolza_1975
Horsfieldia irya,0.387,46,44,Bolza_1975
Inocarpus fagiferus,0.357,46,44,Bolza_1975
Intsia bijuga,0.715,46,44,Bolza_1975
Intsia palembanica,0.672,46,44,Bolza_1975
Kleinhovia hospita,0.456,46,44,Bolza_1975
Koompassia indet,0.801,46,44,Bolza_1975
Koordersiodendron pinnatum,0.659,46,44,Bolza_1975
Lagerstroemia indet,0.62,46,44,Bolza_1975
Lithocarpus indet,0.577,46,44,Bolza_1975
Lithocarpus perclusus,0.577,46,44,Bolza_1975
Litsea domarensis,0.396,46,44,Bolza_1975
Lumnitzera littorea,0.663,46,44,Bolza_1975
Macaranga aleuritoides,0.327,46,44,Bolza_1975
Mangifera minor,0.525,46,44,Bolza_1975
Mangifera salomonensis,0.525,46,44,Bolza_1975
Manilkara fasciculata,0.758,46,44,Bolza_1975
Manilkara kanosiensis,0.878,46,44,Bolza_1975
Maniltoa psilogyne,0.663,46,44,Bolza_1975
Maranthes corymbosa,0.758,46,44,Bolza_1975
Mastixiodendron pachyclados,0.689,46,44,Bolza_1975
Melaleuca leucadendron,0.646,46,44,Bolza_1975
Mimosa umbellata,0.689,46,44,Bolza_1975
Mimusops elengi,0.827,46,44,Bolza_1975
Myristica buchneriana,0.387,46,44,Bolza_1975
Nauclea mitragyna,0.482,46,44,Bolza_1975
Nauclea orientalis,0.482,46,44,Bolza_1975
Nauclea tenuiflora,0.482,46,44,Bolza_1975
Nauclea undulata,0.482,46,44,Bolza_1975
Neonauclea calycina,0.689,46,44,Bolza_1975
Neonauclea maluensis,0.689,46,44,Bolza_1975
Neonauclea papuana,0.689,46,44,Bolza_1975
Neonauclea perspicuinervia,0.689,46,44,Bolza_1975
Neoscortechinia forbesii,0.654,46,44,Bolza_1975
Neuburgia collina,0.482,46,44,Bolza_1975
Nothofagus grandis,0.715,46,44,Bolza_1975
Nothofagus perryi,0.715,46,44,Bolza_1975
Ochroma pyramidale,0.164,46,44,Bolza_1975
Octomeles moluccana,0.301,46,44,Bolza_1975
Oreocallis brachycarpa,0.62,46,44,Bolza_1975
Palaquium indet,0.443,46,44,Bolza_1975
Pangium edule,0.508,46,44,Bolza_1975
Parartocarpus venenosa,0.534,46,44,Bolza_1975
Parastemon versteeghii,0.878,46,44,Bolza_1975
Parkia versteeghii,0.383,46,44,Bolza_1975
Pericopsis mooniana,0.697,46,44,Bolza_1975
Pimelodendron amboinicum,0.534,46,44,Bolza_1975
Planchonia papuana,0.646,46,44,Bolza_1975
Pleiogynium timorense,0.758,46,44,Bolza_1975
Podocarpus amara,0.37,46,44,Bolza_1975
Podocarpus hypophylla,0.465,46,44,Bolza_1975
Podocarpus latifolia,0.413,46,44,Bolza_1975
Podocarpus neriifolius,0.37,46,44,Bolza_1975
Polyalthia oblongifolia,0.508,46,44,Bolza_1975
Pometia acuminata,0.594,46,44,Bolza_1975
Pometia pinnata,0.594,46,44,Bolza_1975
Pometia pinnata,0.594,46,44,Bolza_1975
Pouteria kaernbachiana,0.456,46,44,Bolza_1975
Pouteria torricellensis,0.508,46,44,Bolza_1975
Prunus indet,0.448,46,44,Bolza_1975
Prunus indet,0.448,46,44,Bolza_1975
Pterocarpus indicus,0.525,46,44,Bolza_1975
Pterocymbium beccarii,0.31,46,44,Bolza_1975
Pterygota horsfieldii,0.663,46,44,Bolza_1975
Rhizophora apiculata,0.835,46,44,Bolza_1975
Rhizophora mucronata,0.835,46,44,Bolza_1975
Santalum macgregorii,0.689,46,44,Bolza_1975
Schizomeria serrata,0.551,46,44,Bolza_1975
Semecarpus magnifica,0.413,46,44,Bolza_1975
Siphonodon celastrineus,0.629,46,44,Bolza_1975
Sloanea forbesii,0.482,46,44,Bolza_1975
Sonneratia indet,0.62,46,44,Bolza_1975
Spondias dulcis,0.37,46,44,Bolza_1975
Sterculia conwentzii,0.276,46,44,Bolza_1975
Sterculia quadrifida,0.276,46,44,Bolza_1975
Syzygium buettnerianum,0.611,46,44,Bolza_1975
Tectona grandis,0.594,46,44,Bolza_1975
Teijsmanniodendron ahernianum,0.921,46,44,Bolza_1975
Teijsmanniodendron bogoriense,0.426,46,44,Bolza_1975
Teijsmanniodendron hollrungii,0.426,46,44,Bolza_1975
Teijsmanniodendron novoguineense,0.426,46,44,Bolza_1975
Terminalia brassii,0.396,46,44,Bolza_1975
Terminalia calamansanay,0.396,46,44,Bolza_1975
Terminalia canaliculata,0.465,46,44,Bolza_1975
Terminalia catappa,0.465,46,44,Bolza_1975
Terminalia complanata,0.396,46,44,Bolza_1975
Terminalia copelandi,0.396,46,44,Bolza_1975
Terminalia faveolata,0.396,46,44,Bolza_1975
Terminalia hypargyrea,0.396,46,44,Bolza_1975
Terminalia kaernbachii,0.396,46,44,Bolza_1975
Terminalia longespicata,0.396,46,44,Bolza_1975
Terminalia microcarpa,0.465,46,44,Bolza_1975
Terminalia rubiginosa,0.396,46,44,Bolza_1975
Terminalia sepicana,0.465,46,44,Bolza_1975
Terminalia solomonensis,0.396,46,44,Bolza_1975
Tetrameles nudiflora,0.284,46,44,Bolza_1975
Toona sureni,0.327,46,44,Bolza_1975
Trichadenia philippinensis,0.715,46,44,Bolza_1975
Tristania suaveolens,0.732,46,44,Bolza_1975
Tristiropsis canarioides,0.577,46,44,Bolza_1975
Tristiropsis subangula,0.577,46,44,Bolza_1975
Vatica papuana,0.521,46,44,Bolza_1975
Vitex cofassus,0.65,46,44,Bolza_1975
Vitex glabrata,0.491,46,44,Bolza_1975
Vitex quinata,0.491,46,44,Bolza_1975
Xanthomyrtus indet,0.87,46,44,Bolza_1975
Xylocarpus granatum,0.62,46,44,Bolza_1975
Zanthoxylum brassii,0.904,46,44,Bolza_1975
Zanthoxylum indet,0.904,46,44,Bolza_1975
Zanthoxylum papuanum,0.689,46,44,Bolza_1975
Ziziphus grewioides,0.577,46,44,Bolza_1975
Acacia leucophloea,0.45,52,50,CAB_2009
Eucalyptus camaldulensis,0.48,52,50,CAB_2009
Eucalyptus camaldulensis,0.91,52,50,CAB_2009
Eucalyptus citriodora,0.81,52,50,CAB_2009
Eucalyptus deglupta,0.3,52,50,CAB_2009
Eucalyptus deglupta,0.44,52,50,CAB_2009
Eucalyptus globulus,0.52,52,50,CAB_2009
Eucalyptus nitens,0.57,52,50,CAB_2009
Eucalyptus pellita,0.53,52,50,CAB_2009
Eucalyptus pellita,0.76,52,50,CAB_2009
Eucalyptus pellita,0.63,52,50,CAB_2009
Eucalyptus robusta,0.69,52,50,CAB_2009
Eucalyptus robusta,0.61,52,50,CAB_2009
Eucalyptus saligna,0.68,52,50,CAB_2009
Eucalyptus saligna,0.86,52,50,CAB_2009
Eucalyptus tereticornis,0.56,52,50,CAB_2009
Eucalyptus tereticornis,0.85,52,50,CAB_2009
Eucalyptus tereticornis,0.97,52,50,CAB_2009
Eucalyptus torelliana,0.69,52,50,CAB_2009
Eucalyptus urophylla,0.41,52,50,CAB_2009
Eucalyptus urophylla,0.55,52,50,CAB_2009
Toona ciliata,0.33,52,50,CAB_2009
Acacia mangium,0.55,52,50,CAB_2009
Acacia mearnsii,0.65,52,50,CAB_2009
Casuarina cunninghamiana,0.71,52,50,CAB_2009
Acacia nilotica,0.654,52,50,CAB_2009
Acacia mearnsii,0.658,52,50,CAB_2009
Wollemia nobilis,0.47,54,52,Chave_2009
Acacia melanoxylon,0.57,47,45,Chudnoff_1984
Acacia pubescens,0.6,47,45,Chudnoff_1984
Callitris columellaris,0.58,47,45,Chudnoff_1984
Eucalyptus diversicolor,0.7,47,45,Chudnoff_1984
Endiandra palmerstonii,0.55,47,45,Chudnoff_1984
Flindersia indet,0.45,47,45,Chudnoff_1984
Grevillea robusta,0.51,47,45,Chudnoff_1984
Syncarpia glomulifera,0.7,47,45,Chudnoff_1984
Eucalyptus diversicolor,0.775,48,46,CIRAD_2009
Eucalyptus marginata,0.706,48,46,CIRAD_2009
Acacia mangium,0.448,48,46,CIRAD_2009
Tetrameles nudiflora,0.32,49,47,Desh_1996
Acacia aneura,0.92,51,49,Flynn_2001
Acacia auriculiformis,0.68,51,49,Flynn_2001
Cordia dichotoma,0.39,55,53,Hong_1999
Dysoxylum mollissimum,0.55,55,53,Hong_1999
Dysoxylum mollissimum,0.51,55,53,Hong_1999
Ehretia acuminata,0.52,55,53,Hong_1999
Elaeocarpus angustifolius,0.33,55,53,Hong_1999
Elaeocarpus angustifolius,0.41,55,53,Hong_1999
Flindersia brayleyana,0.47,55,53,Hong_1999
Flindersia ifflaiana,0.84,55,53,Hong_1999
Flindersia laevicarpa,0.48,55,53,Hong_1999
Flindersia laevicarpa,0.61,55,53,Hong_1999
Flindersia pimenteliana,0.48,55,53,Hong_1999
Flindersia schottiana,0.59,55,53,Hong_1999
Garuga floribunda,0.52,55,53,Hong_1999
Mallotus philippensis,0.56,55,53,Hong_1999
Melicope bonwickii,0.4,55,53,Hong_1999
Sterculia shillinglawii,0.26,55,53,Hong_1999
Sterculia shillinglawii,0.27,55,53,Hong_1999
Terminalia complanata,0.39,55,53,Hong_1999
Toona ciliata,0.43,55,53,Hong_1999
Acacia melanoxylon,0.637,64,62,ICRAF_2009
Corymbia citriodora,0.8,64,62,ICRAF_2009
Corymbia citriodora,0.764,64,62,ICRAF_2009
Corymbia citriodora,0.854,64,62,ICRAF_2009
Corymbia citriodora,0.861,64,62,ICRAF_2009
Corymbia torelliana,0.734,64,62,ICRAF_2009
Deplanchea tetraphylla,0.426,64,62,ICRAF_2009
Deplanchea tetraphylla,0.398,64,62,ICRAF_2009
Dysoxylum mollissimum,0.551,64,62,ICRAF_2009
Ehretia acuminata,0.53,64,62,ICRAF_2009
Eucalyptus camaldulensis,0.973,64,62,ICRAF_2009
Eucalyptus camaldulensis,0.723,64,62,ICRAF_2009
Eucalyptus camaldulensis,0.809,64,62,ICRAF_2009
Eucalyptus camaldulensis,0.786,64,62,ICRAF_2009
Eucalyptus diversicolor,0.774,64,62,ICRAF_2009
Eucalyptus marginata,0.723,64,62,ICRAF_2009
Eucalyptus robusta,0.734,64,62,ICRAF_2009
Eucalyptus tereticornis,0.827,64,62,ICRAF_2009
Ficus racemosa,0.353,64,62,ICRAF_2009
Ficus racemosa,0.413,64,62,ICRAF_2009
Flindersia brayleyana,0.478,64,62,ICRAF_2009
