Sampling period,Site,Soil type,species,Tree #,pre-dawn WP (Mpa),midday WP (Mpa),"gs (stomatal conductance, cm.s-1)",leaf area (cm2),SLA (mm2 mg-1),leaf angle to horizontal (deg),Taxon,site_name,woodiness,leaf_phenology,plant_growth_form
2003-01,1,silty loam,C.ova,1,-7.4,NA,0.01,1.666666667,7.671867261,21.66666667,Carissa ovata,southern slope Planchonella Nature Reserve,woody,evergreen,shrub
2003-01,1,silty loam,C.ova,2,-6.45,NA,0.0075,2.433333333,8.027541463,16.66666667,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,C.ova,3,-7.35,NA,0.0095,1.4,7.010935231,40,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-01,1,silty loam,C.ova,4,-7.3,NA,0.019333333,1.866666667,6.261559874,24.16666667,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-01,2,loamy sand,C.ova,1,-7.25,-8.15,0,1.966666667,5.622140527,35,Carissa ovata,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,C.ova,2,-7,-8.2,0.0525,1.716666667,7.289400223,59.16666667,Carissa ovata,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,C.ova,3,-6.9,-7.9,0.035,1.833333333,8.847600009,30,Carissa ovata,"Bondi, S of Warialda",,,
2003-01,2,loamy sand,C.ova,4,-6.45,-8.35,0.027,1.266666667,7.50147331,36.66666667,Carissa ovata,"Bondi, S of Warialda",,,
2003-01,4,silty loam,C.ova,1,-6.75,-8.25,0.022,3.116666667,7.827535808,35,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,C.ova,2,-6.7,-8.15,0.0555,1.483333333,6.192823873,40,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,C.ova,3,-5.1,-7.65,0.0275,1.85,8.911353981,40.83333333,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-01,4,silty loam,C.ova,4,-5.05,NA,0.019,1.4,9.237114489,40,Carissa ovata,eastern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,C.ova,1,-2.55,-3.95,0.3,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,C.ova,2,-2.6,-4.35,0.132666667,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,C.ova,3,-2.3,-3.95,0.16,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-03,1,silty loam,C.ova,4,-2.85,-3.75,0.171,NA,NA,NA,Carissa ovata,southern slope Planchonella Nature Reserve,,,
2003-03,2,loamy sand,C.ova,1,-1.45,-2.8,1.103333333,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
2003-03,2,loamy sand,C.ova,2,-1.6,-4.55,0.656666667,NA,NA,NA,Carissa ovata,"Bondi, S of Warialda",,,
