"site_name","trait_name","unit","value"
"Bothwell","leaf area index","?","2.2"
"Cardwell","leaf area index","?","6.13"
"Claraville","leaf area index","?","0.5"
"Ku-ring-gai","leaf area index","?","5.3"
"Longley","leaf area index","?","4.49"
"Princess Hills","leaf area index","?","3.68"
"Round Hill","leaf area index","?","0.64"
"Yengo","leaf area index","?","3.74"
"Bothwell","total soil carbon","%","3.886"
"Cardwell","total soil carbon","%","3.678"
"Claraville","total soil carbon","%","0.29"
"Ku-ring-gai","total soil carbon","%","2.06"
"Longley","total soil carbon","%","6.068"
"Princess Hills","total soil carbon","%","4.606"
"Round Hill","total soil carbon","%","0.848"
"Yengo","total soil carbon","%","4.587"
"Bothwell","soil cond","dS/m","0.036"
"Cardwell","soil cond","dS/m","0.05"
"Claraville","soil cond","dS/m","0"
"Ku-ring-gai","soil cond","dS/m","0.031"
"Longley","soil cond","dS/m","0.073"
"Princess Hills","soil cond","dS/m","0.04"
"Round Hill","soil cond","dS/m","0.022"
"Yengo","soil cond","dS/m","0.043"
"Bothwell","soil TN","%","0.034"
"Cardwell","soil TN","%","0.188"
"Claraville","soil TN","%","0.24"
"Ku-ring-gai","soil TN","%","0.094"
"Longley","soil TN","%","0.262"
"Princess Hills","soil TN","%","0.232"
"Round Hill","soil TN","%","0.05"
"Yengo","soil TN","%","0.147"
"Bothwell","soil TP","mg/kg","102.848"
"Cardwell","soil TP","mg/kg","131.984"
"Claraville","soil TP","mg/kg","39.973"
"Ku-ring-gai","soil TP","mg/kg","54.834"
"Longley","soil TP","mg/kg","92.084"
"Princess Hills","soil TP","mg/kg","156.72"
"Round Hill","soil TP","mg/kg","105.944"
"Yengo","soil TP","mg/kg","222.87"
