Genus_species,location,d13C,bark thickness (mm bark/mm whole-stem),wood density (Kasia),wood density (Sean),LMA (g m-2),LMA2 (g m-2),Leaf size (cm2),Leaf size2 (cm2),Ksap (kg m-1 s-1 MPa -1),Kl (10^4 x kg m-1 s-1 MPa -1),LA/SA (m2/m2),PSIpd (MPa),PSImd (MPa),Amass (umol/kg/s),Aarea,Rmass (umol/kg/s),Rarea,WUE (mmol CO2/mol H2O/m2/s,max_ht (m),SA (mm),E (mmol/m2/s)
Acacia dealbata,Bothwell,-28.208,0.21691,0.67,0.61,83.2,96.5,0.026,65.75,2.14,,,-0.61,-1.37,140.06,11.65,23.61,1.96,5.46,6,16.27228756,2.359
Aotus ericoides,Bothwell,-25.908,0.20452,0.83,0.75,151.2,151.2,0.059,0.059,0.35,,,-0.53,-1.19,90.2,13.637,25.03,3.78,5.7,1.1,6.550487718,2.089
Banksia marginata,Bothwell,-28.583,0.2595,0.6,0.58,166.3,166.3,1.147,1.147,2.31,,,-0.29,-1.03,102.4,17.032,29.18,4.85,4.41,6,18.62332983,3.878
Bossiaea cinerea,Bothwell,-29.031,0.15078,0.83,0.86,108.8,108.8,0.184,0.184,0.82,,,-0.47,-1.2,56.65,6.161,23.24,2.53,4.62,1.1,12.548385,1.455
Cassinia aculeata,Bothwell,-29.93,0.15304,0.61,0.69,89.5,89.5,0.124,0.124,1,,,-1.57,-2.94,118.25,10.588,41.81,3.74,6.74,3.6,14.60372487,1.61
Daviesia latifolia,Bothwell,-27.571,0.19098,0.65,0.68,120.3,120.3,8.292,8.292,1.16,,,-0.56,-1.37,91.09,10.956,21.12,2.54,7.92,2.2,16.99900077,1.328
Epacris impressa,Bothwell,-28.269,0.08673,0.7,0.65,103.1,103.1,0.069,0.069,0.05,,,-0.56,-1.47,33.49,3.453,15.06,1.55,5.97,1.6,13.34415042,0.8
Eucalyptus pauciflora,Bothwell,-27.105,0.18125,0.62,0.64,210.9,210.9,15.761,15.761,9.02,,,-0.58,-1.47,57.92,12.217,12.5,2.64,6.88,9,17.66547394,1.854
Eucalyptus rubida,Bothwell,-27.363,0.24691,0.69,0.71,155.9,155.9,9.754,9.754,5.56,,,-0.43,-1.29,78.76,12.276,13.13,2.05,6.29,20,18.90231897,2.018
Eucalyptus tenuiramis,Bothwell,-28.102,0.20648,0.75,0.65,179.6,179.6,9.294,9.294,6.88,,,-0.49,-1.47,74.06,13.304,13.15,2.36,5.61,21,21.07226414,2.604
Exocarpos cupressiformis,Bothwell,-27.748,0.20493,0.65,0.67,266.7,266.7,0.349,0.349,2.03,,,-1.11,-2.64,16.79,4.477,9.78,2.61,4.96,6.5,21.18397917,0.972
Leucopogon ericoides,Bothwell,-28.201,0.12764,0.68,0.69,112.3,112.3,0.057,0.057,0.39,,,-0.33,-1.09,78.49,8.812,28.56,3.21,5.38,1.7,15.14198572,1.832
Leucopogon virgatus,Bothwell,,0.16384,0.77,0.74,116.7,116.7,0.032,0.032,0.16,,,-0.42,-1.79,55.2,6.44,17.03,1.99,6.75,0.6,4.87488786,1.349
Persoonia juniperina,Bothwell,-27.01,0.14932,0.65,0.66,216.5,216.5,0.125,0.125,0.68,,,-0.47,-1.29,10.69,2.314,5.94,1.29,4.52,1.4,18.11836594,0.672
Pultenaea juniperina,Bothwell,-27.457,0.19667,,0.9,155.2,155.2,0.076,0.076,0.05,,,-0.69,-1.63,57.47,8.921,25.75,4,5.6,1.4,21.31031832,1.778
Acacia crassicarpa,Cardwell,-29.05,0.23161,0.51,0.55,78.9,78.9,57.9,57.9,8.65,7.21,11425,-0.19,-0.88,169.95,13.414,26.63,2.1,2.74,20,15.8311137,5.122
Acacia flavescens,Cardwell,-28.538,0.20286,0.64,0.58,108.2,108.2,60.6,60.6,9.38,6.03,11195,-0.24,-1.93,109.22,11.82,17.5,1.89,3.17,20,15.5731104,4.528
Acacia mangium,Cardwell,-28.645,0.24169,0.4,0.38,101.1,101.1,87.2,87.2,3.48,4.01,8658,-0.27,-0.97,132.01,13.352,24.72,2.5,2.5,30,19.14415877,5.632
