"site_name","longitude","latitude"
"Bothwell",146.67,-42.4
"Cardwell",145.95,-18.5
"Claraville",141.47,-18.7
"Ku-ring-gai",151.27,-33.7
"Longley",147.17,-43
"Princess Hills",145.44,-18.3
"Round Hill",146.15,-33
"Yengo",150.85,-32.8
