var_name,trait_name,unit
d13C,leaf_delta13C,per mille
bark thickness (mm bark/mm whole-stem),bark_thickness,mm
wood density (Kasia),wood_density,mg/mm3
wood density (Sean),wood_density,mg/mm3
LMA (g m-2),leaf_mass_per_area,g/m2
LMA2 (g m-2),leaf_mass_per_area,g/m2
Leaf size (cm2),leaf_area,cm2
Leaf size2 (cm2),leaf_area,cm2
Ksap (kg m-1 s-1 MPa -1),sapwood_specific_conductivity,kg/m/s/MPa
Kl (10^4 x kg m-1 s-1 MPa -1),leaf_specific_conductivity,10^4 x kg/m/s/MPa
LA/SA (m2/m2),leafArea_per_sapwood_area,m2/m2
PSIpd (MPa),NA,Mpa
PSImd (MPa),NA,MPa
Amass (umol/kg/s),photosynthetic_rate_per_dry_mass,umolCO2/kg/s
Aarea,photosynthetic_rate_per_area,umolCO2/m2/s
Rmass (umol/kg/s),leaf_dark_respiration_per_dry_mass,umolCO2/kg/s
Rarea,leaf_dark_respiration_per_area,mmolCO2/m2/s
WUE (mmol CO2/mol H2O/m2/s,water_use_efficiency,mmolCO2/molH2O/m2/s
max_ht (m),plant_height_max,m
SA (mm),stem_cross_section_area,mm2
E (mmol/m2/s),leaf_elasticModulus,mmol/m2/s
