Species,height (m),site
Eucalyptus obliqua,20.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,24.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,12.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,6.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,19.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,24.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,14.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,23.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,4.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,22.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,7.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,15,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,12.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,15.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,12.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,7.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,7.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,22.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,7.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,23.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,6.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,12.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,20.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,24.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,23.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,12.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,16.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,14.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,6.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,14.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,21.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,23.4,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.5,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,14.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,22.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,14.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,30.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,25.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,13,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,24.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,8.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,17.7,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,10.8,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,21,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,11.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,15.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,12.6,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,5.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,18.9,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,25.3,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,14.2,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,7.1,Wombat Tower TERN Supersite_113
Eucalyptus obliqua,9.5,Wombat Tower TERN Supersite_113
