Veg,Tag_no,Species,Prefire ht,Dbh @ 0.5 m (mm),DBH @ 1.3 m (cm),BT1,BT2,BT3,BTMean,Notes,diameter,site
Forest,,Acacia auriculiformis,15,,33.3,12,11,11.5,11.5,,33.3,East Point Reserve
Forest,,Acacia auriculiformis,15,,21.2,21.2,11,9.5,13.9,,21.2,East Point Reserve
Forest,,Acacia auriculiformis,17,,40.7,8,13,11,10.66666667,,40.7,East Point Reserve
Forest,,Acacia auriculiformis,17,,34,9.5,9,10.5,9.666666667,,34,East Point Reserve
Forest,,Acacia auriculiformis,15,,36.1,18,17,13,16,,36.1,East Point Reserve
Forest,,Acacia auriculiformis,12,,38.8,9.5,12,8.5,10,,38.8,East Point Reserve
Forest,,Acacia auriculiformis,11,,17.7,7,10,7.5,8.166666667,,17.7,East Point Reserve
Forest,,Acacia auriculiformis,17,,35.7,15,13.5,14.5,14.33333333,,35.7,East Point Reserve
Forest,,Acacia auriculiformis,15,,26.5,14,12,13,13,,26.5,East Point Reserve
Forest,,Acacia auriculiformis,13.5,,35.3,12.5,8.5,11,10.66666667,,35.3,East Point Reserve
Forest,,Acacia auriculiformis,14,,34.9,10.5,12.5,10.5,11.16666667,,34.9,East Point Reserve
Forest,,Acacia auriculiformis,11,,24.4,11,11,10.5,10.83333333,,24.4,East Point Reserve
Forest,,Acacia auriculiformis,16,,40.1,9,11,14.5,11.5,,40.1,East Point Reserve
Forest,,Acacia auriculiformis,16,,36.6,21,21,24,22,,36.6,East Point Reserve
Forest,,Acacia auriculiformis,11,,13.5,7.5,11,7.5,8.666666667,,13.5,East Point Reserve
Forest,,Alstonia actinophylla,13,,21.4,18,19,16,17.66666667,,21.4,East Point Reserve
Forest,,Alstonia actinophylla,5.5,,7.5,6,7.5,5.5,6.333333333,,7.5,East Point Reserve
Forest,,Alstonia actinophylla,4.8,,9.6,12,9.5,11.5,11,,9.6,East Point Reserve
Forest,,Alstonia actinophylla,7,,7.3,9.5,11.5,12,11,,7.3,East Point Reserve
Forest,,Alstonia actinophylla,9,,20.9,15,14,17,15.33333333,,20.9,East Point Reserve
Forest,,Alstonia actinophylla,15,,67.9,24.5,24.5,18,22.33333333,,67.9,East Point Reserve
Forest,,Alstonia actinophylla,13,,24.6,14,16,19,16.33333333,,24.6,East Point Reserve
Forest,,Alstonia actinophylla,9,,17,10,15,13,12.66666667,,17,East Point Reserve
Forest,,Alstonia actinophylla,14,,36,22,30,28,26.66666667,,36,East Point Reserve
Forest,,Alstonia actinophylla,10,,16,12.5,11.5,11,11.66666667,copius white sap,16,East Point Reserve
Forest,,Alstonia actinophylla,5.2,,9,13.5,14,17,14.83333333,,9,East Point Reserve
Forest,,Alstonia actinophylla,1.3,36.1,,8,9,9,8.666666667,,3.61,East Point Reserve
Forest,,Alstonia actinophylla,2.8,,8.1,12.5,11,11,11.5,,8.1,East Point Reserve
Forest,,Alstonia actinophylla,4.1,,6.3,11,12.5,12.5,12,,6.3,East Point Reserve
Forest,,Alstonia actinophylla,7.5,,16.9,17,16,18.5,17.16666667,,16.9,East Point Reserve
Forest,,Alstonia actinophylla,1.2,12,,5,5,5,5,,1.2,East Point Reserve
Forest,,Alstonia actinophylla,14,,42.5,26,24,27.5,25.83333333,,42.5,East Point Reserve
Forest,,Antiaris toxicaria,2.2,29,,1.5,1.5,1.5,1.5,,2.9,East Point Reserve
Forest,,Antiaris toxicaria,7.5,,4.7,1.5,2,1.5,1.666666667,,4.7,East Point Reserve
Forest,,Antiaris toxicaria,2.9,,2.7,1.5,1.5,1.5,1.5,,2.7,East Point Reserve
Forest,,Antiaris toxicaria,7,,4.6,1.5,1.5,1.5,1.5,,4.6,East Point Reserve
Forest,,Antiaris toxicaria,3.5,,2.8,1,1,1.5,1.166666667,,2.8,East Point Reserve
Forest,,Antiaris toxicaria,16,,12.3,3,2.5,2.5,2.666666667,,12.3,East Point Reserve
Forest,,Antiaris toxicaria,7.5,,5.4,2,2,2,2,,5.4,East Point Reserve
Forest,,Antiaris toxicaria,6.5,,6.3,2,2,2,2,,6.3,East Point Reserve
Forest,,Antiaris toxicaria,3.9,,2.7,1.5,1.5,1.5,1.5,,2.7,East Point Reserve
Forest,,Antiaris toxicaria,4.5,,1.9,2,2,1.5,1.833333333,,1.9,East Point Reserve
Forest,,Antiaris toxicaria,8.5,,7.2,3,3.5,3,3.166666667,,7.2,East Point Reserve
Forest,,Antiaris toxicaria,6.5,,5.2,1.5,2,2,1.833333333,,5.2,East Point Reserve
Forest,,Antiaris toxicaria,8.5,,9.3,2.5,2.5,2.5,2.5,,9.3,East Point Reserve
Forest,,Antiaris toxicaria,6.5,,7.8,2,2,2,2,,7.8,East Point Reserve
Forest,,Antiaris toxicaria,6,,3.8,3,2.5,2,2.5,,3.8,East Point Reserve
Forest,,Antiaris toxicaria,7.5,,5,2.5,2,2,2.166666667,,5,East Point Reserve
Forest,,Buchanania arborescens,14,,16.3,8,10,10,9.333333333,,16.3,East Point Reserve
Forest,,Buchanania arborescens,6,,4.5,4,5.5,5,4.833333333,,4.5,East Point Reserve
Forest,,Cupaniopsis anacordioides,2.7,21.6,,2.5,1.5,2.5,2.166666667,,2.16,East Point Reserve
