aligned_name,taxon_name,taxon_rank,taxonomic_status,taxonomic_dataset,taxon_name_alternatives,genus,family,binomial,trinomial,taxon_distribution,establishment_means,scientific_name,taxon_id,taxon_id_genus,taxon_id_family,scientific_name_id,aligned_name_taxon_id,aligned_name_taxonomic_status
(Dockrillia pugioniformis x Dockrillia striolata) x Dockrillia pugioniformis,(Dockrillia pugioniformis x Dockrillia striolata) x Dockrillia pugioniformis,species,accepted,APC,,(Dockrillia,Orchidaceae,(Dockrillia pugioniformis x Dockrillia striolata) x Dockrillia pugioniformis,,NSW,native,(Dockrillia pugioniformis (A.Cunn.) Rauschert x Dockrillia striolata (Rchb.f.) Rauschert) x Dockrillia pugioniformis (A.Cunn.) Rauschert,https://id.biodiversity.org.au/taxon/apni/51404554,https://id.biodiversity.org.au/taxon/apni/51794892,https://id.biodiversity.org.au/taxon/apni/51794773,https://id.biodiversity.org.au/name/apni/51342600,https://id.biodiversity.org.au/taxon/apni/51404554,accepted
Abelia x grandiflora,Abelia x grandiflora,species,accepted,APC,,Abelia,Caprifoliaceae,Abelia x grandiflora,,NSW (naturalised),naturalised,Abelia x grandiflora (Rovelli ex André) Rehder,https://id.biodiversity.org.au/taxon/apni/51432945,https://id.biodiversity.org.au/taxon/apni/51432946,https://id.biodiversity.org.au/taxon/apni/51612988,https://id.biodiversity.org.au/name/apni/190758,https://id.biodiversity.org.au/taxon/apni/51432945,accepted
Abelmoschus ficulneus,Abelmoschus ficulneus,species,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus ficulneus,,"WA, NT, Qld",native,Abelmoschus ficulneus (L.) Wight,https://id.biodiversity.org.au/node/apni/2897916,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/55929,https://id.biodiversity.org.au/node/apni/2897916,accepted
Abelmoschus manihot,Abelmoschus manihot,species,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus manihot,,"ChI, NT, Qld (naturalised), NSW (doubtfully naturalised)",native and naturalised,Abelmoschus manihot (L.) Medik.,https://id.biodiversity.org.au/node/apni/2901085,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/55937,https://id.biodiversity.org.au/node/apni/2901085,accepted
Abelmoschus manihot subsp. manihot,Abelmoschus manihot subsp. manihot,subspecies,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus manihot,Abelmoschus manihot subsp. manihot,"Qld (naturalised), NSW (doubtfully naturalised)",naturalised,Abelmoschus manihot (L.) Medik. subsp. manihot,https://id.biodiversity.org.au/node/apni/2917035,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/116920,https://id.biodiversity.org.au/node/apni/2917035,accepted
Abelmoschus manihot subsp. tetraphyllus,Abelmoschus manihot subsp. tetraphyllus,subspecies,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus manihot,Abelmoschus manihot subsp. tetraphyllus,"ChI, Qld (naturalised)",native and naturalised,Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss.Waalk.,https://id.biodiversity.org.au/node/apni/2892917,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/55945,https://id.biodiversity.org.au/node/apni/2892917,accepted
Abelmoschus moschatus,Abelmoschus moschatus,species,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus moschatus,,"WA, NT, Qld, NSW (naturalised)",native and naturalised,Abelmoschus moschatus Medik.,https://id.biodiversity.org.au/node/apni/2900572,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/55953,https://id.biodiversity.org.au/node/apni/2900572,accepted
Abelmoschus moschatus subsp. biakensis,Abelmoschus moschatus subsp. biakensis,subspecies,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus moschatus,Abelmoschus moschatus subsp. biakensis,WA,native,Abelmoschus moschatus subsp. biakensis (Hochr.) Borss.Waalk.,https://id.biodiversity.org.au/node/apni/2907435,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/116595,https://id.biodiversity.org.au/node/apni/2907435,accepted
Abelmoschus moschatus subsp. moschatus,Abelmoschus moschatus subsp. moschatus,subspecies,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus moschatus,Abelmoschus moschatus subsp. moschatus,NSW (naturalised),naturalised,Abelmoschus moschatus Medik. subsp. moschatus,https://id.biodiversity.org.au/node/apni/2911283,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/243806,https://id.biodiversity.org.au/node/apni/2911283,accepted
Abelmoschus moschatus subsp. tuberosus,Abelmoschus moschatus subsp. tuberosus,subspecies,accepted,APC,,Abelmoschus,Malvaceae,Abelmoschus moschatus,Abelmoschus moschatus subsp. tuberosus,"WA, NT, Qld",native,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,https://id.biodiversity.org.au/node/apni/2919287,https://id.biodiversity.org.au/node/apni/2898872,https://id.biodiversity.org.au/taxon/apni/51777302,https://id.biodiversity.org.au/name/apni/55961,https://id.biodiversity.org.au/node/apni/2919287,accepted
Fimbristylis macrantha,Abildgaardia macrantha,species,accepted,APC,,Abildgaardia,Cyperaceae,Abildgaardia macrantha,,"WA, NT, Qld",native,Abildgaardia macrantha (Boeckeler) Goetgh.,https://id.biodiversity.org.au/taxon/apni/51763079,https://id.biodiversity.org.au/taxon/apni/51763074,https://id.biodiversity.org.au/taxon/apni/51763044,https://id.biodiversity.org.au/name/apni/51389623,https://id.biodiversity.org.au/instance/apni/51762818,nomenclatural synonym
Fimbristylis odontocarpa,Abildgaardia odontocarpa,species,accepted,APC,,Abildgaardia,Cyperaceae,Abildgaardia odontocarpa,,Qld,native,Abildgaardia odontocarpa (S.T.Blake) K.L.Wilson & J.J.Bruhl,https://id.biodiversity.org.au/taxon/apni/51763082,https://id.biodiversity.org.au/taxon/apni/51763074,https://id.biodiversity.org.au/taxon/apni/51763044,https://id.biodiversity.org.au/name/apni/51389629,https://id.biodiversity.org.au/instance/apni/51389631,basionym
